Yellowstone County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,26.5,5.7
200002,30.7,4.9
200003,40.1,6.4
200004,47.0,2.3
200005,56.0,1.8
200006,62.9,0.1
200007,73.9,3.4
200008,71.8,3.2
200009,58.5,0.8
200010,46.6,-0.3
200011,25.1,-8.2
200012,18.4,-6.2
200101,29.2,8.4
200102,20.2,-5.6
200103,38.0,4.3
200104,45.9,1.2
200105,57.6,3.4
200106,63.2,0.4
200107,73.0,2.5
200108,73.3,4.7
200109,62.4,4.7
200110,46.7,-0.2
200111,39.8,6.5
200112,26.5,1.9
200201,27.5,6.7
200202,31.8,6.0
200203,24.3,-9.4
200204,40.9,-3.8
200205,52.2,-2.0
200206,64.8,2.0
200207,75.6,5.1
200208,66.0,-2.6
200209,60.3,2.6
200210,40.5,-6.4
200211,38.4,5.1
200212,29.5,4.9
200301,29.1,8.3
200302,25.2,-0.6
200303,32.8,-0.9
200304,49.1,4.4
200305,54.4,0.2
200306,62.6,-0.2
200307,76.1,5.6
200308,74.9,6.3
200309,58.1,0.4
200310,51.9,5.0
200311,29.2,-4.1
200312,29.8,5.2
200401,21.4,0.6
200402,30.2,4.4
200403,42.8,9.1
200404,48.6,3.9
200405,52.4,-1.8
200406,60.3,-2.5
200407,70.7,0.2
200408,67.0,-1.6
200409,58.5,0.8
200410,47.4,0.5
200411,38.1,4.8
200412,32.6,8.0
200501,20.7,-0.1
200502,33.4,7.6
200503,39.3,5.6
200504,45.2,0.5
200505,52.0,-2.2
200506,62.5,-0.3
200507,72.3,1.8
200508,68.1,-0.5
200509,59.8,2.1
200510,48.4,1.5
200511,38.2,4.9
200512,24.8,0.2
200601,37.0,16.2
200602,29.4,3.6
200603,34.6,0.9
200604,48.8,4.1
200605,56.5,2.3
200606,66.7,3.9
200607,75.9,5.4
200608,69.8,1.2
200609,58.1,0.4
200610,43.8,-3.1
200611,34.8,1.5
200612,30.2,5.6
200701,25.8,5.0
200702,25.8,0.0
200703,44.1,10.4
200704,44.1,-0.6
200705,56.3,2.1
200706,64.9,2.1
200707,77.4,6.9
200708,70.7,2.1
200709,60.3,2.6
200710,48.7,1.8
200711,36.0,2.7
200712,26.6,2.0
200801,22.1,1.3
200802,30.4,4.6
200803,35.8,2.1
200804,42.0,-2.7
200805,53.5,-0.7
200806,61.4,-1.4
200807,71.6,1.1
200808,70.7,2.1
200809,56.6,-1.1
200810,46.8,-0.1
200811,40.2,6.9
200812,17.4,-7.2
200901,27.5,6.7
200902,32.2,6.4
200903,33.0,-0.7
200904,44.0,-0.7
200905,54.9,0.7
200906,60.3,-2.5
200907,69.0,-1.5
200908,67.8,-0.8
200909,64.0,6.3
200910,39.5,-7.4
200911,38.5,5.2
200912,15.5,-9.1
201001,22.5,1.7
201002,23.7,-2.1
201003,42.1,8.4
201004,45.5,0.8
201005,50.4,-3.8
201006,62.3,-0.5
201007,69.6,-0.9
201008,68.9,0.3
201009,58.0,0.3
201010,51.9,5.0
201011,30.0,-3.3
201012,23.2,-1.4
201101,24.6,3.8
201102,19.6,-6.2
201103,34.3,0.6
201104,42.3,-2.4
201105,49.4,-4.8
201106,61.1,-1.7
201107,72.7,2.2
201108,71.5,2.9
201109,61.8,4.1
201110,50.3,3.4
201111,33.8,0.5
201112,30.4,5.8
201201,28.5,7.7
201202,29.4,3.6
201203,45.6,11.9
201204,49.2,4.5
201205,53.5,-0.7
201206,66.9,4.1
201207,76.5,6.0
201208,71.6,3.0
201209,62.2,4.5
201210,45.3,-1.6
201211,37.8,4.5
201212,25.9,1.3
201301,26.1,5.3
201302,31.9,6.1
201303,35.9,2.2
201304,40.6,-4.1
201305,55.8,1.6
201306,63.6,0.8
201307,72.4,1.9
201308,72.6,4.0
201309,63.0,5.3
201310,43.7,-3.2
201311,34.6,1.3
201312,20.7,-3.9
201401,29.2,8.4
201402,17.4,-8.4
201403,32.5,-1.2
201404,45.1,0.4
201405,54.5,0.3
201406,61.0,-1.8
201407,71.8,1.3
201408,68.7,0.1
201409,58.4,0.7
201410,51.4,4.5
201411,29.1,-4.2
201412,27.8,3.2
201501,27.2,6.4
201502,31.7,5.9
201503,44.1,10.4
201504,46.3,1.6
201505,52.8,-1.4
201506,68.4,5.6
201507,70.7,0.2
201508,69.2,0.6
201509,62.8,5.1
201510,51.7,4.8
201511,32.8,-0.5
201512,26.2,1.6
201601,26.6,5.8
201602,38.6,12.8
201603,40.8,7.1
201604,47.5,2.8
201605,54.0,-0.2
201606,67.8,5.0
201607,70.9,0.4
201608,68.2,-0.4
201609,59.2,1.5
201610,48.4,1.5
201611,41.8,8.5
201612,16.2,-8.4
201701,15.8,-5.0
201702,27.7,1.9
201703,40.1,6.4
201704,46.3,1.6
201705,55.6,1.4
201706,65.4,2.6
201707,76.0,5.5
201708,69.0,0.4
201709,58.3,0.6
201710,46.5,-0.4
201711,34.0,0.7
201712,24.5,-0.1
201801,22.4,1.6
201802,12.6,-13.2
201803,30.6,-3.1
201804,40.6,-4.1
201805,58.2,4.0
201806,62.7,-0.1
201807,70.5,0.0
201808,67.8,-0.8
201809,56.6,-1.1
201810,44.4,-2.5
201811,34.0,0.7
201812,29.0,4.4
201901,26.4,5.6
201902,7.1,-18.7
201903,26.1,-7.6
201904,45.3,0.6
201905,49.5,-4.7
201906,62.5,-0.3
201907,69.4,-1.1
201908,69.8,1.2
201909,59.5,1.8
201910,37.9,-9.0
201911,33.0,-0.3
201912,30.4,5.8
202001,27.0,6.2
