Hennepin County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,14.1,3.4
200002,26.1,10.2
200003,39.6,10.5
200004,45.5,0.7
200005,59.9,2.4
200006,65.1,-2.0
200007,71.4,-0.8
200008,71.2,1.8
200009,60.5,0.4
200010,52.2,4.2
200011,30.5,-0.6
200012,6.0,-10.7
200101,18.3,7.6
200102,10.3,-5.6
200103,26.3,-2.8
200104,47.1,2.3
200105,58.8,1.3
200106,67.7,0.6
200107,74.0,1.8
200108,72.0,2.6
200109,59.4,-0.7
200110,47.4,-0.6
200111,44.5,13.4
200112,26.1,9.4
200201,22.9,12.2
200202,27.1,11.2
200203,23.5,-5.6
200204,44.2,-0.6
200205,53.0,-4.5
200206,69.5,2.4
200207,75.0,2.8
200208,69.2,-0.2
200209,63.4,3.3
200210,41.0,-7.0
200211,31.5,0.4
200212,24.8,8.1
200301,13.9,3.2
200302,14.4,-1.5
200303,30.6,1.5
200304,47.3,2.5
200305,56.3,-1.2
200306,66.0,-1.1
200307,71.6,-0.6
200308,73.1,3.7
200309,61.0,0.9
200310,50.1,2.1
200311,31.0,-0.1
200312,23.6,6.9
200401,10.2,-0.5
200402,20.8,4.9
200403,35.1,6.0
200404,48.8,4.0
200405,55.1,-2.4
200406,63.9,-3.2
200407,69.8,-2.4
200408,64.5,-4.9
200409,66.0,5.9
200410,49.1,1.1
200411,36.5,5.4
200412,21.2,4.5
200501,14.3,3.6
200502,25.4,9.5
200503,31.1,2.0
200504,50.7,5.9
200505,55.3,-2.2
200506,71.5,4.4
200507,74.5,2.3
200508,69.8,0.4
200509,64.9,4.8
200510,51.0,3.0
200511,35.3,4.2
200512,18.1,1.4
200601,27.3,16.6
200602,18.6,2.7
200603,32.8,3.7
200604,51.8,7.0
200605,59.8,2.3
200606,68.8,1.7
200607,76.6,4.4
200608,70.3,0.9
200609,57.8,-2.3
200610,44.6,-3.4
200611,35.2,4.1
200612,27.5,10.8
200701,17.9,7.2
200702,11.8,-4.1
200703,36.6,7.5
200704,45.5,0.7
200705,62.3,4.8
200706,70.5,3.4
200707,73.7,1.5
200708,69.9,0.5
200709,63.0,2.9
200710,53.1,5.1
200711,33.4,2.3
200712,14.7,-2.0
200801,12.2,1.5
200802,14.2,-1.7
200803,27.0,-2.1
200804,42.8,-2.0
200805,55.0,-2.5
200806,66.7,-0.4
200807,72.9,0.7
200808,70.3,0.9
200809,61.9,1.8
200810,49.1,1.1
200811,33.4,2.3
200812,12.0,-4.7
200901,6.9,-3.8
200902,19.5,3.6
200903,30.7,1.6
200904,46.1,1.3
200905,58.5,1.0
200906,65.5,-1.6
200907,67.7,-4.5
200908,67.5,-1.9
200909,64.6,4.5
200910,42.1,-5.9
200911,41.0,9.9
200912,16.1,-0.6
201001,11.5,0.8
201002,17.8,1.9
201003,39.2,10.1
201004,53.4,8.6
201005,59.0,1.5
201006,67.3,0.2
201007,74.0,1.8
201008,74.3,4.9
201009,58.6,-1.5
201010,52.0,4.0
201011,33.6,2.5
201012,14.8,-1.9
201101,10.0,-0.7
201102,17.0,1.1
201103,27.6,-1.5
201104,44.7,-0.1
201105,56.6,-0.9
201106,67.3,0.2
201107,76.4,4.2
201108,71.0,1.6
201109,60.7,0.6
201110,53.4,5.4
201111,37.1,6.0
201112,25.9,9.2
201201,21.8,11.1
201202,26.3,10.4
201203,46.9,17.8
201204,48.9,4.1
201205,62.1,4.6
201206,70.0,2.9
201207,77.8,5.6
201208,69.6,0.2
201209,61.3,1.2
201210,46.0,-2.0
201211,35.4,4.3
201212,21.3,4.6
201301,15.6,4.9
201302,17.2,1.3
201303,24.9,-4.2
201304,38.8,-6.0
201305,56.0,-1.5
201306,66.6,-0.5
201307,72.2,0.0
201308,71.6,2.2
201309,64.9,4.8
201310,47.4,-0.6
201311,30.9,-0.2
201312,10.4,-6.3
201401,5.9,-4.8
201402,6.7,-9.2
201403,23.6,-5.5
201404,41.3,-3.5
201405,57.0,-0.5
201406,68.0,0.9
201407,69.5,-2.7
201408,71.2,1.8
201409,60.8,0.7
201410,47.8,-0.2
201411,24.2,-6.9
201412,22.9,6.2
201501,17.4,6.7
201502,10.2,-5.7
201503,34.1,5.0
201504,48.3,3.5
201505,57.2,-0.3
201506,68.1,1.0
201507,71.6,-0.6
201508,68.6,-0.8
201509,66.3,6.2
201510,51.0,3.0
201511,40.4,9.3
201512,28.9,12.2
201601,15.8,5.1
201602,23.4,7.5
201603,39.9,10.8
201604,47.1,2.3
201605,59.0,1.5
201606,69.3,2.2
201607,72.7,0.5
201608,70.9,1.5
201609,64.0,3.9
201610,51.0,3.0
201611,42.0,10.9
201612,19.1,2.4
201701,19.0,8.3
201702,29.5,13.6
201703,32.3,3.2
201704,48.5,3.7
201705,56.6,-0.9
201706,68.4,1.3
201707,72.4,0.2
201708,66.4,-3.0
201709,64.7,4.6
201710,49.5,1.5
201711,32.2,1.1
201712,17.3,0.6
201801,14.4,3.7
201802,13.5,-2.4
201803,30.6,1.5
201804,35.2,-9.6
201805,65.5,8.0
201806,70.4,3.3
201807,72.1,-0.1
201808,70.9,1.5
201809,63.1,3.0
201810,44.1,-3.9
201811,26.4,-4.7
201812,23.6,6.9
201901,12.1,1.4
201902,10.8,-5.1
201903,26.9,-2.2
201904,44.3,-0.5
201905,53.5,-4.0
201906,67.4,0.3
201907,72.8,0.6
201908,68.2,-1.2
201909,64.0,3.9
201910,44.7,-3.3
201911,29.2,-1.9
201912,20.9,4.2
202001,18.5,7.8
