Cass County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.4,1.7
200002,32.3,7.7
200003,43.2,8.3
200004,46.8,0.3
200005,60.5,2.7
200006,67.5,0.0
200007,69.3,-2.5
200008,69.6,0.1
200009,61.9,-0.7
200010,54.8,3.7
200011,37.6,-0.6
200012,17.2,-9.7
200101,24.6,1.9
200102,28.0,3.4
200103,33.4,-1.5
200104,51.7,5.2
200105,60.8,3.0
200106,66.6,-0.9
200107,71.4,-0.4
200108,71.9,2.4
200109,60.5,-2.1
200110,51.2,0.1
200111,46.9,8.7
200112,34.6,7.7
200201,31.9,9.2
200202,31.8,7.2
200203,33.3,-1.6
200204,48.8,2.3
200205,53.6,-4.2
200206,70.0,2.5
200207,75.1,3.3
200208,71.4,1.9
200209,66.7,4.1
200210,49.1,-2.0
200211,37.4,-0.8
200212,28.1,1.2
200301,19.7,-3.0
200302,22.5,-2.1
200303,36.6,1.7
200304,49.1,2.6
200305,55.6,-2.2
200306,65.2,-2.3
200307,70.5,-1.3
200308,72.0,2.5
200309,61.2,-1.4
200310,49.7,-1.4
200311,42.3,4.1
200312,31.2,4.3
200401,19.9,-2.8
200402,25.7,1.1
200403,40.3,5.4
200404,49.8,3.3
200405,60.5,2.7
200406,66.1,-1.4
200407,69.9,-1.9
200408,66.2,-3.3
200409,65.2,2.6
200410,51.5,0.4
200411,41.6,3.4
200412,28.6,1.7
200501,23.3,0.6
200502,29.6,5.0
200503,32.9,-2.0
200504,51.4,4.9
200505,55.7,-2.1
200506,73.1,5.6
200507,74.0,2.2
200508,72.3,2.8
200509,66.8,4.2
200510,52.5,1.4
200511,41.9,3.7
200512,23.9,-3.0
200601,35.1,12.4
200602,28.5,3.9
200603,36.6,1.7
200604,51.8,5.3
200605,57.2,-0.6
200606,67.4,-0.1
200607,73.5,1.7
200608,70.7,1.2
200609,60.4,-2.2
200610,48.5,-2.6
200611,42.2,4.0
200612,34.8,7.9
200701,28.9,6.2
200702,17.3,-7.3
200703,41.3,6.4
200704,45.8,-0.7
200705,63.2,5.4
200706,70.7,3.2
200707,70.8,-1.0
200708,72.1,2.6
200709,65.6,3.0
200710,58.1,7.0
200711,38.8,0.6
200712,28.2,1.3
200801,25.4,2.7
200802,22.7,-1.9
200803,33.0,-1.9
200804,50.2,3.7
200805,55.0,-2.8
200806,69.2,1.7
200807,71.8,0.0
200808,69.3,-0.2
200809,64.7,2.1
200810,50.5,-0.6
200811,38.2,0.0
200812,25.0,-1.9
200901,16.2,-6.5
200902,28.3,3.7
200903,39.2,4.3
200904,48.1,1.6
200905,59.0,1.2
200906,67.7,0.2
200907,66.7,-5.1
200908,68.6,-0.9
200909,63.0,0.4
200910,48.3,-2.8
200911,44.2,6.0
200912,27.6,0.7
201001,23.0,0.3
201002,25.5,0.9
201003,40.9,6.0
201004,53.4,6.9
201005,61.3,3.5
201006,69.5,2.0
201007,74.5,2.7
201008,73.2,3.7
201009,63.7,1.1
201010,53.6,2.5
201011,40.7,2.5
201012,24.7,-2.2
201101,21.0,-1.7
201102,25.2,0.6
201103,35.4,0.5
201104,47.1,0.6
201105,59.3,1.5
201106,69.1,1.6
201107,75.8,4.0
201108,70.3,0.8
201109,61.1,-1.5
201110,52.7,1.6
201111,43.9,5.7
201112,34.4,7.5
201201,28.8,6.1
201202,31.5,6.9
201203,51.4,16.5
201204,48.7,2.2
201205,63.6,5.8
201206,69.3,1.8
201207,77.8,6.0
201208,68.9,-0.6
201209,62.3,-0.3
201210,50.0,-1.1
201211,38.8,0.6
201212,35.0,8.1
201301,27.1,4.4
201302,25.7,1.1
201303,31.4,-3.5
201304,45.3,-1.2
201305,62.0,4.2
201306,67.7,0.2
201307,70.8,-1.0
201308,68.7,-0.8
201309,63.9,1.3
201310,52.3,1.2
201311,37.5,-0.7
201312,25.4,-1.5
201401,15.3,-7.4
201402,17.8,-6.8
201403,27.7,-7.2
201404,47.0,0.5
201405,59.0,1.2
201406,69.8,2.3
201407,67.0,-4.8
201408,70.1,0.6
201409,61.8,-0.8
201410,50.8,-0.3
201411,33.7,-4.5
201412,32.4,5.5
201501,20.6,-2.1
201502,14.3,-10.3
201503,33.0,-1.9
201504,48.7,2.2
201505,61.6,3.8
201506,67.6,0.1
201507,69.3,-2.5
201508,68.7,-0.8
201509,67.1,4.5
201510,52.6,1.5
201511,44.0,5.8
201512,39.5,12.6
201601,24.7,2.0
201602,29.1,4.5
201603,41.9,7.0
201604,47.6,1.1
201605,58.0,0.2
201606,69.0,1.5
201607,72.8,1.0
201608,73.6,4.1
201609,67.6,5.0
201610,55.9,4.8
201611,45.1,6.9
201612,26.2,-0.7
201701,29.9,7.2
201702,36.5,11.9
201703,36.7,1.8
201704,51.6,5.1
201705,56.7,-1.1
201706,69.1,1.6
201707,71.4,-0.4
201708,67.6,-1.9
201709,65.5,2.9
201710,55.8,4.7
201711,38.5,0.3
201712,26.0,-0.9
201801,23.8,1.1
201802,28.6,4.0
201803,34.5,-0.4
201804,40.0,-6.5
201805,65.4,7.6
201806,69.7,2.2
201807,72.3,0.5
201808,72.1,2.6
201809,66.9,4.3
201810,51.3,0.2
201811,34.2,-4.0
201812,32.3,5.4
201901,21.6,-1.1
201902,26.4,1.8
201903,33.2,-1.7
201904,47.7,1.2
201905,56.7,-1.1
201906,66.7,-0.8
201907,74.0,2.2
201908,68.9,-0.6
201909,66.5,3.9
201910,51.3,0.2
201911,34.2,-4.0
201912,33.5,6.6
202001,30.8,8.1
