Taylor County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,48.6,5.4
200002,55.0,7.7
200003,60.0,5.4
200004,66.8,3.0
200005,79.3,7.7
200006,77.4,-1.9
200007,85.0,2.3
200008,85.4,3.1
200009,77.7,2.5
200010,66.2,1.2
200011,48.0,-5.0
200012,39.6,-5.1
200101,41.6,-1.6
200102,48.2,0.9
200103,51.0,-3.6
200104,64.4,0.6
200105,73.3,1.7
200106,80.9,1.6
200107,86.7,4.0
200108,82.4,0.1
200109,73.3,-1.9
200110,64.2,-0.8
200111,57.6,4.6
200112,47.5,2.8
200201,46.9,3.7
200202,45.2,-2.1
200203,53.5,-1.1
200204,66.7,2.9
200205,72.0,0.4
200206,78.7,-0.6
200207,79.2,-3.5
200208,82.8,0.5
200209,74.9,-0.3
200210,61.1,-3.9
200211,50.9,-2.1
200212,46.0,1.3
200301,44.3,1.1
200302,45.8,-1.5
200303,56.1,1.5
200304,66.2,2.4
200305,74.3,2.7
200306,76.1,-3.2
200307,82.4,-0.3
200308,82.8,0.5
200309,72.5,-2.7
200310,66.1,1.1
200311,55.9,2.9
200312,48.6,3.9
200401,47.7,4.5
200402,45.2,-2.1
200403,60.6,6.0
200404,62.9,-0.9
200405,72.3,0.7
200406,77.3,-2.0
200407,80.0,-2.7
200408,77.8,-4.5
200409,73.4,-1.8
200410,66.7,1.7
200411,53.4,0.4
200412,46.3,1.6
200501,48.7,5.5
200502,49.2,1.9
200503,55.4,0.8
200504,63.5,-0.3
200505,70.3,-1.3
200506,79.0,-0.3
200507,81.9,-0.8
200508,79.4,-2.9
200509,78.4,3.2
200510,64.9,-0.1
200511,57.0,4.0
200512,45.2,0.5
200601,51.9,8.7
200602,48.5,1.2
200603,60.1,5.5
200604,69.2,5.4
200605,74.6,3.0
200606,79.9,0.6
200607,83.8,1.1
200608,84.6,2.3
200609,72.3,-2.9
200610,65.3,0.3
200611,56.9,3.9
200612,46.9,2.2
200701,39.8,-3.4
200702,47.3,0.0
200703,61.0,6.4
200704,60.2,-3.6
200705,69.4,-2.2
200706,76.5,-2.8
200707,77.8,-4.9
200708,80.6,-1.7
200709,76.2,1.0
200710,68.0,3.0
200711,56.2,3.2
200712,46.1,1.4
200801,44.0,0.8
200802,51.2,3.9
200803,56.5,1.9
200804,64.0,0.2
200805,73.5,1.9
200806,82.2,2.9
200807,82.4,-0.3
200808,80.0,-2.3
200809,71.9,-3.3
200810,64.4,-0.6
200811,55.3,2.3
200812,46.1,1.4
200901,45.5,2.3
200902,54.1,6.8
200903,59.2,4.6
200904,64.4,0.6
200905,72.1,0.5
200906,82.0,2.7
200907,82.9,0.2
200908,82.9,0.6
200909,72.0,-3.2
200910,61.5,-3.5
200911,56.7,3.7
200912,40.9,-3.8
201001,43.0,-0.2
201002,41.7,-5.6
201003,53.6,-1.0
201004,63.4,-0.4
201005,71.7,0.1
201006,82.2,2.9
201007,80.9,-1.8
201008,84.9,2.6
201009,76.7,1.5
201010,66.2,1.2
201011,55.1,2.1
201012,48.0,3.3
201101,42.5,-0.7
201102,46.5,-0.8
201103,60.3,5.7
201104,70.2,6.4
201105,74.0,2.4
201106,86.7,7.4
201107,88.8,6.1
201108,89.0,6.7
201109,76.5,1.3
201110,65.9,0.9
201111,54.7,1.7
201112,43.3,-1.4
201201,48.3,5.1
201202,49.9,2.6
201203,61.3,6.7
201204,70.3,6.5
201205,75.8,4.2
201206,81.8,2.5
201207,84.3,1.6
201208,84.0,1.7
