New York County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,31.0,0.1
200002,36.5,5.0
200003,46.3,6.4
200004,50.0,0.0
200005,62.7,1.9
200006,71.2,1.2
200007,72.3,-3.1
200008,72.8,-0.8
200009,66.1,-0.7
200010,56.6,0.5
200011,44.8,-0.1
200012,30.8,-3.9
200101,32.6,1.7
200102,35.2,3.7
200103,39.0,-0.9
200104,52.6,2.6
200105,62.8,2.0
200106,72.9,2.9
200107,73.2,-2.2
200108,78.1,4.5
200109,67.0,0.2
200110,57.7,1.6
200111,51.5,6.6
200112,43.3,8.6
200201,39.3,8.4
200202,39.8,8.3
200203,43.4,3.5
200204,54.6,4.6
200205,59.8,-1.0
200206,71.4,1.4
200207,78.4,3.0
200208,77.1,3.5
200209,69.7,2.9
200210,55.2,-0.9
200211,45.0,0.1
200212,35.3,0.6
200301,27.4,-3.5
200302,29.1,-2.4
200303,41.9,2.0
200304,48.9,-1.1
200305,58.1,-2.7
200306,68.6,-1.4
200307,76.3,0.9
200308,76.9,3.3
200309,68.1,1.3
200310,54.9,-1.2
200311,49.7,4.8
200312,37.2,2.5
200401,25.0,-5.9
200402,34.4,2.9
200403,43.2,3.3
200404,52.8,2.8
200405,64.8,4.0
200406,71.1,1.1
200407,74.6,-0.8
200408,74.3,0.7
200409,69.4,2.6
200410,56.3,0.2
200411,47.8,2.9
200412,37.8,3.1
200501,30.9,0.0
200502,35.5,4.0
200503,38.2,-1.7
200504,53.8,3.8
200505,58.1,-2.7
200506,73.7,3.7
200507,77.6,2.2
200508,79.2,5.6
200509,72.7,5.9
200510,57.7,1.6
200511,48.8,3.9
200512,34.4,-0.3
200601,39.9,9.0
200602,35.0,3.5
200603,42.4,2.5
200604,54.5,4.5
200605,62.4,1.6
200606,71.3,1.3
200607,78.5,3.1
200608,76.0,2.4
200609,66.4,-0.4
200610,56.1,0.0
200611,51.2,6.3
200612,43.2,8.5
200701,37.3,6.4
200702,28.1,-3.4
200703,41.2,1.3
200704,49.4,-0.6
200705,64.4,3.6
200706,71.7,1.7
200707,75.4,0.0
200708,74.7,1.1
200709,70.0,3.2
200710,63.5,7.4
200711,44.9,0.0
200712,36.7,2.0
200801,36.0,5.1
200802,35.4,3.9
200803,42.1,2.2
200804,53.7,3.7
200805,59.5,-1.3
200806,74.3,4.3
200807,78.4,3.0
200808,73.5,-0.1
200809,69.1,2.3
200810,55.3,-0.8
200811,45.3,0.4
200812,37.7,3.0
200901,27.8,-3.1
200902,36.0,4.5
200903,41.4,1.5
200904,53.4,3.4
200905,62.2,1.4
200906,68.0,-2.0
200907,73.4,-2.0
200908,76.4,2.8
200909,66.3,-0.5
200910,55.1,-1.0
200911,50.8,5.9
200912,35.7,1.0
201001,32.4,1.5
201002,33.0,1.5
201003,47.5,7.6
201004,56.9,6.9
201005,65.3,4.5
201006,75.0,5.0
201007,81.0,5.6
201008,76.9,3.3
201009,70.7,3.9
201010,58.1,2.0
201011,47.4,2.5
201012,32.9,-1.8
201101,29.5,-1.4
201102,35.2,3.7
201103,42.1,2.2
201104,53.6,3.6
201105,64.3,3.5
201106,72.8,2.8
201107,80.5,5.1
201108,75.8,2.2
201109,70.2,3.4
201110,57.4,1.3
201111,50.8,5.9
201112,42.5,7.8
201201,37.1,6.2
201202,40.4,8.9
201203,50.4,10.5
201204,54.2,4.2
201205,65.1,4.3
201206,71.4,1.4
201207,79.4,4.0
201208,77.0,3.4
201209,68.9,2.1
201210,58.5,2.4
201211,43.4,-1.5
201212,41.3,6.6
201301,35.2,4.3
201302,33.6,2.1
201303,39.7,-0.2
201304,52.0,2.0
201305,62.0,1.2
201306,72.5,2.5
201307,80.0,4.6
201308,74.3,0.7
201309,66.9,0.1
201310,59.6,3.5
201311,44.6,-0.3
201312,37.6,2.9
201401,28.2,-2.7
201402,30.6,-0.9
201403,36.9,-3.0
201404,51.1,1.1
201405,63.2,2.4
201406,72.3,2.3
201407,76.4,1.0
201408,74.1,0.5
201409,69.4,2.6
201410,59.3,3.2
201411,44.3,-0.6
201412,40.2,5.5
201501,29.4,-1.5
201502,23.1,-8.4
201503,37.0,-2.9
201504,52.6,2.6
201505,66.9,6.1
201506,71.1,1.1
201507,78.1,2.7
201508,78.1,4.5
201509,73.1,6.3
201510,57.1,1.0
201511,51.8,6.9
201512,49.8,15.1
201601,34.2,3.3
201602,37.3,5.8
201603,48.2,8.3
201604,52.2,2.2
201605,62.2,1.4
201606,72.4,2.4
201607,79.2,3.8
201608,79.5,5.9
201609,71.7,4.9
201610,59.0,2.9
201611,49.8,4.9
201612,38.3,3.6
201701,38.4,7.5
201702,41.3,9.8
201703,39.4,-0.5
201704,56.5,6.5
201705,61.0,0.2
201706,72.2,2.2
201707,76.9,1.5
201708,74.1,0.5
201709,70.5,3.7
201710,63.9,7.8
201711,46.1,1.2
201712,35.0,0.3
201801,31.1,0.2
201802,41.2,9.7
201803,39.8,-0.1
201804,48.3,-1.7
201805,66.3,5.5
201806,71.6,1.6
201807,78.1,2.7
201808,78.7,5.1
201809,70.9,4.1
201810,57.7,1.6
201811,44.0,-0.9
201812,39.6,4.9
201901,32.5,1.6
201902,35.7,4.2
201903,40.7,0.8
201904,54.4,4.4
201905,62.1,1.3
201906,71.8,1.8
201907,80.0,4.6
201908,76.0,2.4
201909,70.3,3.5
201910,59.9,3.8
201911,43.2,-1.7
201912,37.8,3.1
202001,38.8,7.9
