Lee County, North Carolina, Average Temperature
201208,76.8,-0.2
201209,70.8,-0.6
201210,60.5,0.0
201211,46.3,-3.9
201212,49.2,7.2
201301,44.6,3.7
201302,42.8,-0.1
201303,44.9,-5.9
201304,60.3,0.9
201305,66.0,-1.9
201306,75.1,0.0
201307,78.0,-0.5
201308,75.5,-1.5
201309,69.8,-1.6
201310,61.0,0.5
201311,48.2,-2.0
201312,45.7,3.7
201401,37.2,-3.7
201402,43.8,0.9
201403,46.5,-4.3
201404,60.7,1.3
201405,69.8,1.9
201406,76.7,1.6
201407,78.2,-0.3
201408,75.6,-1.4
201409,72.1,0.7
201410,63.0,2.5
201411,46.6,-3.6
201412,45.1,3.1
201501,40.0,-0.9
201502,36.0,-6.9
201503,51.9,1.1
201504,61.4,2.0
201505,69.9,2.0
201506,79.0,3.9
201507,79.6,1.1
201508,77.4,0.4
201509,73.0,1.6
201510,60.4,-0.1
201511,54.9,4.7
201512,55.6,13.6
201601,39.4,-1.5
201602,44.4,1.5
201603,58.0,7.2
201604,60.6,1.2
201605,67.3,-0.6
201606,76.7,1.6
201607,81.7,3.2
201608,80.7,3.7
201609,75.4,4.0
201610,63.8,3.3
201611,52.2,2.0
201612,44.6,2.6
201701,46.1,5.2
201702,52.6,9.7
201703,51.9,1.1
201704,65.2,5.8
201705,69.3,1.4
201706,75.4,0.3
201707,81.1,2.6
201708,78.2,1.2
201709,72.1,0.7
201710,64.3,3.8
201711,50.4,0.2
201712,43.3,1.3
201801,36.9,-4.0
201802,53.7,10.8
201803,47.2,-3.6
201804,57.8,-1.6
201805,73.5,5.6
201806,78.5,3.4
201807,79.1,0.6
201808,78.6,1.6
201809,76.8,5.4
201810,62.9,2.4
201811,48.8,-1.4
201812,46.2,4.2
201901,43.3,2.4
201902,48.6,5.7
201903,50.1,-0.7
201904,62.6,3.2
201905,73.6,5.7
201906,75.7,0.6
201907,80.8,2.3
201908,78.0,1.0
201909,76.3,4.9
201910,66.0,5.5
201911,47.8,-2.4
201912,46.6,4.6
202001,47.3,6.4
