Lee County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,39.2,-1.7
200002,46.0,3.1
200003,54.3,3.5
200004,58.8,-0.6
200005,70.2,2.3
200006,76.9,1.8
200007,76.5,-2.0
200008,76.3,-0.7
200009,69.9,-1.5
200010,59.9,-0.6
200011,47.5,-2.7
200012,35.4,-6.6
200101,40.6,-0.3
200102,47.3,4.4
200103,48.5,-2.3
200104,61.4,2.0
200105,67.6,-0.3
200106,75.9,0.8
200107,75.7,-2.8
200108,77.9,0.9
200109,68.1,-3.3
200110,58.4,-2.1
200111,55.3,5.1
200112,48.5,6.5
200201,42.9,2.0
200202,45.9,3.0
200203,52.6,1.8
200204,64.1,4.7
200205,66.9,-1.0
200206,77.5,2.4
200207,80.1,1.6
200208,78.2,1.2
200209,72.9,1.5
200210,62.6,2.1
200211,48.3,-1.9
200212,41.1,-0.9
200301,37.4,-3.5
200302,42.0,-0.9
200303,53.7,2.9
200304,58.3,-1.1
200305,67.0,-0.9
200306,73.8,-1.3
200307,78.6,0.1
200308,78.5,1.5
200309,70.2,-1.2
200310,60.1,-0.4
200311,56.4,6.2
200312,41.2,-0.8
200401,38.5,-2.4
200402,41.3,-1.6
200403,53.0,2.2
200404,60.3,0.9
200405,72.6,4.7
200406,75.3,0.2
200407,78.4,-0.1
200408,75.2,-1.8
200409,70.5,-0.9
200410,62.6,2.1
200411,53.2,3.0
200412,42.4,0.4
200501,43.7,2.8
200502,44.3,1.4
200503,48.3,-2.5
200504,59.0,-0.4
200505,64.6,-3.3
200506,75.3,0.2
200507,81.1,2.6
200508,79.2,2.2
200509,75.1,3.7
200510,62.6,2.1
200511,53.4,3.2
200512,40.5,-1.5
200601,47.9,7.0
200602,43.3,0.4
200603,51.2,0.4
200604,62.6,3.2
200605,64.5,-3.4
200606,74.6,-0.5
200607,79.3,0.8
200608,80.3,3.3
200609,69.6,-1.8
200610,57.6,-2.9
200611,52.2,2.0
200612,46.8,4.8
200701,45.2,4.3
200702,39.3,-3.6
200703,55.4,4.6
200704,58.3,-1.1
200705,67.8,-0.1
200706,76.0,0.9
200707,77.5,-1.0
200708,83.4,6.4
200709,73.6,2.2
200710,65.9,5.4
200711,49.7,-0.5
200712,48.1,6.1
200801,40.0,-0.9
200802,47.2,4.3
200803,52.7,1.9
200804,59.8,0.4
200805,65.7,-2.2
200806,79.4,4.3
200807,78.1,-0.4
200808,76.9,-0.1
200809,71.1,-0.3
200810,58.0,-2.5
200811,48.4,-1.8
200812,47.0,5.0
200901,39.0,-1.9
200902,43.8,0.9
200903,50.5,-0.3
200904,60.8,1.4
200905,68.6,0.7
200906,76.4,1.3
200907,77.2,-1.3
200908,79.0,2.0
200909,70.6,-0.8
200910,60.8,0.3
200911,52.4,2.2
200912,41.0,-1.0
201001,38.2,-2.7
201002,37.6,-5.3
201003,50.3,-0.5
201004,62.8,3.4
201005,71.3,3.4
201006,80.1,5.0
201007,80.9,2.4
201008,79.7,2.7
201009,75.4,4.0
201010,62.2,1.7
201011,50.4,0.2
201012,34.4,-7.6
201101,37.4,-3.5
201102,46.6,3.7
201103,52.5,1.7
201104,62.7,3.3
201105,69.0,1.1
201106,78.7,3.6
201107,81.8,3.3
201108,79.1,2.1
201109,72.4,1.0
201110,58.9,-1.6
201111,53.4,3.2
201112,47.8,5.8
201201,44.3,3.4
201202,46.9,4.0
201203,60.3,9.5
201204,60.5,1.1
201205,70.4,2.5
201206,73.2,-1.9
201207,82.2,3.7
