Horry County, South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,43.9,-1.8
200002,50.2,2.7
200003,57.8,3.3
200004,60.7,-1.2
200005,72.9,2.6
200006,77.7,0.8
200007,78.8,-1.2
200008,78.1,-0.8
200009,73.4,-0.7
200010,62.6,-1.3
200011,52.3,-1.6
200012,40.6,-6.1
200101,44.2,-1.5
200102,51.2,3.7
200103,52.5,-2.0
200104,63.0,1.1
200105,70.4,0.1
200106,78.2,1.3
200107,78.4,-1.6
200108,79.6,0.7
200109,71.8,-2.3
200110,62.1,-1.8
200111,59.9,6.0
200112,53.7,7.0
200201,48.6,2.9
200202,49.3,1.8
200203,56.6,2.1
200204,67.0,5.1
200205,68.6,-1.7
200206,77.6,0.7
200207,81.4,1.4
200208,79.2,0.3
200209,76.9,2.8
200210,67.9,4.0
200211,53.2,-0.7
200212,44.6,-2.1
200301,41.9,-3.8
200302,47.0,-0.5
200303,58.1,3.6
200304,61.3,-0.6
200305,70.6,0.3
200306,77.3,0.4
200307,79.6,-0.4
200308,79.8,0.9
200309,73.1,-1.0
200310,63.8,-0.1
200311,59.6,5.7
200312,44.2,-2.5
200401,43.3,-2.4
200402,45.3,-2.2
200403,56.9,2.4
200404,63.1,1.2
200405,74.5,4.2
200406,78.9,2.0
200407,80.8,0.8
200408,77.2,-1.7
200409,74.8,0.7
200410,66.5,2.6
200411,57.5,3.6
200412,46.4,-0.3
200501,47.7,2.0
200502,48.6,1.1
200503,52.5,-2.0
200504,60.4,-1.5
200505,67.6,-2.7
200506,76.7,-0.2
200507,82.8,2.8
200508,80.9,2.0
200509,77.9,3.8
200510,66.1,2.2
200511,57.0,3.1
200512,45.6,-1.1
200601,51.1,5.4
200602,46.6,-0.9
200603,53.8,-0.7
200604,65.7,3.8
200605,68.7,-1.6
200606,76.4,-0.5
200607,80.5,0.5
200608,81.1,2.2
200609,72.8,-1.3
200610,62.3,-1.6
200611,55.6,1.7
200612,52.3,5.6
200701,49.8,4.1
200702,45.5,-2.0
200703,58.2,3.7
200704,60.7,-1.2
200705,69.0,-1.3
200706,76.8,-0.1
200707,78.8,-1.2
200708,83.6,4.7
200709,76.1,2.0
200710,70.2,6.3
200711,55.6,1.7
200712,53.3,6.6
200801,45.4,-0.3
200802,51.8,4.3
200803,55.4,0.9
200804,63.4,1.5
200805,68.8,-1.5
200806,79.6,2.7
200807,79.4,-0.6
200808,78.8,-0.1
200809,74.2,0.1
200810,62.3,-1.6
200811,52.1,-1.8
200812,52.3,5.6
200901,45.1,-0.6
200902,47.2,-0.3
200903,53.9,-0.6
200904,62.1,0.2
200905,71.0,0.7
200906,78.9,2.0
200907,78.8,-1.2
200908,80.4,1.5
200909,73.5,-0.6
200910,63.1,-0.8
200911,57.0,3.1
200912,47.3,0.6
201001,41.7,-4.0
201002,42.6,-4.9
201003,53.1,-1.4
201004,64.2,2.3
201005,72.8,2.5
201006,81.8,4.9
201007,81.7,1.7
201008,81.6,2.7
201009,77.1,3.0
201010,65.3,1.4
201011,55.0,1.1
201012,38.7,-8.0
201101,41.1,-4.6
201102,51.0,3.5
201103,55.1,0.6
201104,65.0,3.1
201105,71.2,0.9
201106,81.1,4.2
201107,82.0,2.0
201108,80.9,2.0
201109,74.4,0.3
201110,62.2,-1.7
201111,57.2,3.3
201112,52.3,5.6
201201,49.2,3.5
201202,51.4,3.9
201203,62.7,8.2
201204,63.8,1.9
201205,72.2,1.9
201206,74.2,-2.7
201207,83.1,3.1
