Greenville County, South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,40.2,-0.6
200002,46.7,3.5
200003,55.0,4.7
200004,56.9,-1.8
200005,70.5,3.2
200006,75.9,1.5
200007,77.9,0.4
200008,76.5,0.3
200009,69.0,-1.8
200010,61.8,1.6
200011,49.0,-0.8
200012,35.0,-6.9
200101,40.7,-0.1
200102,47.9,4.7
200103,48.6,-1.7
200104,61.5,2.8
200105,68.0,0.7
200106,74.0,-0.4
200107,76.0,-1.5
200108,77.6,1.4
200109,68.0,-2.8
200110,57.6,-2.6
200111,55.7,5.9
200112,47.7,5.8
200201,43.5,2.7
200202,44.3,1.1
200203,51.4,1.1
200204,63.7,5.0
200205,65.4,-1.9
200206,75.3,0.9
200207,79.3,1.8
200208,77.5,1.3
200209,72.0,1.2
200210,62.3,2.1
200211,48.5,-1.3
200212,41.8,-0.1
200301,38.4,-2.4
200302,43.2,0.0
200303,54.0,3.7
200304,58.6,-0.1
200305,66.3,-1.0
200306,72.6,-1.8
200307,76.2,-1.3
200308,77.0,0.8
200309,69.8,-1.0
200310,60.2,0.0
200311,56.0,6.2
200312,40.8,-1.1
200401,41.0,0.2
200402,41.4,-1.8
200403,54.6,4.3
200404,59.5,0.8
200405,71.0,3.7
200406,74.5,0.1
200407,77.0,-0.5
200408,74.1,-2.1
200409,69.8,-1.0
200410,63.5,3.3
200411,53.6,3.8
200412,42.5,0.6
200501,45.1,4.3
200502,45.7,2.5
200503,49.3,-1.0
200504,58.4,-0.3
200505,64.6,-2.7
200506,73.0,-1.4
200507,78.2,0.7
200508,77.8,1.6
200509,74.2,3.4
200510,62.7,2.5
200511,52.2,2.4
200512,40.8,-1.1
200601,47.4,6.6
200602,43.1,-0.1
200603,51.9,1.6
200604,63.7,5.0
200605,66.2,-1.1
200606,74.5,0.1
200607,78.2,0.7
200608,78.4,2.2
200609,68.4,-2.4
200610,58.6,-1.6
200611,51.8,2.0
200612,47.7,5.8
200701,43.9,3.1
200702,41.5,-1.7
200703,56.7,6.4
200704,58.0,-0.7
200705,67.3,0.0
200706,75.2,0.8
200707,75.5,-2.0
200708,82.4,6.2
200709,73.4,2.6
200710,64.5,4.3
200711,50.3,0.5
200712,48.1,6.2
200801,39.9,-0.9
200802,46.0,2.8
200803,50.8,0.5
200804,58.4,-0.3
200805,66.3,-1.0
200806,77.7,3.3
200807,78.3,0.8
200808,77.0,0.8
200809,70.8,0.0
200810,58.7,-1.5
200811,47.7,-2.1
200812,45.5,3.6
200901,40.4,-0.4
200902,44.1,0.9
200903,51.3,1.0
200904,58.9,0.2
200905,67.4,0.1
200906,76.4,2.0
200907,76.0,-1.5
200908,77.3,1.1
200909,70.4,-0.4
200910,58.6,-1.6
200911,53.5,3.7
200912,40.1,-1.8
201001,37.0,-3.8
201002,37.7,-5.5
201003,49.6,-0.7
201004,62.6,3.9
201005,70.2,2.9
201006,78.9,4.5
201007,80.8,3.3
201008,79.2,3.0
201009,74.1,3.3
201010,62.1,1.9
201011,51.5,1.7
201012,35.0,-6.9
201101,37.8,-3.0
201102,47.1,3.9
201103,52.5,2.2
201104,62.0,3.3
201105,68.2,0.9
201106,77.7,3.3
201107,80.4,2.9
201108,79.3,3.1
201109,71.3,0.5
201110,58.9,-1.3
201111,52.5,2.7
201112,47.7,5.8
201201,44.5,3.7
201202,47.0,3.8
201203,61.1,10.8
201204,61.6,2.9
201205,70.3,3.0
201206,73.4,-1.0
201207,80.4,2.9
201208,75.4,-0.8
201209,70.7,-0.1
201210,60.2,0.0
201211,49.9,0.1
201212,48.5,6.6
201301,46.0,5.2
201302,42.8,-0.4
201303,45.3,-5.0
201304,59.2,0.5
201305,65.1,-2.2
201306,74.7,0.3
201307,76.2,-1.3
201308,74.7,-1.5
201309,71.0,0.2
201310,61.7,1.5
201311,47.8,-2.0
201312,45.8,3.9
201401,34.8,-6.0
201402,45.2,2.0
201403,47.8,-2.5
201404,60.2,1.5
201405,68.9,1.6
201406,76.1,1.7
201407,75.7,-1.8
201408,75.1,-1.1
201409,71.6,0.8
201410,62.1,1.9
201411,46.5,-3.3
201412,46.8,4.9
201501,40.6,-0.2
201502,36.9,-6.3
201503,53.6,3.3
201504,61.8,3.1
201505,70.0,2.7
201506,77.4,3.0
201507,80.0,2.5
201508,77.3,1.1
201509,71.2,0.4
201510,60.2,0.0
201511,54.4,4.6
201512,54.3,12.4
201601,39.4,-1.4
201602,43.6,0.4
201603,57.2,6.9
201604,60.6,1.9
201605,66.9,-0.4
201606,77.3,2.9
201607,81.1,3.6
201608,79.4,3.2
201609,75.8,5.0
201610,64.8,4.6
201611,54.9,5.1
201612,45.1,3.2
201701,47.8,7.0
201702,52.5,9.3
201703,52.6,2.3
201704,63.9,5.2
201705,68.0,0.7
201706,74.2,-0.2
201707,79.2,1.7
201708,76.6,0.4
201709,70.9,0.1
201710,62.8,2.6
201711,52.6,2.8
201712,44.2,2.3
201801,37.5,-3.3
201802,52.8,9.6
201803,49.2,-1.1
201804,57.0,-1.7
201805,71.8,4.5
201806,77.3,2.9
201807,77.6,0.1
201808,77.0,0.8
201809,76.9,6.1
201810,63.8,3.6
201811,47.2,-2.6
201812,44.8,2.9
201901,42.8,2.0
201902,49.7,6.5
201903,50.5,0.2
201904,61.7,3.0
201905,72.7,5.4
201906,74.3,-0.1
201907,79.2,1.7
201908,77.6,1.4
201909,77.3,6.5
201910,65.7,5.5
201911,48.9,-0.9
201912,47.4,5.5
202001,45.5,4.7
