Chaves County, New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,43.6,4.8
200002,50.2,7.3
200003,52.0,3.0
200004,61.5,4.1
200005,72.9,6.9
200006,75.7,1.3
200007,79.7,3.0
200008,78.0,2.6
200009,72.8,4.1
200010,59.5,0.8
200011,42.2,-4.5
200012,38.4,-0.8
200101,37.0,-1.8
200102,46.0,3.1
200103,49.0,0.0
200104,60.6,3.2
200105,68.8,2.8
200106,77.6,3.2
200107,81.4,4.7
200108,77.2,1.8
200109,71.3,2.6
200110,61.0,2.3
200111,50.5,3.8
200112,40.5,1.3
200201,42.6,3.8
200202,42.2,-0.7
200203,48.6,-0.4
200204,63.0,5.6
200205,69.0,3.0
200206,78.8,4.4
200207,78.1,1.4
200208,79.1,3.7
200209,70.3,1.6
200210,57.2,-1.5
200211,46.3,-0.4
200212,40.5,1.3
200301,43.5,4.7
200302,44.4,1.5
200303,52.0,3.0
200304,60.4,3.0
200305,69.7,3.7
200306,74.7,0.3
200307,80.2,3.5
200308,77.9,2.5
200309,71.1,2.4
200310,63.5,4.8
200311,50.7,4.0
200312,41.9,2.7
200401,42.4,3.6
200402,40.6,-2.3
200403,54.5,5.5
200404,57.1,-0.3
200405,69.0,3.0
200406,75.0,0.6
200407,76.0,-0.7
200408,73.6,-1.8
200409,68.6,-0.1
200410,59.8,1.1
200411,46.1,-0.6
200412,40.8,1.6
200501,45.0,6.2
200502,45.3,2.4
200503,49.2,0.2
200504,57.0,-0.4
200505,66.2,0.2
200506,76.3,1.9
200507,78.9,2.2
200508,75.1,-0.3
200509,72.1,3.4
200510,59.6,0.9
200511,49.7,3.0
200512,41.0,1.8
200601,44.6,5.8
200602,45.0,2.1
200603,51.9,2.9
200604,63.3,5.9
200605,71.6,5.6
200606,78.0,3.6
200607,79.3,2.6
200608,75.3,-0.1
200609,65.6,-3.1
200610,58.1,-0.6
200611,50.0,3.3
200612,39.9,0.7
200701,34.9,-3.9
200702,44.1,1.2
200703,53.0,4.0
200704,55.9,-1.5
200705,63.7,-2.3
200706,73.4,-1.0
200707,75.5,-1.2
200708,77.2,1.8
200709,72.3,3.6
200710,62.5,3.8
200711,49.2,2.5
200712,42.2,3.0
200801,38.5,-0.3
200802,46.5,3.6
200803,50.9,1.9
200804,58.2,0.8
200805,67.3,1.3
200806,78.9,4.5
200807,75.8,-0.9
200808,74.9,-0.5
200809,66.9,-1.8
200810,59.1,0.4
200811,48.1,1.4
200812,41.9,2.7
200901,42.9,4.1
200902,48.0,5.1
200903,54.1,5.1
200904,58.3,0.9
200905,68.7,2.7
200906,76.4,2.0
200907,78.4,1.7
200908,77.0,1.6
200909,68.2,-0.5
200910,58.1,-0.6
200911,49.7,3.0
200912,36.2,-3.0
201001,38.1,-0.7
201002,40.4,-2.5
201003,48.8,-0.2
201004,58.7,1.3
201005,66.5,0.5
201006,78.6,4.2
201007,76.1,-0.6
201008,77.4,2.0
201009,72.9,4.2
201010,61.4,2.7
201011,47.5,0.8
201012,44.4,5.2
201101,39.6,0.8
201102,40.8,-2.1
201103,55.7,6.7
201104,63.7,6.3
201105,67.2,1.2
201106,80.1,5.7
201107,82.2,5.5
201108,82.9,7.5
201109,71.2,2.5
201110,60.9,2.2
201111,49.1,2.4
201112,35.0,-4.2
201201,44.4,5.6
201202,42.9,0.0
201203,55.0,6.0
201204,63.4,6.0
201205,69.0,3.0
201206,80.3,5.9
201207,78.9,2.2
201208,79.1,3.7
201209,70.9,2.2
201210,60.5,1.8
201211,51.4,4.7
201212,41.2,2.0
201301,39.3,0.5
201302,43.2,0.3
201303,51.6,2.6
201304,58.5,1.1
201305,68.0,2.0
201306,79.8,5.4
201307,76.5,-0.2
201308,77.9,2.5
201309,70.9,2.2
201310,58.0,-0.7
201311,46.3,-0.4
201312,39.4,0.2
201401,39.5,0.7
201402,45.6,2.7
201403,50.4,1.4
201404,58.5,1.1
201405,66.6,0.6
201406,78.2,3.8
201407,77.9,1.2
201408,76.2,0.8
201409,68.9,0.2
201410,61.4,2.7
201411,45.0,-1.7
201412,42.1,2.9
201501,37.6,-1.2
201502,44.7,1.8
201503,50.6,1.6
201504,57.8,0.4
201505,63.8,-2.2
201506,75.9,1.5
201507,79.0,2.3
201508,79.2,3.8
201509,74.7,6.0
201510,61.8,3.1
201511,48.2,1.5
201512,41.4,2.2
201601,39.4,0.6
201602,46.8,3.9
201603,53.9,4.9
201604,58.7,1.3
201605,65.7,-0.3
201606,77.7,3.3
201607,83.5,6.8
201608,76.1,0.7
201609,70.1,1.4
201610,64.3,5.6
201611,51.7,5.0
201612,41.9,2.7
201701,43.1,4.3
201702,50.0,7.1
201703,57.4,8.4
201704,60.7,3.3
201705,66.9,0.9
201706,78.2,3.8
201707,79.5,2.8
201708,75.5,0.1
201709,71.2,2.5
201710,60.3,1.6
201711,53.7,7.0
201712,43.1,3.9
201801,39.7,0.9
201802,46.1,3.2
201803,53.6,4.6
201804,59.8,2.4
201805,72.9,6.9
201806,79.7,5.3
201807,79.7,3.0
201808,78.2,2.8
201809,70.5,1.8
201810,58.8,0.1
201811,45.8,-0.9
201812,40.3,1.1
201901,41.3,2.5
201902,45.4,2.5
201903,49.4,0.4
201904,60.1,2.7
201905,66.4,0.4
201906,75.1,0.7
201907,80.8,4.1
201908,81.9,6.5
201909,75.0,6.3
201910,57.2,-1.5
201911,47.4,0.7
201912,43.0,3.8
202001,43.0,4.2
