Lafayette Parish, Louisiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,54.7,3.0
200002,60.3,5.7
200003,65.6,4.6
200004,66.8,-1.2
200005,78.0,3.2
200006,80.9,0.3
200007,83.0,0.8
200008,83.7,1.8
200009,78.0,-0.1
200010,68.6,-0.3
200011,57.2,-2.2
200012,46.5,-6.8
200101,48.0,-3.7
200102,59.2,4.6
200103,57.4,-3.6
200104,71.5,3.5
200105,75.3,0.5
200106,78.6,-2.0
200107,82.6,0.4
200108,81.5,-0.4
200109,76.3,-1.8
200110,66.2,-2.7
200111,64.4,5.0
200112,56.3,3.0
200201,53.8,2.1
200202,51.1,-3.5
200203,61.2,0.2
200204,71.3,3.3
200205,75.1,0.3
200206,79.7,-0.9
200207,82.6,0.4
200208,81.8,-0.1
200209,79.0,0.9
200210,71.6,2.7
200211,58.3,-1.1
200212,52.8,-0.5
200301,47.7,-4.0
200302,53.7,-0.9
200303,61.0,0.0
200304,68.4,0.4
200305,78.4,3.6
200306,80.8,0.2
200307,81.9,-0.3
200308,83.1,1.2
200309,77.1,-1.0
200310,69.4,0.5
200311,63.7,4.3
200312,51.3,-2.0
200401,52.2,0.5
200402,51.4,-3.2
200403,65.5,4.5
200404,67.8,-0.2
200405,75.0,0.2
200406,80.2,-0.4
200407,82.2,0.0
200408,81.0,-0.9
200409,79.0,0.9
200410,75.2,6.3
200411,63.8,4.4
200412,51.6,-1.7
200501,55.8,4.1
200502,57.4,2.8
200503,59.0,-2.0
200504,66.8,-1.2
200505,74.6,-0.2
200506,81.8,1.2
200507,83.6,1.4
200508,83.7,1.8
200509,82.0,3.9
200510,68.8,-0.1
200511,62.2,2.8
200512,51.2,-2.1
200601,57.2,5.5
200602,53.0,-1.6
200603,64.1,3.1
200604,72.4,4.4
200605,75.3,0.5
200606,81.1,0.5
200607,82.4,0.2
200608,83.5,1.6
200609,77.3,-0.8
200610,70.3,1.4
200611,60.1,0.7
200612,54.0,0.7
200701,52.0,0.3
200702,52.9,-1.7
200703,64.2,3.2
200704,65.6,-2.4
200705,74.8,0.0
200706,80.8,0.2
200707,81.0,-1.2
200708,84.1,2.2
200709,79.4,1.3
200710,70.8,1.9
200711,61.2,1.8
200712,57.7,4.4
200801,50.5,-1.2
200802,58.0,3.4
200803,61.2,0.2
200804,67.8,-0.2
200805,75.2,0.4
200806,81.5,0.9
200807,82.7,0.5
200808,81.6,-0.3
200809,76.6,-1.5
200810,66.9,-2.0
200811,59.0,-0.4
200812,55.2,1.9
200901,53.6,1.9
200902,57.1,2.5
200903,62.4,1.4
200904,67.0,-1.0
200905,75.3,0.5
200906,82.4,1.8
200907,83.3,1.1
200908,82.2,0.3
200909,78.7,0.6
200910,69.6,0.7
200911,59.3,-0.1
200912,50.0,-3.3
201001,47.4,-4.3
201002,46.7,-7.9
201003,56.1,-4.9
201004,68.8,0.8
201005,78.6,3.8
201006,83.5,2.9
201007,83.3,1.1
201008,84.5,2.6
201009,80.0,1.9
201010,69.0,0.1
201011,60.7,1.3
201012,49.6,-3.7
201101,48.5,-3.2
201102,53.9,-0.7
201103,64.8,3.8
201104,71.9,3.9
201105,75.0,0.2
201106,83.8,3.2
201107,83.0,0.8
201108,86.0,4.1
201109,76.0,-2.1
201110,66.5,-2.4
201111,60.9,1.5
201112,53.8,0.5
201201,57.7,6.0
201202,58.5,3.9
201203,68.4,7.4
201204,70.5,2.5
201205,77.2,2.4
201206,81.0,0.4
201207,82.1,-0.1
