Lafayette Parish, Louisiana, Average Temperature
201208,82.2,0.3
201209,78.5,0.4
201210,68.1,-0.8
201211,59.4,0.0
201212,57.1,3.8
201301,55.1,3.4
201302,57.1,2.5
201303,57.2,-3.8
201304,66.0,-2.0
201305,72.6,-2.2
201306,82.2,1.6
201307,81.7,-0.5
201308,82.5,0.6
201309,81.0,2.9
201310,70.3,1.4
201311,57.3,-2.1
201312,51.2,-2.1
201401,44.7,-7.0
201402,52.5,-2.1
201403,56.8,-4.2
201404,67.3,-0.7
201405,73.0,-1.8
201406,80.7,0.1
201407,81.2,-1.0
201408,82.1,0.2
201409,79.2,1.1
201410,70.6,1.7
201411,54.9,-4.5
201412,56.2,2.9
201501,48.9,-2.8
201502,49.9,-4.7
201503,63.4,2.4
201504,71.6,3.6
201505,76.5,1.7
201506,81.1,0.5
201507,84.4,2.2
201508,83.3,1.4
201509,79.2,1.1
201510,71.0,2.1
201511,65.0,5.6
201512,61.2,7.9
201601,50.6,-1.1
201602,56.3,1.7
201603,65.6,4.6
201604,69.8,1.8
201605,74.8,0.0
201606,81.6,1.0
201607,83.7,1.5
201608,82.5,0.6
201609,81.1,3.0
201610,72.3,3.4
201611,64.4,5.0
201612,58.2,4.9
201701,59.7,8.0
201702,63.9,9.3
201703,66.6,5.6
201704,71.2,3.2
201705,73.2,-1.6
201706,79.2,-1.4
201707,82.4,0.2
201708,81.3,-0.6
201709,77.9,-0.2
201710,70.7,1.8
201711,63.3,3.9
201712,52.7,-0.6
201801,45.4,-6.3
201802,64.8,10.2
201803,63.9,2.9
201804,64.2,-3.8
201805,78.7,3.9
201806,82.1,1.5
201807,83.5,1.3
201808,82.3,0.4
201809,80.6,2.5
201810,73.1,4.2
201811,57.1,-2.3
201812,55.0,1.7
201901,51.7,0.0
201902,60.7,6.1
201903,60.7,-0.3
201904,66.8,-1.2
201905,77.3,2.5
201906,81.1,0.5
201907,81.5,-0.7
201908,82.5,0.6
201909,81.7,3.6
201910,70.5,1.6
201911,56.6,-2.8
201912,56.1,2.8
202001,55.8,4.1
