Hamilton County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,52.2,0.1
200002,55.9,1.4
200003,63.7,3.3
200004,64.3,-2.4
200005,76.0,2.3
200006,79.1,0.1
200007,81.9,1.2
200008,81.2,0.8
200009,76.4,-0.9
200010,66.2,-2.0
200011,58.1,-0.9
200012,48.9,-4.0
200101,47.4,-4.7
200102,59.9,5.4
200103,59.8,-0.6
200104,66.8,0.1
200105,73.3,-0.4
200106,78.6,-0.4
200107,80.9,0.2
200108,80.4,0.0
200109,75.4,-1.9
200110,66.3,-1.9
200111,63.2,4.2
200112,59.1,6.2
200201,53.1,1.0
200202,54.0,-0.5
200203,61.7,1.3
200204,71.2,4.5
200205,74.0,0.3
200206,78.8,-0.2
200207,80.8,0.1
200208,79.8,-0.6
200209,79.3,2.0
200210,72.5,4.3
200211,57.3,-1.7
200212,50.8,-2.1
200301,46.7,-5.4
200302,55.3,0.8
200303,64.8,4.4
200304,65.3,-1.4
200305,75.7,2.0
200306,78.8,-0.2
200307,80.2,-0.5
200308,80.4,0.0
200309,76.0,-1.3
200310,68.6,0.4
200311,63.9,4.9
200312,49.8,-3.1
200401,51.3,-0.8
200402,51.8,-2.7
200403,62.6,2.2
200404,64.7,-2.0
200405,75.3,1.6
200406,80.2,1.2
200407,81.6,0.9
200408,80.3,-0.1
200409,77.6,0.3
200410,71.2,3.0
200411,62.4,3.4
200412,52.8,-0.1
200501,55.3,3.2
200502,55.6,1.1
200503,58.4,-2.0
200504,63.2,-3.5
200505,71.4,-2.3
200506,78.9,-0.1
200507,82.7,2.0
200508,82.1,1.7
200509,79.3,2.0
200510,69.4,1.2
200511,62.0,3.0
200512,49.6,-3.3
200601,56.7,4.6
200602,53.0,-1.5
200603,60.6,0.2
200604,70.0,3.3
200605,73.9,0.2
200606,79.0,0.0
200607,81.3,0.6
200608,82.3,1.9
200609,77.0,-0.3
200610,68.0,-0.2
200611,58.2,-0.8
200612,57.9,5.0
200701,55.1,3.0
200702,52.8,-1.7
200703,62.3,1.9
200704,64.9,-1.8
200705,72.5,-1.2
200706,78.9,-0.1
200707,81.5,0.8
200708,83.1,2.7
200709,78.4,1.1
200710,72.1,3.9
200711,58.5,-0.5
200712,58.6,5.7
200801,52.3,0.2
200802,57.0,2.5
200803,60.0,-0.4
200804,66.6,-0.1
200805,74.1,0.4
200806,80.8,1.8
200807,80.9,0.2
200808,80.3,-0.1
200809,76.9,-0.4
200810,66.9,-1.3
200811,56.3,-2.7
200812,57.1,4.2
200901,52.4,0.3
200902,51.8,-2.7
200903,61.8,1.4
200904,65.9,-0.8
200905,74.2,0.5
200906,81.2,2.2
200907,80.0,-0.7
200908,80.5,0.1
200909,78.5,1.2
200910,71.4,3.2
200911,60.2,1.2
200912,52.6,-0.3
201001,47.8,-4.3
201002,47.4,-7.1
201003,55.7,-4.7
201004,67.0,0.3
201005,76.9,3.2
201006,82.2,3.2
201007,82.8,2.1
201008,83.1,2.7
201009,78.4,1.1
201010,67.9,-0.3
201011,59.3,0.3
201012,45.2,-7.7
201101,47.3,-4.8
201102,57.3,2.8
201103,63.7,3.3
201104,69.3,2.6
201105,73.9,0.2
201106,82.2,3.2
201107,82.0,1.3
201108,83.2,2.8
201109,76.7,-0.6
201110,66.0,-2.2
201111,60.5,1.5
201112,56.7,3.8
201201,55.3,3.2
201202,58.4,3.9
201203,67.9,7.5
201204,68.7,2.0
201205,75.5,1.8
201206,77.0,-2.0
201207,81.9,1.2
201208,79.4,-1.0
201209,77.0,-0.3
201210,69.3,1.1
201211,56.8,-2.2
201212,56.8,3.9
201301,58.4,6.3
201302,55.6,1.1
201303,54.9,-5.5
201304,67.0,0.3
201305,71.4,-2.3
201306,79.8,0.8
201307,79.7,-1.0
201308,80.9,0.5
201309,77.9,0.6
201310,69.5,1.3
201311,59.5,0.5
201312,58.4,5.5
201401,47.1,-5.0
201402,57.2,2.7
201403,57.8,-2.6
201404,67.4,0.7
201405,73.6,-0.1
201406,79.8,0.8
201407,80.9,0.2
201408,82.0,1.6
201409,77.8,0.5
201410,69.2,1.0
201411,54.0,-5.0
201412,56.9,4.0
201501,51.1,-1.0
201502,49.8,-4.7
201503,65.0,4.6
201504,71.6,4.9
201505,74.9,1.2
201506,80.9,1.9
201507,82.4,1.7
201508,81.6,1.2
201509,76.6,-0.7
201510,69.4,1.2
201511,66.4,7.4
201512,64.0,11.1
201601,50.3,-1.8
201602,54.6,0.1
201603,64.7,4.3
201604,67.7,1.0
201605,73.5,-0.2
201606,81.1,2.1
201607,83.4,2.7
201608,81.8,1.4
201609,78.4,1.1
201610,70.2,2.0
201611,61.1,2.1
201612,59.4,6.5
201701,57.6,5.5
201702,61.0,6.5
201703,61.9,1.5
201704,69.2,2.5
201705,73.7,0.0
201706,78.0,-1.0
201707,81.6,0.9
201708,80.7,0.3
201709,77.2,-0.1
201710,70.8,2.6
201711,59.9,0.9
201712,54.6,1.7
201801,46.9,-5.2
201802,64.2,9.7
201803,57.5,-2.9
201804,64.3,-2.4
201805,74.4,0.7
201806,80.5,1.5
201807,80.9,0.2
201808,81.1,0.7
201809,81.0,3.7
201810,72.4,4.2
201811,59.7,0.7
201812,55.4,2.5
201901,53.2,1.1
201902,62.4,7.9
201903,60.3,-0.1
201904,66.8,0.1
201905,77.2,3.5
201906,80.2,1.2
201907,81.2,0.5
201908,81.6,1.2
201909,79.5,2.2
201910,74.2,6.0
201911,57.1,-1.9
201912,57.3,4.4
202001,55.2,3.1
