Whatcom County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.9,2.0
200002,34.8,2.1
200003,36.7,0.6
200004,44.2,2.2
200005,46.3,-1.4
200006,53.7,0.8
200007,57.6,-0.7
200008,57.6,-1.0
200009,53.1,-0.1
200010,45.2,0.7
200011,34.5,-1.3
200012,30.8,0.0
200101,34.1,5.2
200102,32.6,-0.1
200103,37.9,1.8
200104,41.0,-1.0
200105,48.0,0.3
200106,51.2,-1.7
200107,57.7,-0.6
200108,60.1,1.5
200109,54.8,1.6
200110,42.9,-1.6
200111,38.3,2.5
200112,31.3,0.5
200201,32.1,3.2
200202,32.9,0.2
200203,32.0,-4.1
200204,41.2,-0.8
200205,45.6,-2.1
200206,55.0,2.1
200207,59.4,1.1
200208,59.7,1.1
200209,53.6,0.4
200210,44.4,-0.1
200211,39.6,3.8
200212,33.9,3.1
200301,36.5,7.6
200302,35.0,2.3
200303,36.9,0.8
200304,41.9,-0.1
200305,47.6,-0.1
200306,56.1,3.2
200307,61.6,3.3
200308,61.2,2.6
200309,56.3,3.1
200310,47.4,2.9
200311,33.1,-2.7
200312,32.1,1.3
200401,31.0,2.1
200402,36.2,3.5
200403,39.7,3.6
200404,46.9,4.9
200405,49.4,1.7
200406,56.6,3.7
200407,62.4,4.1
200408,62.2,3.6
200409,51.6,-1.6
200410,45.7,1.2
200411,37.3,1.5
200412,34.4,3.6
200501,31.9,3.0
200502,35.7,3.0
200503,40.2,4.1
200504,44.1,2.1
200505,52.0,4.3
200506,52.4,-0.5
200507,59.0,0.7
200508,61.3,2.7
200509,52.2,-1.0
200510,45.6,1.1
200511,35.5,-0.3
200512,32.9,2.1
200601,35.2,6.3
200602,32.5,-0.2
200603,36.6,0.5
200604,42.9,0.9
200605,49.0,1.3
200606,55.5,2.6
200607,61.2,2.9
200608,59.6,1.0
200609,55.6,2.4
200610,45.2,0.7
200611,34.3,-1.5
200612,32.1,1.3
200701,30.4,1.5
200702,35.3,2.6
200703,37.9,1.8
200704,41.6,-0.4
200705,48.9,1.2
200706,52.2,-0.7
200707,61.0,2.7
200708,58.4,-0.2
200709,53.0,-0.2
200710,43.0,-1.5
200711,35.6,-0.2
200712,30.4,-0.4
200801,29.0,0.1
200802,34.2,1.5
200803,34.8,-1.3
200804,38.2,-3.8
200805,48.3,0.6
200806,50.8,-2.1
200807,58.3,0.0
200808,59.1,0.5
200809,54.0,0.8
200810,43.8,-0.7
200811,39.5,3.7
200812,27.0,-3.8
200901,30.4,1.5
200902,32.9,0.2
200903,32.4,-3.7
200904,41.6,-0.4
200905,48.1,0.4
200906,55.9,3.0
200907,63.0,4.7
200908,60.0,1.4
200909,56.0,2.8
200910,43.2,-1.3
200911,37.0,1.2
200912,28.2,-2.6
201001,36.8,7.9
201002,38.1,5.4
201003,39.0,2.9
201004,41.8,-0.2
201005,46.0,-1.7
201006,51.6,-1.3
201007,59.4,1.1
201008,59.4,0.8
201009,53.6,0.4
201010,46.6,2.1
201011,33.7,-2.1
201012,32.2,1.4
201101,32.2,3.3
201102,30.4,-2.3
201103,35.9,-0.2
201104,37.4,-4.6
201105,45.0,-2.7
201106,51.3,-1.6
201107,55.6,-2.7
201108,59.1,0.5
201109,57.0,3.8
201110,43.9,-0.6
201111,33.7,-2.1
201112,31.6,0.8
201201,30.7,1.8
201202,34.3,1.6
201203,34.0,-2.1
201204,42.9,0.9
201205,47.2,-0.5
201206,49.9,-3.0
201207,58.9,0.6
201208,61.8,3.2
201209,56.6,3.4
201210,45.2,0.7
201211,37.5,1.7
201212,31.3,0.5
201301,30.3,1.4
201302,34.5,1.8
201303,37.6,1.5
201304,41.7,-0.3
201305,49.8,2.1
201306,54.1,1.2
201307,61.6,3.3
201308,61.3,2.7
201309,55.7,2.5
201310,44.9,0.4
201311,36.3,0.5
201312,28.8,-2.0
201401,34.9,6.0
201402,29.9,-2.8
201403,36.7,0.6
201404,42.8,0.8
201405,50.5,2.8
201406,53.6,0.7
201407,62.1,3.8
201408,62.7,4.1
201409,56.6,3.4
201410,49.1,4.6
201411,36.3,0.5
201412,34.0,3.2
201501,36.0,7.1
201502,39.9,7.2
201503,42.1,6.0
201504,42.9,0.9
201505,52.9,5.2
201506,60.3,7.4
201507,63.7,5.4
201508,62.1,3.5
201509,52.1,-1.1
201510,49.2,4.7
201511,35.0,-0.8
201512,32.3,1.5
201601,33.2,4.3
201602,38.3,5.6
201603,40.1,4.0
201604,48.6,6.6
201605,51.7,4.0
201606,55.2,2.3
201607,58.9,0.6
201608,62.0,3.4
201609,53.4,0.2
201610,45.1,0.6
201611,41.0,5.2
201612,26.3,-4.5
201701,27.3,-1.6
201702,31.2,-1.5
201703,36.0,-0.1
201704,42.0,0.0
201705,50.1,2.4
201706,54.8,1.9
201707,60.8,2.5
201708,64.0,5.4
201709,57.3,4.1
201710,44.4,-0.1
201711,36.6,0.8
201712,31.0,0.2
201801,34.6,5.7
201802,30.6,-2.1
201803,36.2,0.1
201804,42.7,0.7
201805,53.7,6.0
201806,53.7,0.8
201807,63.2,4.9
201808,61.9,3.3
201809,53.2,0.0
201810,45.9,1.4
201811,39.0,3.2
201812,32.4,1.6
201901,34.9,6.0
201902,25.8,-6.9
201903,37.8,1.7
201904,43.1,1.1
201905,52.6,4.9
201906,55.0,2.1
201907,58.8,0.5
201908,61.4,2.8
201909,54.2,1.0
201910,41.8,-2.7
201911,37.9,2.1
201912,33.6,2.8
202001,31.9,3.0
