Teton County, Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,18.8,4.8
200002,23.8,6.0
200003,25.3,2.4
200004,36.6,4.2
200005,42.8,1.1
200006,50.1,0.8
200007,58.5,1.5
200008,57.9,2.5
200009,46.4,-0.5
200010,37.0,0.3
200011,16.7,-6.8
200012,15.2,-0.1
200101,14.4,0.4
200102,17.6,-0.2
200103,27.6,4.7
200104,33.3,0.9
200105,43.9,2.2
200106,50.4,1.1
200107,58.6,1.6
200108,59.1,3.7
200109,50.5,3.6
200110,36.0,-0.7
200111,29.0,5.5
200112,14.1,-1.2
200201,14.8,0.8
200202,14.7,-3.1
200203,21.8,-1.1
200204,33.2,0.8
200205,40.7,-1.0
200206,50.5,1.2
200207,60.2,3.2
200208,53.6,-1.8
200209,47.3,0.4
200210,32.7,-4.0
200211,22.3,-1.2
200212,18.8,3.5
200301,23.5,9.5
200302,15.8,-2.0
200303,27.4,4.5
200304,34.4,2.0
200305,43.0,1.3
200306,49.1,-0.2
200307,61.5,4.5
200308,59.2,3.8
200309,46.2,-0.7
200310,40.2,3.5
200311,18.1,-5.4
200312,19.5,4.2
200401,15.5,1.5
200402,18.1,0.3
200403,30.7,7.8
200404,36.6,4.2
200405,40.6,-1.1
200406,49.0,-0.3
200407,56.4,-0.6
200408,53.8,-1.6
200409,46.1,-0.8
200410,37.0,0.3
200411,24.7,1.2
200412,20.0,4.7
200501,21.0,7.0
200502,18.7,0.9
200503,26.3,3.4
200504,33.8,1.4
200505,41.6,-0.1
200506,47.0,-2.3
200507,58.2,1.2
200508,54.7,-0.7
200509,45.8,-1.1
200510,38.6,1.9
200511,24.3,0.8
200512,15.1,-0.2
200601,18.9,4.9
200602,15.6,-2.2
200603,22.6,-0.3
200604,36.1,3.7
200605,43.8,2.1
200606,52.5,3.2
200607,60.9,3.9
200608,54.8,-0.6
200609,46.4,-0.5
200610,34.5,-2.2
200611,24.8,1.3
200612,16.4,1.1
200701,10.4,-3.6
200702,22.1,4.3
200703,30.9,8.0
200704,35.8,3.4
200705,43.9,2.2
200706,52.4,3.1
200707,63.4,6.4
200708,57.5,2.1
200709,48.1,1.2
200710,36.5,-0.2
200711,26.3,2.8
200712,14.6,-0.7
200801,11.7,-2.3
200802,19.1,1.3
200803,20.2,-2.7
200804,27.0,-5.4
200805,40.0,-1.7
200806,48.0,-1.3
200807,57.8,0.8
200808,56.2,0.8
200809,46.6,-0.3
200810,36.7,0.0
200811,28.7,5.2
200812,15.3,0.0
200901,17.7,3.7
200902,19.3,1.5
200903,24.2,1.3
200904,32.8,0.4
200905,42.6,0.9
200906,47.7,-1.6
200907,55.6,-1.4
200908,54.2,-1.2
200909,51.6,4.7
200910,30.7,-6.0
200911,25.6,2.1
200912,11.7,-3.6
201001,18.3,4.3
201002,18.3,0.5
201003,27.2,4.3
201004,32.0,-0.4
201005,36.0,-5.7
201006,48.3,-1.0
201007,56.0,-1.0
201008,54.4,-1.0
201009,48.6,1.7
201010,40.0,3.3
201011,22.5,-1.0
201012,19.6,4.3
201101,16.4,2.4
201102,15.1,-2.7
201103,25.4,2.5
201104,29.2,-3.2
201105,37.8,-3.9
201106,46.9,-2.4
201107,57.0,0.0
201108,57.1,1.7
201109,50.1,3.2
201110,38.5,1.8
201111,21.4,-2.1
201112,14.2,-1.1
201201,18.7,4.7
201202,17.6,-0.2
201203,30.0,7.1
201204,37.3,4.9
201205,41.6,-0.1
201206,50.7,1.4
201207,60.1,3.1
201208,58.5,3.1
201209,49.8,2.9
201210,35.4,-1.3
201211,28.3,4.8
201212,16.4,1.1
201301,12.8,-1.2
201302,17.7,-0.1
201303,24.1,1.2
201304,29.9,-2.5
201305,43.0,1.3
201306,51.2,1.9
201307,59.4,2.4
201308,58.4,3.0
201309,48.8,1.9
201310,34.0,-2.7
201311,25.2,1.7
201312,12.2,-3.1
201401,17.2,3.2
201402,18.9,1.1
201403,26.8,3.9
201404,32.0,-0.4
201405,43.5,1.8
201406,47.9,-1.4
201407,58.4,1.4
201408,53.8,-1.6
201409,48.6,1.7
201410,39.8,3.1
201411,22.6,-0.9
201412,20.6,5.3
201501,20.2,6.2
201502,24.9,7.1
201503,30.8,7.9
201504,35.0,2.6
201505,43.3,1.6
201506,55.4,6.1
201507,55.0,-2.0
201508,55.7,0.3
201509,50.0,3.1
201510,42.3,5.6
201511,21.5,-2.0
201512,15.6,0.3
201601,18.7,4.7
201602,23.6,5.8
201603,27.3,4.4
201604,37.5,5.1
201605,42.4,0.7
201606,54.0,4.7
201607,56.8,-0.2
201608,55.7,0.3
201609,48.0,1.1
201610,38.3,1.6
201611,30.8,7.3
201612,10.9,-4.4
201701,11.6,-2.4
201702,23.7,5.9
201703,32.5,9.6
201704,33.3,0.9
201705,42.8,1.1
201706,50.8,1.5
201707,59.9,2.9
201708,56.2,0.8
201709,47.2,0.3
201710,34.3,-2.4
201711,26.9,3.4
201712,18.5,3.2
201801,21.3,7.3
201802,18.2,0.4
201803,24.8,1.9
201804,34.2,1.8
201805,45.9,4.2
201806,50.3,1.0
201807,59.0,2.0
201808,55.6,0.2
201809,49.3,2.4
201810,36.3,-0.4
201811,22.2,-1.3
201812,15.4,0.1
201901,16.5,2.5
201902,16.4,-1.4
201903,23.7,0.8
201904,35.0,2.6
201905,40.2,-1.5
201906,48.5,-0.8
201907,57.6,0.6
201908,56.8,1.4
201909,47.6,0.7
201910,27.4,-9.3
201911,26.2,2.7
201912,17.5,2.2
202001,19.6,5.6
