Erie County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.0,0.1
200002,29.0,5.8
200003,39.5,7.4
200004,44.2,0.6
200005,57.0,2.1
200006,65.0,0.6
200007,66.0,-3.3
200008,66.4,-0.9
200009,60.4,-0.4
200010,51.4,1.5
200011,37.8,-0.7
200012,20.6,-7.0
200101,25.7,2.8
200102,27.8,4.6
200103,30.1,-2.0
200104,46.8,3.2
200105,57.8,2.9
200106,65.6,1.2
200107,68.0,-1.3
200108,71.0,3.7
200109,60.6,-0.2
200110,51.8,1.9
200111,45.9,7.4
200112,35.7,8.1
200201,31.2,8.3
200202,31.2,8.0
200203,34.5,2.4
200204,46.3,2.7
200205,51.3,-3.6
200206,66.2,1.8
200207,71.4,2.1
200208,69.8,2.5
200209,65.4,4.6
200210,48.5,-1.4
200211,38.0,-0.5
200212,27.1,-0.5
200301,18.0,-4.9
200302,20.1,-3.1
200303,33.5,1.4
200304,43.1,-0.5
200305,54.5,-0.4
200306,62.8,-1.6
200307,68.4,-0.9
200308,69.5,2.2
200309,61.4,0.6
200310,47.7,-2.2
200311,42.6,4.1
200312,31.8,4.2
200401,16.9,-6.0
200402,24.1,0.9
200403,36.4,4.3
200404,45.5,1.9
200405,58.4,3.5
200406,62.6,-1.8
200407,67.9,-1.4
200408,65.9,-1.4
200409,63.9,3.1
200410,50.8,0.9
200411,41.7,3.2
200412,29.2,1.6
200501,22.6,-0.3
200502,25.5,2.3
200503,28.7,-3.4
200504,46.2,2.6
200505,52.2,-2.7
200506,70.2,5.8
200507,72.9,3.6
200508,70.9,3.6
200509,64.4,3.6
200510,51.4,1.5
200511,42.6,4.1
200512,26.1,-1.5
200601,34.0,11.1
200602,27.0,3.8
200603,33.2,1.1
200604,47.1,3.5
200605,56.8,1.9
200606,65.9,1.5
200607,71.8,2.5
200608,68.1,0.8
200609,59.6,-1.2
200610,48.0,-1.9
200611,43.3,4.8
200612,36.5,8.9
200701,28.1,5.2
200702,18.1,-5.1
200703,33.7,1.6
200704,41.9,-1.7
200705,57.1,2.2
200706,67.4,3.0
200707,67.4,-1.9
200708,69.8,2.5
200709,64.3,3.5
200710,57.5,7.6
200711,38.3,-0.2
200712,28.8,1.2
200801,28.4,5.5
200802,24.3,1.1
200803,30.2,-1.9
200804,49.8,6.2
200805,51.8,-3.1
200806,67.1,2.7
200807,69.9,0.6
200808,65.9,-1.4
200809,62.3,1.5
200810,47.8,-2.1
200811,38.0,-0.5
200812,28.7,1.1
200901,17.6,-5.3
200902,26.4,3.2
200903,34.2,2.1
200904,46.1,2.5
200905,56.2,1.3
200906,63.1,-1.3
200907,65.5,-3.8
200908,68.8,1.5
200909,61.0,0.2
200910,47.5,-2.4
200911,43.7,5.2
200912,27.9,0.3
201001,23.0,0.1
201002,23.9,0.7
201003,37.6,5.5
201004,50.3,6.7
201005,59.0,4.1
201006,66.4,2.0
201007,72.1,2.8
201008,70.2,2.9
201009,61.2,0.4
201010,50.4,0.5
201011,39.6,1.1
201012,24.5,-3.1
201101,20.5,-2.4
201102,23.6,0.4
201103,31.3,-0.8
201104,45.5,1.9
201105,57.9,3.0
201106,65.9,1.5
201107,73.3,4.0
201108,69.1,1.8
201109,64.0,3.2
201110,50.5,0.6
201111,45.3,6.8
201112,34.3,6.7
201201,28.8,5.9
201202,31.6,8.4
201203,46.1,14.0
201204,43.6,0.0
201205,62.2,7.3
201206,66.4,2.0
201207,73.2,3.9
201208,69.2,1.9
201209,61.6,0.8
201210,51.6,1.7
201211,37.6,-0.9
201212,35.0,7.4
201301,28.1,5.2
201302,24.8,1.6
201303,31.4,-0.7
201304,45.5,1.9
201305,59.4,4.5
201306,64.8,0.4
201307,70.8,1.5
201308,67.0,-0.3
201309,60.0,-0.8
201310,52.7,2.8
201311,36.3,-2.2
201312,27.8,0.2
201401,18.2,-4.7
201402,18.7,-4.5
201403,25.3,-6.8
201404,44.8,1.2
201405,56.8,1.9
201406,67.1,2.7
201407,67.2,-2.1
201408,67.0,-0.3
201409,61.4,0.6
201410,51.9,2.0
201411,36.1,-2.4
201412,32.4,4.8
201501,19.0,-3.9
201502,9.6,-13.6
201503,27.6,-4.5
201504,45.0,1.4
201505,61.2,6.3
201506,64.6,0.2
201507,68.8,-0.5
201508,67.7,0.4
201509,66.6,5.8
201510,50.2,0.3
201511,45.1,6.6
201512,41.5,13.9
201601,25.6,2.7
201602,28.8,5.6
201603,39.3,7.2
201604,42.4,-1.2
201605,56.9,2.0
201606,65.7,1.3
201607,71.8,2.5
201608,73.6,6.3
201609,65.5,4.7
201610,53.6,3.7
201611,43.4,4.9
201612,30.4,2.8
201701,30.3,7.4
201702,33.9,10.7
201703,32.3,0.2
201704,50.3,6.7
201705,55.4,0.5
201706,66.2,1.8
201707,69.6,0.3
201708,67.3,0.0
201709,63.7,2.9
201710,56.4,6.5
201711,38.7,0.2
201712,25.4,-2.2
201801,22.2,-0.7
201802,31.1,7.9
201803,30.0,-2.1
201804,38.7,-4.9
201805,62.8,7.9
201806,66.0,1.6
201807,72.6,3.3
201808,71.5,4.2
201809,66.1,5.3
201810,49.8,-0.1
201811,34.6,-3.9
201812,32.2,4.6
201901,21.7,-1.2
201902,25.9,2.7
201903,30.3,-1.8
201904,44.6,1.0
201905,54.7,-0.2
201906,64.0,-0.4
201907,72.0,2.7
201908,68.3,1.0
201909,63.5,2.7
201910,52.2,2.3
201911,34.7,-3.8
201912,31.8,4.2
202001,31.0,8.1
