ORIGIN,total_departure,average_departure_delay,average_departure_taxi,average_departure_cancelled,averge_departure_distance,total_departure_lg10,total_arrival,average_arrival_delay,average_arrival_taxi,average_arrival_diverted,averge_arrival_distance,total_arrival_lg10
ABE,4034,5.877463365336029,13.556651492159839,0.02032721864154685,562.0696579077838,3.6057358938767465,4037,5.126924047438809,4.179299924452279,0.002972504334902155,561.860044587565,3.6060587494103142
ABI,2490,8.68557336621455,8.305098684210526,0.023293172690763052,158.0,3.3961993470957363,2490,10.4064039408867,3.5184426229508197,0.001606425702811245,158.0,3.3961993470957363
ABQ,35582,5.050531013444808,9.963723689786693,0.005311674442133663,641.429964588837,4.551230355342972,35577,2.210594716767905,5.2421863971314835,0.000674593136014841,642.1587261432949,4.551169323782296
ABY,995,7.742564102564103,10.82340862422998,0.021105527638190954,146.0,2.9978230807457256,997,6.965270684371808,3.421859039836568,0.0020060180541624875,146.0,2.998695158311656
ACK,342,16.47878787878788,20.081818181818182,0.03508771929824561,199.0,2.534026106056135,343,2.516616314199396,5.5568862275449105,0.008746355685131196,198.64723032069972,2.5352941200427703
ACT,1053,7.921157684630739,8.134865134865136,0.04938271604938271,89.0,3.0224283711854865,1052,6.996003996003996,3.87125748502994,0.0009505703422053232,89.0,3.02201573981772
ACV,3370,10.242682926829268,9.438987187309335,0.027596439169139467,272.54836795252226,3.5276299008713385,3364,4.432556713672594,4.1576535288725935,0.008620689655172414,272.59304399524376,3.5268559871258747
ACY,522,5.66015625,12.9140625,0.019157088122605363,717.3333333333334,2.717670503002262,522,7.693359375,5.236328125,0.0,717.0,2.717670503002262
ADK,103,5.505376344086022,6.741935483870968,0.0970873786407767,1192.0,2.012837224705172,103,6.645161290322581,4.387096774193548,0.0,1192.0,2.012837224705172
ADQ,631,11.698010849909585,6.314647377938517,0.12361331220285261,253.0,2.8000293592441343,631,3.052252252252252,3.284684684684685,0.0,253.0,2.8000293592441343
AEX,2947,7.656732117812061,12.474219572079972,0.032914828639294194,335.4757380386834,3.469380135849925,2948,7.219555241793152,3.4330874604847206,0.007801899592944369,335.42639077340567,3.469527479187014
AGS,3107,12.303947368421053,17.69651086240948,0.02252977148374638,142.96266495011264,3.4923412532549745,3106,9.490615739216333,3.222295297599474,0.00128783000643915,143.2066967160335,3.49220145139254
AKN,77,20.272727272727273,4.740259740259741,0.0,289.0,1.8864907251724818,77,-2.675324675324675,3.220779220779221,0.0,289.0,1.8864907251724818
ALB,12018,6.313421518240795,13.704652730950775,0.01289732068563821,649.0463471459477,4.07983219967722,12020,4.9248861911987865,4.2909763686821965,0.0024958402662229617,650.9351913477537,4.07990446766672
ALO,330,1.8538205980066444,14.199335548172758,0.08787878787878788,166.0,2.5185139398778875,331,5.752442996742671,3.870550161812298,0.006042296072507553,166.0,2.519827993775719
AMA,6649,6.666921781723557,8.684524720649012,0.017747029628515567,379.9288614829298,3.8227563329513905,6649,5.834712009803922,4.6097523693060225,0.003459166791998797,380.0351932621447,3.8227563329513905
ANC,17791,3.8389292455528228,13.638075074387732,0.020066325670282728,1229.9920746444832,4.250200359678991,17788,3.5154758461093434,4.624812636919175,0.004609849336631437,1240.174780751068,4.250127120776897
ASE,4701,11.453469852104664,10.902939166097061,0.06658157838757711,271.6760263773665,3.6721902511882525,4708,9.043518094365552,3.253935660506502,0.01656754460492778,271.5649957519116,3.672836454171397
ATL,417449,10.864442870724277,21.97717352536558,0.012930920902912691,617.2955163385228,5.620603425037581,417457,10.679022586106788,11.493781475804687,0.002879338470788608,616.5261332304884,5.620611747784945
ATW,5303,3.4550203134068487,12.190052254693246,0.025834433339619083,290.97265698661136,3.7245216271185626,5306,5.582882534775889,4.204392217299172,0.003769317753486619,290.9200904636261,3.7247672456463103
AUS,41843,5.9225235196458215,11.910694517976609,0.006978467127118036,705.5565088545277,4.621622814404592,41846,4.323136952647045,5.392103111624104,0.0016728002676480427,707.8332935047555,4.621653950717518
AVL,4584,12.183646112600536,17.406711409395974,0.024869109947643978,313.0493019197208,3.6612446089593336,4585,5.684328191370445,3.522707034728406,0.004362050163576881,312.87917121046894,3.66133934000604
AVP,2142,4.880794701986755,14.227746212121213,0.014472455648926238,520.9169000933707,3.330819466495837,2138,5.065279091769158,3.7476415094339623,0.003274087932647334,520.744153414406,3.330007700872759
AZO,2953,2.430031723651745,12.565079365079365,0.03995936335929563,140.9776498476126,3.4702634469650784,2953,2.99048290447656,3.8407329105003525,0.0006772773450728074,143.90755164239755,3.4702634469650784
BDL,23760,5.697255538008451,14.386507258753202,0.014436026936026936,725.2510942760942,4.375846436309156,23754,4.593628394269831,5.253339022829102,0.002315399511661194,730.4270017681233,4.375736752135849
BET,1026,4.163054695562436,6.375644994840041,0.05555555555555555,399.0,3.0111473607757975,1026,0.6862745098039216,3.4293085655314757,0.0,399.0,3.0111473607757975
