,Facility Name,City,country,ident,airport_ident,Lat,Long
0,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291
1,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312
5,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.678100585900005
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647
9,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001
10,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330230712889,-14.401399612426758
12,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272
13,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.13529968261719
15,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357055998
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965
17,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625
21,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564002991,-97.0325012207
22,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.639701843299996,-63.4994010925
23,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.391899108900006,-56.083099365200006
24,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.77558300000001
25,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098
26,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672
27,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125
28,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,-96.077796936
29,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080184936523,-125.27100372314452
30,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897
31,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.13800048799999
32,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.054970224899996,-123.869862556
33,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296398162799996,-117.63200378399999
34,Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203
35,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990798999999996,-66.330299
36,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.81670379639999,-115.14399719200001
37,Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695
38,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.93900299100001
39,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446
40,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882
41,Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,-139.12800598144528
42,Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094
43,Princeton Airport,Princeton,Canada,YDC,CYDC,49.468101501499994,-120.51100158700001
44,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,-57.39139938354492
45,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681
46,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956054688,-100.052001953125
47,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.18299865722656
48,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.309700012200004,-113.580001831
49,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812
50,Estevan Airport,Estevan,Canada,YEN,CYEN,49.210300445600005,-102.96600341799999
51,Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.46499633799999
52,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355
53,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709
54,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756401061999995,-68.5558013916
55,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.86890029907226,-66.53720092773439
56,Forestville Airport,Forestville,Canada,\N,CYFE,48.74610137939453,-69.09719848632811
57,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.68199920654295
58,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441
59,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876
60,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414
61,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136108398,-77.7042007446289
62,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.775299072299994,-64.4785995483
63,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830123901367,-86.93939971923828
64,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594
65,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.31099700899999
66,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.83169937133789,-92.74420166015624
67,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938
68,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277
69,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.173599243199995,-79.93499755859999
70,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348
71,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131
72,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.880798339799995,-63.508598327600005
73,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104
74,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929
75,St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926147461,-73.28109741210938
76,Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.54999923706055
77,Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.702201843299996,-120.444000244
78,Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.4608001709,-80.3786010742
79,Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530166625977,-66.8052978515625
80,Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.5175018311,-109.180999756
81,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169067383,-79.37000274658203
82,Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.81999969482422,-83.3467025756836
83,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.12530136108398,-108.52300262451172
84,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.30920028686523,-110.072998046875
85,Alert Airport,Alert,Canada,YLT,CYLT,82.51779937740001,-62.280601501499994
86,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352
87,Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167236328,-135.86799621582028
88,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.330299377441406,-105.55899810791016
89,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.653301238999994,-111.22200012200001
90,Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.291099548339844,-80.60780334472656
91,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.272800445600005,-75.9906005859
92,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.67950057979999,-74.0386962891
93,Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999862670898,-61.78919982910156
94,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.5217018127,-75.5635986328
95,Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169967651367,-77.80280303955078
96,Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060241699219,-139.83900451660156
97,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499877929688,-110.27899932861328
98,High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139892578125,-117.16500091552734
99,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.66919708251953
100,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.214199066199996,-105.672996521
101,Peace River Airport,Peace River,Canada,YPE,CYPE,56.22689819335938,-117.4469985961914
102,Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,49.903099,-98.27381700000001
103,Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,49.21609878540039,-122.70999908447266
104,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.21420288085938
105,Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.83639907836914,-64.28859710693361
106,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.22999954223633,-78.36329650878906
107,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.2860984802,-130.445007324
108,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.7672004699707,-111.11699676513672
109,Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.974700927734375,-79.30329895019531
110,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303
111,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.18220138549805,-113.8939971923828
112,Windsor Airport,Windsor,Canada,YQG,CYQG,42.27560043334961,-82.95559692382812
113,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.11640167236328,-128.82200622558594
114,Kenora Airport,Kenora,Canada,YQK,CYQK,49.78829956054688,-94.36309814453124
115,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.80000305200001
116,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.11220169067383,-64.67859649658203
117,Comox Airport,Comox,Canada,YQQ,CYQQ,49.71080017089844,-124.88700103759766
118,Regina International Airport,Regina,Canada,YQR,CYQR,50.43190002441406,-104.66600036621094
119,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865112305,-89.32389831542969
120,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136
121,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.26470184326172,-102.46199798583984
122,North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.76919937133789,-108.24400329589844
123,Gander International Airport,Gander,Canada,YQX,CYQX,48.9369010925293,-54.56809997558594
124,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1613998413,-60.047798156700004
125,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.026100158691406,-122.51000213623048
126,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.71690368649999,-94.9693984985
127,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.76440048217773,-69.58470153808594
128,Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.52000045776367,-72.2656021118164
