airport_code,city_name,population
ABE,Allentown,682899
ABI,Abilene,114964
ABQ,Albuquerque,758523
ABY,Albany,90515
ACK,Siasconset,201
ACT,Waco,188448
ACV,Arcata,33806
ACY,Atlantic City,241363
AEX,Alexandria,82131
AGS,Bush,270
ALB,Albany,597270
ALO,Waterloo,112060
AMA,Amarillo,206072
ASE,Aspen,8521
ATL,Atlanta,5228750
ATW,Appleton,222222
AUS,Austin,1638716
AVL,Asheville,309250
AVP,Scranton,389022
AZO,Kalamazoo,214083
BDL,Suffield Depot,1315
BFL,Bakersfield,574362
BGM,Binghamton University,6240
BGR,Bangor,59107
BHM,Birmingham,744189
BIL,Billings,120800
BIS,Bismarck,97457
BJI,Bemidji,16733
BKG,Branson,24682
BLI,Bellingham,126015
BMI,Bloomington,134892
BNA,Nashville,1076645
BOI,Boise,385218
BOS,Boston,4637537
BQK,Brunswick,54017
BRO,Brownsville,227883
BTM,Butte,30628
BTR,Baton Rouge,583613
BTV,Burlington,108277
BUF,Buffalo,926261
BUR,Burbank,104834
BWI,Baltimore Highlands,7565
BZN,Bozeman,53949
CAE,West Columbia,17265
CAK,Akron,565920
CDC,Cedar City,36592
CEC,Crescent City,15886
CHA,Chattanooga,407182
CHO,Charlottesville,102016
CHS,Charleston,616085
CIC,Chico,106268
CID,Cedar Rapids,186160
CLD,Carlsbad,115330
CLE,Cleveland,1730363
CLL,College Station,207308
CLT,Charlotte,1467362
CMH,Columbus,1528314
CMI,Champaign,156794
CMX,Hancock,4560
COD,Cody,9696
COS,Colorado Springs,623946
CPR,Casper,67462
CRP,Corpus Christi,341435
CRW,Charleston,142858
CSG,Columbus,259160
CVG,Cincinnati,1648254
CWA,Mosinee,4002
DAB,Daytona Beach,68055
DAL,Dallas,5733259
DFW,Dallas,5733259
DAY,Dayton,718169
DBQ,Dubuque,68573
DCA,Washington,5289420
DEN,Denver,2787266
DHN,Dothan,71620
DLH,Duluth,120101
DRO,Durango,19662
DSM,Des Moines,481222
DTW,Detroit Beach,1797
EGE,Vail,6017
EKO,Elko,21178
ELM,Elmira Heights,3893
ELP,El Paso,845674
ERI,Erie,188079
EUG,Eugene,267568
EVV,Evansville,232285
EWN,New Bern,50617
EWR,Newark,285154
EYW,Key West,32820
FAR,Fargo,204820
FAT,Fresno,698021
FAY,Fayetteville,324700
FCA,Kalispell,37024
FLG,Flagstaff,78628
FLL,Fort Lauderdale,180072
FLO,Florence,91311
FNT,Flint,335354
FSD,Sioux Falls,180204
FSM,Fort Smith,125562
FWA,Fort Wayne,328564
GCC,Gillette,34378
GEG,Spokane,403043
GFK,Grand Forks,66159
GGG,Longview,100196
GJT,Grand Junction,136688
GNV,Gainesville,199695
GPT,Gulfport,221348
GRB,Green Bay,208625
GRK,Killeen,247489
GRR,East Grand Rapids,11731
GSO,Greensboro,335588
GSP,Greenville,467894
GTF,Great Falls,65624
GTR,Columbus,31701
GUC,Gunnison,7075
HDN,Hayden,1932
HLN,Helena,50227
HOU,Houston,5446468
IAH,Houston,5446468
HPN,White Plains,59047
HRL,Harlingen,136968
HSV,Huntsville,309716
HTS,Huntington,194155
IAD,Washington Grove,565
ICT,Wichita,483057
IDA,Idaho Falls,97548
ILM,Wilmington,245910
IND,Indianapolis,1564699
IPL,Imperial,17550
ISP,Islip Terrace,5611
ITH,East Ithaca,2244
IYK,Inyokern,731
JAC,Teton Village,132
JAN,Jackson,338185
JAX,Jacksonville,1156291
JFK,New Hyde Park,9953
LAN,Lansing,320928
LAS,Las Vegas,2073045
LAW,Lawton,91383
LAX,Los Angeles,12815475
LBB,Lubbock,262505
LCH,Lake Charles,153633
LEX,Lexington,315939
LFT,Lafayette,265746
LGA,New York,19354922
LGB,Long Beach,469450
LIT,Little Rock,442699
LMT,Klamath Falls,42463
LNK,Lincoln,285118
LRD,Laredo,260244
LSE,La Crosse,101886
LWB,Lewisburg,7099
LWS,Lewiston,53436
LYH,Lynchburg,125004
MAF,Midland,144247
MBS,Saginaw,119336
MCI,Kansas City,152938
MCO,Orlando,1776841
MDT,Harrisburg,441580
MDW,Chicago Ridge,14186
MEI,Meridian,38294
MEM,Memphis,1068873
MFE,McAllen,800904
MFR,Medford,168219
MGM,Montgomery,255908
MHK,Manhattan,57284
MHT,Manchester,160742
MIA,Miami Springs,14424
MKE,West Milwaukee,4157
MLB,Melbourne,82011
MLI,Moline,42231
MLU,Monroe,115462
MOB,Mobile,318084
MOD,Modesto,381398
MOT,Minot,49884
MQT,Gwinn,2072
MRY,Monterey,28639
MSN,Madison,439553
MSO,Missoula,90218
MSP,Minneapolis,2926757
MSY,New Sarpy,1203
MTJ,Montrose,22912
MWH,Moses Lake North,3787
MYR,Myrtle Beach,260487
OAJ,Jacksonville,108872
OAK,Oakland,425195
OKC,Oklahoma City,955998
