Centre County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.57,-1.33
200002,2.95,0.46
200003,2.68,-0.83
200004,4.77,1.12
200005,3.28,-0.77
200006,5.32,1.16
200007,1.87,-2.24
200008,3.88,0.31
200009,2.63,-0.78
200010,2.98,-0.12
200011,2.16,-0.90
200012,2.06,-0.81
200101,1.33,-1.57
200102,1.02,-1.47
200103,4.22,0.71
200104,2.76,-0.89
200105,2.48,-1.57
200106,4.02,-0.14
200107,2.17,-1.94
200108,3.86,0.29
200109,3.90,0.49
200110,2.22,-0.88
200111,2.14,-0.92
200112,2.39,-0.48
200201,1.70,-1.20
200202,1.47,-1.02
200203,4.21,0.70
200204,3.30,-0.35
200205,6.79,2.74
200206,6.53,2.37
200207,1.90,-2.21
200208,2.01,-1.56
200209,3.89,0.48
200210,5.19,2.09
200211,2.91,-0.15
200212,3.44,0.57
200301,2.32,-0.58
200302,3.47,0.98
200303,2.95,-0.56
200304,2.83,-0.82
200305,5.01,0.96
200306,4.95,0.79
200307,5.66,1.55
200308,7.34,3.77
200309,8.46,5.05
200310,3.48,0.38
200311,4.72,1.66
200312,4.41,1.54
200401,3.68,0.78
200402,2.33,-0.16
200403,2.99,-0.52
200404,4.96,1.31
200405,5.25,1.20
200406,3.94,-0.22
200407,8.33,4.22
200408,4.95,1.38
200409,11.01,7.60
200410,2.78,-0.32
200411,3.17,0.11
200412,3.16,0.29
200501,5.45,2.55
200502,2.78,0.29
200503,3.50,-0.01
200504,2.21,-1.44
200505,1.97,-2.08
200506,2.11,-2.05
200507,3.14,-0.97
200508,3.07,-0.50
200509,1.29,-2.12
200510,6.09,2.99
200511,5.06,2.00
200512,2.33,-0.54
200601,4.20,1.30
200602,1.40,-1.09
200603,1.26,-2.25
200604,3.23,-0.42
200605,2.72,-1.33
200606,6.50,2.34
200607,3.96,-0.15
200608,4.52,0.95
200609,4.42,1.01
200610,4.75,1.65
200611,3.27,0.21
200612,1.75,-1.12
200701,3.25,0.35
200702,2.05,-0.44
200703,3.65,0.14
200704,3.74,0.09
200705,2.23,-1.82
200706,3.13,-1.03
200707,2.78,-1.33
200708,4.61,1.04
200709,1.40,-2.01
200710,2.32,-0.78
200711,4.12,1.06
200712,4.07,1.20
200801,1.75,-1.15
200802,4.29,1.80
200803,5.69,2.18
200804,3.82,0.17
200805,4.41,0.36
200806,3.76,-0.40
200807,3.41,-0.70
200808,2.27,-1.30
200809,4.43,1.02
200810,2.08,-1.02
200811,1.85,-1.21
200812,5.04,2.17
200901,2.15,-0.75
200902,1.19,-1.30
200903,1.56,-1.95
200904,3.28,-0.37
200905,4.14,0.09
200906,4.31,0.15
200907,4.83,0.72
200908,4.60,1.03
200909,2.90,-0.51
200910,5.13,2.03
200911,1.23,-1.83
200912,4.40,1.53
201001,3.13,0.23
201002,1.95,-0.54
201003,4.08,0.57
201004,1.85,-1.80
201005,4.12,0.07
201006,3.11,-1.05
201007,4.30,0.19
201008,3.63,0.06
201009,3.10,-0.31
201010,5.51,2.41
201011,3.28,0.22
201012,3.90,1.03
201101,1.36,-1.54
201102,3.86,1.37
201103,5.78,2.27
201104,8.37,4.72
201105,5.88,1.83
201106,3.13,-1.03
201107,2.21,-1.90
201108,6.02,2.45
201109,10.79,7.38
201110,5.40,2.30
201111,3.31,0.25
201112,3.99,1.12
201201,3.23,0.33
201202,1.23,-1.26
201203,2.66,-0.85
201204,1.74,-1.91
201205,6.76,2.71
201206,3.31,-0.85
201207,4.23,0.12
201208,3.64,0.07
201209,4.73,1.32
201210,4.97,1.87
201211,0.77,-2.29
201212,4.83,1.96
201301,2.81,-0.09
201302,1.76,-0.73
201303,1.88,-1.63
201304,3.39,-0.26
201305,3.70,-0.35
201306,5.51,1.35
201307,4.70,0.59
201308,1.78,-1.79
201309,1.96,-1.45
201310,3.31,0.21
201311,3.20,0.14
201312,3.97,1.10
201401,1.34,-1.56
201402,2.84,0.35
201403,2.31,-1.20
201404,2.96,-0.69
201405,6.33,2.28
201406,4.66,0.50
201407,5.52,1.41
201408,4.92,1.35
201409,1.56,-1.85
201410,3.77,0.67
201411,1.94,-1.12
201412,2.56,-0.31
201501,2.32,-0.58
201502,1.22,-1.27
201503,2.64,-0.87
201504,4.86,1.21
201505,1.80,-2.25
201506,8.13,3.97
201507,6.42,2.31
201508,2.77,-0.80
201509,3.61,0.20
201510,3.67,0.57
201511,1.64,-1.42
201512,3.90,1.03
201601,2.30,-0.60
201602,3.54,1.05
201603,1.62,-1.89
201604,2.06,-1.59
201605,4.05,0.00
201606,2.52,-1.64
201607,2.38,-1.73
201608,4.58,1.01
201609,3.71,0.30
201610,4.29,1.19
201611,0.84,-2.22
201612,3.42,0.55
201701,3.34,0.44
201702,1.92,-0.57
201703,3.35,-0.16
201704,4.06,0.41
201705,7.18,3.13
201706,4.02,-0.14
201707,5.59,1.48
201708,3.42,-0.15
201709,1.89,-1.52
201710,6.40,3.30
201711,2.15,-0.91
201712,1.30,-1.57
201801,2.99,0.09
201802,5.54,3.05
201803,2.28,-1.23
201804,4.04,0.39
201805,5.88,1.83
201806,5.42,1.26
201807,10.33,6.22
201808,5.18,1.61
201809,9.54,6.13
201810,4.48,1.38
201811,5.43,2.37
201812,4.35,1.48
201901,4.52,1.62
201902,3.61,1.12
201903,2.24,-1.27
201904,3.96,0.31
201905,7.27,3.22
201906,4.86,0.70
201907,4.50,0.39
201908,3.82,0.25
201909,2.31,-1.10
201910,5.14,2.04
201911,2.10,-0.96
201912,3.27,0.40
202001,2.29,-0.61
