Boone County, Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.83,-0.99
200002,3.02,1.25
200003,2.28,-0.61
200004,0.75,-3.01
200005,5.03,0.36
200006,6.23,1.77
200007,4.01,0.46
200008,7.75,4.09
200009,2.25,-1.90
200010,4.16,0.98
200011,1.86,-0.72
200012,0.91,-1.07
200101,3.17,1.35
200102,4.55,2.78
200103,1.46,-1.43
200104,4.03,0.27
200105,6.58,1.91
200106,6.41,1.95
200107,4.88,1.33
200108,3.67,0.01
200109,2.88,-1.27
200110,4.31,1.13
200111,1.90,-0.68
200112,1.28,-0.70
200201,2.81,0.99
200202,0.86,-0.91
200203,1.78,-1.11
200204,4.86,1.10
200205,9.85,5.18
200206,3.21,-1.25
200207,3.84,0.29
200208,5.87,2.21
200209,1.55,-2.60
200210,4.50,1.32
200211,0.71,-1.87
200212,1.51,-0.47
200301,0.86,-0.96
200302,1.73,-0.04
200303,2.78,-0.11
200304,4.25,0.49
200305,4.93,0.26
200306,5.41,0.95
200307,1.23,-2.32
200308,2.49,-1.17
200309,8.37,4.22
200310,2.12,-1.06
200311,2.71,0.13
200312,3.67,1.69
200401,2.14,0.32
200402,0.69,-1.08
200403,6.02,3.13
200404,2.75,-1.01
200405,5.43,0.76
200406,1.94,-2.52
200407,5.79,2.24
200408,6.82,3.16
200409,1.71,-2.44
200410,4.46,1.28
200411,5.80,3.22
200412,1.27,-0.71
200501,6.00,4.18
200502,2.02,0.25
200503,1.13,-1.76
200504,3.64,-0.12
200505,2.55,-2.12
200506,4.28,-0.18
200507,0.67,-2.88
200508,7.82,4.16
200509,4.44,0.29
200510,2.35,-0.83
200511,1.81,-0.77
200512,0.95,-1.03
200601,1.74,-0.08
200602,0.09,-1.68
200603,3.50,0.61
200604,2.64,-1.12
200605,2.53,-2.14
200606,5.12,0.66
200607,3.49,-0.06
200608,4.29,0.63
200609,1.37,-2.78
200610,3.29,0.11
200611,3.04,0.46
200612,2.21,0.23
200701,2.45,0.63
200702,2.02,0.25
200703,2.86,-0.03
200704,4.48,0.72
200705,3.92,-0.75
200706,5.23,0.77
200707,1.76,-1.79
200708,2.10,-1.56
200709,1.65,-2.50
200710,3.51,0.33
200711,1.72,-0.86
200712,3.62,1.64
200801,2.13,0.31
200802,3.86,2.09
200803,4.42,1.53
200804,5.04,1.28
200805,5.87,1.20
200806,6.88,2.42
200807,11.57,8.02
200808,2.98,-0.68
200809,10.59,6.44
200810,2.37,-0.81
200811,1.31,-1.27
200812,3.17,1.19
200901,0.16,-1.66
200902,2.07,0.30
200903,4.05,1.16
200904,6.41,2.65
200905,4.98,0.31
200906,6.55,2.09
200907,6.05,2.50
200908,3.94,0.28
200909,3.42,-0.73
200910,11.26,8.08
200911,2.26,-0.32
200912,3.21,1.23
201001,2.01,0.19
201002,2.43,0.66
201003,2.72,-0.17
201004,7.08,3.32
201005,5.76,1.09
201006,5.66,1.20
201007,10.04,6.49
201008,3.83,0.17
201009,7.86,3.71
201010,0.72,-2.46
201011,1.85,-0.73
201012,1.67,-0.31
201101,1.31,-0.51
201102,3.31,1.54
201103,3.53,0.64
201104,3.73,-0.03
201105,5.70,1.03
201106,4.37,-0.09
201107,2.19,-1.36
201108,2.61,-1.05
201109,2.22,-1.93
201110,0.87,-2.31
201111,4.84,2.26
201112,3.42,1.44
201201,0.67,-1.15
201202,2.26,0.49
201203,4.53,1.64
201204,6.85,3.09
201205,1.91,-2.76
201206,2.04,-2.42
201207,1.41,-2.14
201208,0.91,-2.75
201209,4.34,0.19
201210,3.56,0.38
201211,1.44,-1.14
201212,1.28,-0.70
201301,2.72,0.90
201302,3.50,1.73
201303,3.08,0.19
201304,7.67,3.91
201305,8.38,3.71
201306,3.11,-1.35
201307,1.86,-1.69
201308,1.81,-1.85
201309,2.67,-1.48
201310,3.20,0.02
201311,1.96,-0.62
201312,1.71,-0.27
201401,0.63,-1.19
201402,1.20,-0.57
201403,1.35,-1.54
201404,7.13,3.37
201405,2.87,-1.80
201406,5.92,1.46
201407,2.43,-1.12
201408,4.05,0.39
201409,5.09,0.94
201410,9.63,6.45
201411,1.21,-1.37
201412,2.10,0.12
201501,0.72,-1.10
201502,1.30,-0.47
201503,2.10,-0.79
201504,3.44,-0.32
201505,6.02,1.35
201506,7.44,2.98
201507,8.93,5.38
201508,2.57,-1.09
201509,1.13,-3.02
201510,1.48,-1.70
201511,8.34,5.76
201512,6.77,4.79
201601,0.85,-0.97
201602,0.60,-1.17
201603,2.13,-0.76
201604,2.94,-0.82
201605,4.39,-0.28
201606,2.14,-2.32
201607,9.71,6.16
201608,5.08,1.42
201609,5.71,1.56
201610,1.76,-1.42
201611,1.56,-1.02
201612,1.26,-0.72
201701,1.05,-0.77
201702,0.16,-1.61
201703,3.61,0.72
201704,8.50,4.74
201705,5.48,0.81
201706,4.80,0.34
201707,3.23,-0.32
201708,3.52,-0.14
201709,1.22,-2.93
201710,4.87,1.69
201711,0.54,-2.04
201712,0.34,-1.64
201801,1.70,-0.12
201802,3.21,1.44
201803,3.76,0.87
201804,0.57,-3.19
201805,3.02,-1.65
201806,3.26,-1.20
201807,2.13,-1.42
201808,3.40,-0.26
201809,3.17,-0.98
201810,5.77,2.59
201811,2.90,0.32
201812,3.91,1.93
201901,2.57,0.75
201902,2.11,0.34
201903,3.79,0.90
201904,3.05,-0.71
201905,7.50,2.83
201906,5.40,0.94
201907,3.34,-0.21
201908,6.25,2.59
201909,3.02,-1.13
201910,4.81,1.63
201911,1.89,-0.69
201912,1.74,-0.24
202001,3.72,1.90
