Laramie County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.43,-0.02
200002,0.71,0.18
200003,1.24,0.22
200004,1.10,-0.79
200005,2.13,-0.49
200006,0.87,-1.36
200007,1.11,-0.83
200008,0.97,-0.56
200009,2.44,1.09
200010,0.60,-0.40
200011,0.84,0.22
200012,0.72,0.14
200101,0.47,0.02
200102,0.37,-0.16
200103,0.56,-0.46
200104,2.57,0.68
200105,2.75,0.13
200106,1.08,-1.15
200107,2.69,0.75
200108,0.99,-0.54
200109,1.50,0.15
200110,0.89,-0.11
200111,0.51,-0.11
200112,0.09,-0.49
200201,0.19,-0.26
200202,0.51,-0.02
200203,0.97,-0.05
200204,0.55,-1.34
200205,0.74,-1.88
200206,0.84,-1.39
200207,0.68,-1.26
200208,2.23,0.70
200209,1.60,0.25
200210,1.15,0.15
200211,0.44,-0.18
200212,0.07,-0.51
200301,0.19,-0.26
200302,0.52,-0.01
200303,2.56,1.54
200304,2.59,0.70
200305,1.93,-0.69
200306,3.09,0.86
200307,0.79,-1.15
200308,0.90,-0.63
200309,1.03,-0.32
200310,0.28,-0.72
200311,0.72,0.10
200312,0.65,0.07
200401,0.17,-0.28
200402,0.53,0.00
200403,0.30,-0.72
200404,1.32,-0.57
200405,1.10,-1.52
200406,2.80,0.57
200407,1.80,-0.14
200408,1.02,-0.51
200409,2.87,1.52
200410,0.96,-0.04
200411,1.34,0.72
200412,0.17,-0.41
200501,0.54,0.09
200502,0.29,-0.24
200503,0.79,-0.23
200504,1.94,0.05
200505,1.83,-0.79
200506,4.39,2.16
200507,1.66,-0.28
200508,1.59,0.06
200509,0.36,-0.99
200510,2.00,1.00
200511,0.33,-0.29
200512,0.35,-0.23
200601,0.12,-0.33
200602,0.72,0.19
200603,1.68,0.66
200604,0.83,-1.06
200605,1.35,-1.27
200606,0.71,-1.52
200607,1.74,-0.20
200608,1.92,0.39
200609,1.30,-0.05
200610,0.71,-0.29
200611,0.08,-0.54
200612,1.37,0.79
200701,0.35,-0.10
200702,0.31,-0.22
200703,1.61,0.59
200704,1.73,-0.16
200705,2.01,-0.61
200706,0.62,-1.61
200707,2.91,0.97
200708,2.06,0.53
200709,1.38,0.03
200710,1.90,0.90
200711,0.33,-0.29
200712,1.27,0.69
200801,0.08,-0.37
200802,0.31,-0.22
200803,0.69,-0.33
200804,0.84,-1.05
200805,2.92,0.30
200806,1.55,-0.68
200807,1.13,-0.81
200808,3.88,2.35
200809,1.35,0.00
200810,0.71,-0.29
200811,0.47,-0.15
200812,0.33,-0.25
200901,0.88,0.43
200902,0.25,-0.28
200903,0.81,-0.21
200904,3.54,1.65
200905,1.80,-0.82
200906,4.86,2.63
200907,2.62,0.68
200908,0.76,-0.77
200909,0.63,-0.72
200910,2.27,1.27
200911,0.53,-0.09
200912,0.78,0.20
201001,0.15,-0.30
201002,0.74,0.21
201003,1.18,0.16
201004,4.02,2.13
201005,2.77,0.15
201006,2.79,0.56
201007,1.85,-0.09
201008,1.03,-0.50
201009,0.04,-1.31
201010,1.13,0.13
201011,0.73,0.11
201012,0.67,0.09
201101,0.33,-0.12
201102,0.65,0.12
201103,0.84,-0.18
201104,2.02,0.13
201105,3.68,1.06
201106,1.88,-0.35
201107,2.95,1.01
201108,1.24,-0.29
201109,0.59,-0.76
201110,1.91,0.91
201111,0.70,0.08
201112,0.56,-0.02
201201,0.28,-0.17
201202,1.06,0.53
201203,0.00,-1.02
201204,0.78,-1.11
201205,0.53,-2.09
201206,1.89,-0.34
201207,2.11,0.17
201208,0.17,-1.36
201209,1.03,-0.32
201210,1.07,0.07
201211,0.09,-0.53
201212,0.51,-0.07
201301,0.21,-0.24
201302,0.66,0.13
201303,0.56,-0.46
201304,2.51,0.62
201305,1.61,-1.01
201306,0.51,-1.72
201307,1.84,-0.10
201308,1.74,0.21
201309,5.98,4.63
201310,2.47,1.47
201311,0.28,-0.34
201312,0.53,-0.05
201401,0.85,0.40
201402,1.29,0.76
201403,1.25,0.23
201404,1.01,-0.88
201405,3.13,0.51
201406,2.11,-0.12
201407,3.01,1.07
201408,1.84,0.31
201409,2.28,0.93
201410,0.50,-0.50
201411,1.14,0.52
201412,1.09,0.51
201501,0.22,-0.23
201502,0.89,0.36
201503,0.21,-0.81
201504,3.59,1.70
201505,6.20,3.58
201506,2.07,-0.16
201507,2.57,0.63
201508,1.00,-0.53
201509,0.43,-0.92
201510,1.96,0.96
201511,1.32,0.70
201512,1.03,0.45
201601,0.55,0.10
201602,0.96,0.43
201603,2.54,1.52
201604,3.61,1.72
201605,2.42,-0.20
201606,1.16,-1.07
201607,1.02,-0.92
201608,1.51,-0.02
201609,0.82,-0.53
201610,0.30,-0.70
201611,0.54,-0.08
201612,0.72,0.14
201701,0.91,0.46
201702,0.86,0.33
201703,1.02,0.00
201704,2.62,0.73
201705,3.58,0.96
201706,0.53,-1.70
201707,0.93,-1.01
201708,1.48,-0.05
201709,1.59,0.24
201710,1.17,0.17
201711,0.58,-0.04
201712,0.59,0.01
201801,0.60,0.15
201802,0.46,-0.07
201803,1.39,0.37
201804,1.08,-0.81
201805,4.43,1.81
201806,1.65,-0.58
201807,1.98,0.04
201808,1.71,0.18
201809,0.42,-0.93
201810,0.89,-0.11
201811,0.98,0.36
201812,0.35,-0.23
201901,0.36,-0.09
201902,0.32,-0.21
201903,2.33,1.31
201904,1.50,-0.39
201905,4.46,1.84
201906,2.98,0.75
201907,1.58,-0.36
201908,1.18,-0.35
201909,0.94,-0.41
201910,0.84,-0.16
201911,0.91,0.29
201912,0.79,0.21
202001,0.12,-0.33
