Gunnison County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.92,0.79
200002,2.46,0.23
200003,2.80,0.30
200004,1.18,-1.04
200005,1.37,-0.33
200006,0.78,-0.33
200007,1.69,-0.32
200008,2.73,0.61
200009,1.76,0.01
200010,1.48,-0.31
200011,1.14,-0.60
200012,1.96,-0.02
200101,1.05,-1.08
200102,2.05,-0.18
200103,1.99,-0.51
200104,1.88,-0.34
200105,1.85,0.15
200106,1.09,-0.02
200107,2.09,0.08
200108,3.05,0.93
200109,1.04,-0.71
200110,1.40,-0.39
200111,1.97,0.23
200112,1.50,-0.48
200201,0.81,-1.32
200202,0.89,-1.34
200203,1.64,-0.86
200204,0.92,-1.30
200205,0.24,-1.46
200206,0.25,-0.86
200207,1.20,-0.81
200208,1.23,-0.89
200209,3.36,1.61
200210,2.16,0.37
200211,2.75,1.01
200212,1.11,-0.87
200301,0.55,-1.58
200302,2.45,0.22
200303,2.31,-0.19
200304,1.47,-0.75
200305,1.99,0.29
200306,0.98,-0.13
200307,1.12,-0.89
200308,2.39,0.27
200309,3.15,1.40
200310,0.82,-0.97
200311,2.82,1.08
200312,1.68,-0.30
200401,1.86,-0.27
200402,1.84,-0.39
200403,0.69,-1.81
200404,3.56,1.34
200405,0.47,-1.23
200406,1.11,0.00
200407,2.09,0.08
200408,0.76,-1.36
200409,2.32,0.57
200410,2.13,0.34
200411,2.60,0.86
200412,1.43,-0.55
200501,3.85,1.72
200502,2.14,-0.09
200503,1.65,-0.85
200504,1.90,-0.32
200505,1.27,-0.43
200506,1.32,0.21
200507,1.05,-0.96
200508,2.58,0.46
200509,2.68,0.93
200510,2.65,0.86
200511,1.87,0.13
200512,3.07,1.09
200601,2.07,-0.06
200602,1.07,-1.16
200603,2.14,-0.36
200604,1.56,-0.66
200605,0.84,-0.86
200606,0.70,-0.41
200607,3.27,1.26
200608,2.68,0.56
200609,2.58,0.83
200610,3.70,1.91
200611,2.09,0.35
200612,1.14,-0.84
200701,1.06,-1.07
200702,1.82,-0.41
200703,1.46,-1.04
200704,2.29,0.07
200705,1.74,0.04
200706,0.61,-0.50
200707,2.55,0.54
200708,2.01,-0.11
200709,2.75,1.00
200710,1.77,-0.02
200711,0.54,-1.20
200712,5.45,3.47
200801,4.70,2.57
200802,3.55,1.32
200803,2.27,-0.23
200804,1.75,-0.47
200805,2.08,0.38
200806,0.44,-0.67
200807,1.60,-0.41
200808,1.77,-0.35
200809,1.31,-0.44
200810,0.97,-0.82
200811,1.35,-0.39
200812,4.28,2.30
200901,1.87,-0.26
200902,1.98,-0.25
200903,2.03,-0.47
200904,2.75,0.53
200905,2.51,0.81
200906,1.67,0.56
200907,1.31,-0.70
200908,0.72,-1.40
200909,1.23,-0.52
200910,2.12,0.33
200911,0.75,-0.99
200912,2.17,0.19
201001,1.40,-0.73
201002,2.21,-0.02
201003,1.99,-0.51
201004,2.62,0.40
201005,1.30,-0.40
201006,0.85,-0.26
201007,1.51,-0.50
201008,2.93,0.81
201009,1.57,-0.18
201010,2.77,0.98
201011,1.65,-0.09
201012,3.64,1.66
201101,1.42,-0.71
201102,2.30,0.07
201103,2.43,-0.07
201104,3.45,1.23
201105,1.81,0.11
201106,0.35,-0.76
201107,2.18,0.17
201108,1.53,-0.59
201109,1.12,-0.63
201110,2.22,0.43
201111,1.36,-0.38
201112,0.84,-1.14
201201,2.05,-0.08
201202,2.04,-0.19
201203,0.73,-1.77
201204,1.12,-1.10
201205,0.75,-0.95
201206,0.17,-0.94
201207,2.71,0.70
201208,2.15,0.03
201209,1.73,-0.02
201210,0.77,-1.02
201211,0.75,-0.99
201212,2.15,0.17
201301,1.97,-0.16
201302,1.39,-0.84
201303,1.78,-0.72
201304,2.86,0.64
201305,1.99,0.29
201306,0.13,-0.98
201307,2.75,0.74
201308,2.08,-0.04
201309,4.43,2.68
201310,1.73,-0.06
201311,1.97,0.23
201312,1.87,-0.11
201401,2.24,0.11
201402,3.42,1.19
201403,1.93,-0.57
201404,1.37,-0.85
201405,2.09,0.39
201406,0.18,-0.93
201407,1.62,-0.39
201408,2.49,0.37
201409,3.34,1.59
201410,1.26,-0.53
201411,2.43,0.69
201412,2.33,0.35
201501,0.79,-1.34
201502,1.75,-0.48
201503,1.38,-1.12
201504,1.64,-0.58
201505,4.27,2.57
201506,1.31,0.20
201507,2.05,0.04
201508,2.08,-0.04
201509,1.23,-0.52
201510,2.03,0.24
201511,1.90,0.16
201512,2.90,0.92
201601,1.86,-0.27
201602,0.91,-1.32
201603,1.58,-0.92
201604,2.31,0.09
201605,2.18,0.48
201606,0.53,-0.58
201607,1.50,-0.51
201608,2.93,0.81
201609,1.15,-0.60
201610,0.68,-1.11
201611,1.45,-0.29
201612,3.58,1.60
201701,5.66,3.53
201702,2.46,0.23
201703,1.13,-1.37
201704,1.53,-0.69
201705,1.81,0.11
201706,0.12,-0.99
201707,2.52,0.51
201708,1.96,-0.16
201709,1.52,-0.23
201710,1.26,-0.53
201711,1.28,-0.46
201712,0.81,-1.17
201801,1.27,-0.86
201802,2.21,-0.02
201803,0.96,-1.54
201804,2.00,-0.22
201805,0.48,-1.22
201806,0.37,-0.74
201807,1.03,-0.98
201808,1.28,-0.84
201809,0.90,-0.85
201810,2.49,0.70
201811,1.80,0.06
201812,1.48,-0.50
201901,2.09,-0.04
201902,3.14,0.91
201903,5.37,2.87
201904,2.54,0.32
201905,2.86,1.16
201906,0.92,-0.19
201907,1.14,-0.87
201908,0.88,-1.24
201909,0.44,-1.31
201910,1.41,-0.38
201911,1.38,-0.36
201912,2.39,0.41
202001,1.41,-0.72
