Shasta County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,10.91,3.29
200002,13.00,6.25
200003,4.10,-1.42
200004,4.00,0.79
200005,1.45,-0.58
200006,0.80,-0.19
200007,0.35,0.19
200008,0.04,-0.21
200009,2.08,1.21
200010,4.41,1.91
200011,1.67,-3.69
200012,2.55,-4.12
200101,4.88,-2.74
200102,6.97,0.22
200103,3.47,-2.05
200104,2.80,-0.41
200105,0.23,-1.80
200106,1.26,0.27
200107,0.08,-0.08
200108,0.01,-0.24
200109,1.18,0.31
200110,1.80,-0.70
200111,9.89,4.53
200112,11.50,4.83
200201,4.97,-2.65
200202,3.66,-3.09
200203,3.49,-2.03
200204,2.27,-0.94
200205,1.33,-0.70
200206,0.16,-0.83
200207,0.02,-0.14
200208,0.00,-0.25
200209,0.06,-0.81
200210,0.02,-2.48
200211,4.19,-1.17
200212,19.36,12.69
200301,6.32,-1.30
200302,2.70,-4.05
200303,6.15,0.63
200304,8.23,5.02
200305,1.66,-0.37
200306,0.03,-0.96
200307,0.06,-0.10
200308,1.08,0.83
200309,0.18,-0.69
200310,0.01,-2.49
200311,6.12,0.76
200312,12.95,6.28
200401,4.74,-2.88
200402,12.34,5.59
200403,2.24,-3.28
200404,2.03,-1.18
200405,1.81,-0.22
200406,0.21,-0.78
200407,0.04,-0.12
200408,0.02,-0.23
200409,0.29,-0.58
200410,5.44,2.94
200411,2.06,-3.30
200412,9.05,2.38
200501,5.30,-2.32
200502,3.88,-2.87
200503,6.50,0.98
200504,3.68,0.47
200505,7.16,5.13
200506,1.96,0.97
200507,0.00,-0.16
200508,0.01,-0.24
200509,0.18,-0.69
200510,1.19,-1.31
200511,6.95,1.59
200512,17.14,10.47
200601,9.11,1.49
200602,6.13,-0.62
200603,11.08,5.56
200604,8.49,5.28
200605,1.30,-0.73
200606,0.34,-0.65
200607,0.01,-0.15
200608,0.03,-0.22
200609,0.00,-0.87
200610,0.28,-2.22
200611,5.64,0.28
200612,7.83,1.16
200701,1.04,-6.58
200702,8.88,2.13
200703,1.39,-4.13
200704,2.42,-0.79
200705,0.92,-1.11
200706,0.32,-0.67
200707,0.64,0.48
200708,0.01,-0.24
200709,0.82,-0.05
200710,3.93,1.43
200711,0.98,-4.38
200712,6.13,-0.54
200801,10.98,3.36
200802,4.93,-1.82
200803,1.14,-4.38
200804,0.74,-2.47
200805,0.62,-1.41
200806,0.04,-0.95
200807,0.00,-0.16
200808,0.08,-0.17
200809,0.01,-0.86
200810,2.27,-0.23
200811,4.03,-1.33
200812,4.33,-2.34
200901,1.66,-5.96
200902,10.03,3.28
200903,5.63,0.11
200904,1.40,-1.81
200905,3.40,1.37
200906,2.21,1.22
200907,0.01,-0.15
200908,0.19,-0.06
200909,0.13,-0.74
200910,3.97,1.47
200911,2.08,-3.28
200912,4.80,-1.87
201001,11.81,4.19
201002,6.77,0.02
201003,4.38,-1.14
201004,6.14,2.93
201005,2.44,0.41
201006,0.88,-0.11
201007,0.06,-0.10
201008,0.45,0.20
201009,0.62,-0.25
201010,5.40,2.90
201011,4.62,-0.74
201012,11.26,4.59
201101,1.65,-5.97
201102,5.55,-1.20
201103,12.81,7.29
201104,2.72,-0.49
201105,3.84,1.81
201106,2.21,1.22
201107,0.08,-0.08
201108,0.00,-0.25
201109,0.21,-0.66
201110,2.88,0.38
201111,3.04,-2.32
201112,0.58,-6.09
201201,6.06,-1.56
201202,2.23,-4.52
201203,11.91,6.39
201204,4.44,1.23
201205,0.77,-1.26
201206,1.10,0.11
201207,0.03,-0.13
201208,0.02,-0.23
201209,0.00,-0.87
201210,1.80,-0.70
201211,9.09,3.73
201212,13.31,6.64
201301,1.43,-6.19
201302,0.80,-5.95
201303,3.15,-2.37
201304,1.87,-1.34
201305,1.32,-0.71
201306,1.95,0.96
201307,0.22,0.06
201308,0.16,-0.09
201309,1.47,0.60
201310,0.33,-2.17
201311,1.71,-3.65
201312,0.36,-6.31
201401,0.64,-6.98
201402,8.78,2.03
201403,8.91,3.39
201404,1.46,-1.75
201405,0.46,-1.57
201406,0.10,-0.89
201407,0.10,-0.06
201408,0.33,0.08
201409,1.80,0.93
201410,3.51,1.01
201411,4.24,-1.12
201412,14.19,7.52
201501,0.67,-6.95
201502,6.57,-0.18
201503,1.50,-4.02
201504,1.64,-1.57
201505,1.50,-0.53
201506,0.57,-0.42
201507,0.46,0.30
201508,0.03,-0.22
201509,0.71,-0.16
201510,0.88,-1.62
201511,2.54,-2.82
201512,10.58,3.91
201601,13.62,6.00
201602,2.58,-4.17
201603,11.39,5.87
201604,2.01,-1.20
201605,2.20,0.17
201606,1.67,0.68
201607,0.01,-0.15
201608,0.01,-0.24
201609,0.01,-0.86
201610,9.56,7.06
201611,5.82,0.46
201612,8.33,1.66
201701,14.71,7.09
201702,13.88,7.13
201703,6.09,0.57
201704,6.67,3.46
201705,0.48,-1.55
201706,0.77,-0.22
201707,0.00,-0.16
201708,0.11,-0.14
201709,0.44,-0.43
201710,0.81,-1.69
201711,8.48,3.12
201712,0.51,-6.16
201801,5.62,-2.00
201802,0.41,-6.34
201803,7.90,2.38
201804,5.39,2.18
201805,1.57,-0.46
201806,0.12,-0.87
201807,0.05,-0.11
201808,0.00,-0.25
201809,0.05,-0.82
201810,1.19,-1.31
201811,6.00,0.64
201812,5.83,-0.84
201901,9.06,1.44
201902,14.17,7.42
201903,10.09,4.57
201904,4.10,0.89
201905,5.23,3.20
201906,0.16,-0.83
201907,0.00,-0.16
201908,0.72,0.47
201909,1.27,0.40
201910,0.28,-2.22
201911,1.44,-3.92
201912,7.96,1.29
202001,3.56,-4.06
