Amite County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.78,-2.97
200002,1.14,-4.15
200003,4.40,-1.64
200004,4.29,-1.20
200005,2.23,-3.01
200006,5.18,0.60
200007,2.97,-2.98
200008,3.65,-1.64
200009,4.66,0.72
200010,1.40,-1.84
200011,10.12,5.68
200012,3.07,-3.01
200101,6.64,0.89
200102,3.75,-1.54
200103,9.29,3.25
200104,1.44,-4.05
200105,2.27,-2.97
200106,14.57,9.99
200107,6.45,0.50
200108,6.19,0.90
200109,5.18,1.24
200110,5.20,1.96
200111,3.26,-1.18
200112,3.81,-2.27
200201,4.93,-0.82
200202,3.03,-2.26
200203,7.56,1.52
200204,3.95,-1.54
200205,3.63,-1.61
200206,3.55,-1.03
200207,6.94,0.99
200208,6.29,1.00
200209,8.75,4.81
200210,10.86,7.62
200211,4.92,0.48
200212,6.41,0.33
200301,1.67,-4.08
200302,11.13,5.84
200303,3.47,-2.57
200304,2.17,-3.32
200305,1.99,-3.25
200306,8.22,3.64
200307,7.58,1.63
200308,1.98,-3.31
200309,2.74,-1.20
200310,1.35,-1.89
200311,5.48,1.04
200312,3.63,-2.45
200401,6.86,1.11
200402,11.52,6.23
200403,2.71,-3.33
200404,4.22,-1.27
200405,13.17,7.93
200406,11.93,7.35
200407,3.94,-2.01
200408,3.59,-1.70
200409,2.14,-1.80
200410,5.90,2.66
200411,7.33,2.89
200412,4.40,-1.68
200501,3.46,-2.29
200502,6.80,1.51
200503,5.03,-1.01
200504,4.70,-0.79
200505,3.40,-1.84
200506,3.58,-1.00
200507,5.01,-0.94
200508,6.76,1.47
200509,3.62,-0.32
200510,0.02,-3.22
200511,2.25,-2.19
200512,5.68,-0.40
200601,4.53,-1.22
200602,5.32,0.03
200603,2.72,-3.32
200604,3.46,-2.03
200605,2.78,-2.46
200606,1.48,-3.10
200607,5.86,-0.09
200608,5.38,0.09
200609,3.50,-0.44
200610,8.52,5.28
200611,3.10,-1.34
200612,7.16,1.08
200701,7.03,1.28
200702,2.03,-3.26
200703,1.17,-4.87
200704,4.60,-0.89
200705,4.50,-0.74
200706,3.72,-0.86
200707,8.36,2.41
200708,3.20,-2.09
200709,3.49,-0.45
200710,4.67,1.43
200711,2.76,-1.68
200712,4.49,-1.59
200801,7.14,1.39
200802,5.80,0.51
200803,3.74,-2.30
200804,4.04,-1.45
200805,5.59,0.35
200806,4.03,-0.55
200807,3.19,-2.76
200808,9.37,4.08
200809,11.08,7.14
200810,1.97,-1.27
200811,4.43,-0.01
200812,7.01,0.93
200901,2.57,-3.18
200902,2.67,-2.62
200903,10.85,4.81
200904,4.20,-1.29
200905,4.28,-0.96
200906,0.78,-3.80
200907,4.89,-1.06
200908,3.56,-1.73
200909,5.80,1.86
200910,10.62,7.38
200911,1.59,-2.85
200912,11.88,5.80
201001,4.03,-1.72
201002,6.06,0.77
201003,3.30,-2.74
201004,1.48,-4.01
201005,3.99,-1.25
201006,5.37,0.79
201007,3.69,-2.26
201008,7.31,2.02
201009,0.51,-3.43
201010,1.86,-1.38
201011,4.66,0.22
201012,3.58,-2.50
201101,4.62,-1.13
201102,2.13,-3.16
201103,6.89,0.85
201104,1.86,-3.63
201105,1.16,-4.08
201106,5.15,0.57
201107,5.14,-0.81
201108,1.32,-3.97
201109,7.10,3.16
201110,0.52,-2.72
201111,5.12,0.68
201112,4.86,-1.22
201201,5.91,0.16
201202,8.26,2.97
201203,6.00,-0.04
201204,4.07,-1.42
201205,2.65,-2.59
201206,3.33,-1.25
201207,8.79,2.84
201208,12.22,6.93
201209,4.56,0.62
201210,0.95,-2.29
201211,2.42,-2.02
201212,9.02,2.94
201301,11.88,6.13
201302,8.10,2.81
201303,2.33,-3.71
201304,7.49,2.00
201305,5.69,0.45
201306,4.09,-0.49
201307,4.28,-1.67
201308,4.45,-0.84
201309,5.45,1.51
201310,1.88,-1.36
201311,5.04,0.60
201312,4.97,-1.11
201401,2.16,-3.59
201402,8.77,3.48
201403,5.53,-0.51
201404,3.96,-1.53
201405,8.02,2.78
201406,7.82,3.24
201407,4.35,-1.60
201408,5.14,-0.15
201409,4.17,0.23
201410,2.05,-1.19
201411,2.79,-1.65
201412,5.85,-0.23
201501,5.95,0.20
201502,2.74,-2.55
201503,7.51,1.47
201504,6.37,0.88
201505,9.68,4.44
201506,4.61,0.03
201507,5.68,-0.27
201508,2.52,-2.77
201509,2.64,-1.30
201510,11.31,8.07
201511,8.11,3.67
201512,4.88,-1.20
201601,3.43,-2.32
201602,6.93,1.64
201603,10.98,4.94
201604,4.56,-0.93
201605,3.22,-2.02
201606,4.00,-0.58
201607,7.67,1.72
201608,17.81,12.52
201609,3.08,-0.86
201610,0.32,-2.92
201611,3.85,-0.59
201612,5.43,-0.65
201701,9.42,3.67
201702,1.81,-3.48
201703,5.15,-0.89
201704,4.34,-1.15
201705,9.38,4.14
201706,9.42,4.84
201707,9.63,3.68
201708,9.90,4.61
201709,0.68,-3.26
201710,6.76,3.52
201711,1.30,-3.14
201712,5.88,-0.20
201801,5.73,-0.02
201802,6.64,1.35
201803,3.87,-2.17
201804,6.81,1.32
201805,3.95,-1.29
201806,3.41,-1.17
201807,4.44,-1.51
201808,6.31,1.02
201809,4.61,0.67
201810,2.88,-0.36
201811,5.81,1.37
201812,7.27,1.19
201901,5.40,-0.35
201902,4.57,-0.72
201903,1.60,-4.44
201904,9.42,3.93
201905,8.18,2.94
201906,5.81,1.23
201907,6.76,0.81
201908,7.89,2.60
201909,0.95,-2.99
201910,9.53,6.29
201911,1.97,-2.47
201912,4.29,-1.79
202001,6.58,0.83
