Saginaw County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.16,-0.43
200002,1.64,0.21
200003,1.04,-0.97
200004,3.01,0.30
200005,5.88,2.83
200006,3.43,0.34
200007,3.13,0.39
200008,3.41,0.38
200009,4.08,0.83
200010,1.26,-1.21
200011,2.14,-0.17
200012,2.90,1.07
200101,1.12,-0.47
200102,3.00,1.57
200103,0.23,-1.78
200104,2.48,-0.23
200105,4.01,0.96
200106,2.87,-0.22
200107,1.19,-1.55
200108,2.89,-0.14
200109,4.17,0.92
200110,5.42,2.95
200111,1.86,-0.45
200112,1.63,-0.20
200201,0.99,-0.60
200202,2.01,0.58
200203,2.15,0.14
200204,3.32,0.61
200205,3.79,0.74
200206,3.10,0.01
200207,3.29,0.55
200208,2.97,-0.06
200209,0.70,-2.55
200210,1.98,-0.49
200211,1.59,-0.72
200212,1.41,-0.42
200301,0.29,-1.30
200302,0.71,-0.72
200303,2.08,0.07
200304,1.99,-0.72
200305,4.00,0.95
200306,2.49,-0.60
200307,2.62,-0.12
200308,2.01,-1.02
200309,2.02,-1.23
200310,1.41,-1.06
200311,5.18,2.87
200312,1.53,-0.30
200401,1.74,0.15
200402,0.91,-0.52
200403,2.76,0.75
200404,1.37,-1.34
200405,8.07,5.02
200406,3.30,0.21
200407,2.98,0.24
200408,2.74,-0.29
200409,0.59,-2.66
200410,2.52,0.05
200411,2.91,0.60
200412,2.50,0.67
200501,3.20,1.61
200502,1.67,0.24
200503,1.18,-0.83
200504,1.51,-1.20
200505,2.14,-0.91
200506,3.67,0.58
200507,4.07,1.33
200508,1.33,-1.70
200509,4.16,0.91
200510,0.82,-1.65
200511,4.17,1.86
200512,2.04,0.21
200601,3.56,1.97
200602,1.74,0.31
200603,3.04,1.03
200604,2.58,-0.13
200605,5.07,2.02
200606,2.73,-0.36
200607,4.74,2.00
200608,3.03,0.00
200609,2.98,-0.27
200610,4.49,2.02
200611,3.15,0.84
200612,2.55,0.72
200701,2.15,0.56
200702,0.37,-1.06
200703,2.49,0.48
200704,3.32,0.61
200705,3.15,0.10
200706,2.95,-0.14
200707,2.27,-0.47
200708,5.23,2.20
200709,2.19,-1.06
200710,3.05,0.58
200711,1.04,-1.27
200712,2.46,0.63
200801,2.61,1.02
200802,3.21,1.78
200803,1.08,-0.93
200804,2.79,0.08
200805,1.51,-1.54
200806,4.68,1.59
200807,3.85,1.11
200808,2.84,-0.19
200809,6.02,2.77
200810,1.91,-0.56
200811,1.63,-0.68
200812,4.19,2.36
200901,0.90,-0.69
200902,2.84,1.41
200903,2.50,0.49
200904,5.77,3.06
200905,2.25,-0.80
200906,4.75,1.66
200907,2.54,-0.20
200908,3.84,0.81
200909,1.15,-2.10
200910,4.29,1.82
200911,0.77,-1.54
200912,1.40,-0.43
201001,0.72,-0.87
201002,0.99,-0.44
201003,0.68,-1.33
201004,2.77,0.06
201005,4.14,1.09
201006,4.33,1.24
201007,1.85,-0.89
201008,1.99,-1.04
201009,3.06,-0.19
201010,2.47,0.00
201011,2.48,0.17
201012,0.84,-0.99
201101,1.15,-0.44
201102,2.01,0.58
201103,2.71,0.70
201104,5.25,2.54
201105,5.64,2.59
201106,3.77,0.68
201107,3.75,1.01
201108,4.89,1.86
201109,1.71,-1.54
201110,3.47,1.00
201111,2.95,0.64
201112,1.71,-0.12
201201,1.80,0.21
201202,1.45,0.02
201203,2.05,0.04
201204,1.53,-1.18
201205,3.58,0.53
201206,2.01,-1.08
201207,4.30,1.56
201208,4.80,1.77
201209,1.88,-1.37
201210,4.29,1.82
201211,0.49,-1.82
201212,2.48,0.65
201301,3.52,1.93
201302,1.87,0.44
201303,0.70,-1.31
201304,8.18,5.47
201305,4.54,1.49
201306,3.94,0.85
201307,1.70,-1.04
201308,3.19,0.16
201309,0.88,-2.37
201310,2.97,0.50
201311,2.52,0.21
201312,2.15,0.32
201401,1.91,0.32
201402,1.73,0.30
201403,1.24,-0.77
201404,3.43,0.72
201405,4.43,1.38
201406,2.95,-0.14
201407,5.04,2.30
201408,4.00,0.97
201409,3.42,0.17
201410,2.77,0.30
201411,2.30,-0.01
201412,1.66,-0.17
201501,1.07,-0.52
201502,0.99,-0.44
201503,0.98,-1.03
201504,2.27,-0.44
201505,3.63,0.58
201506,4.06,0.97
201507,2.52,-0.22
201508,4.54,1.51
201509,3.62,0.37
201510,2.38,-0.09
201511,2.04,-0.27
201512,2.56,0.73
201601,1.44,-0.15
201602,2.23,0.80
201603,4.48,2.47
201604,2.42,-0.29
201605,3.07,0.02
201606,1.72,-1.37
201607,3.60,0.86
201608,6.08,3.05
201609,2.54,-0.71
201610,3.51,1.04
201611,2.37,0.06
201612,1.64,-0.19
201701,3.03,1.44
201702,1.65,0.22
201703,3.27,1.26
201704,5.59,2.88
201705,2.83,-0.22
201706,5.74,2.65
201707,1.90,-0.84
201708,3.07,0.04
201709,0.78,-2.47
201710,5.41,2.94
201711,2.38,0.07
201712,1.18,-0.65
201801,1.57,-0.02
201802,3.22,1.79
201803,0.80,-1.21
201804,3.21,0.50
201805,3.53,0.48
201806,3.19,0.10
201807,1.42,-1.32
201808,6.85,3.82
201809,2.37,-0.88
201810,3.94,1.47
201811,2.00,-0.31
201812,1.65,-0.18
201901,2.11,0.52
201902,2.23,0.80
201903,1.83,-0.18
201904,2.73,0.02
201905,4.62,1.57
201906,5.93,2.84
201907,2.22,-0.52
201908,2.34,-0.69
201909,4.94,1.69
201910,6.89,4.42
201911,2.71,0.40
201912,2.92,1.09
202001,3.06,1.47
