Hartford County, Connecticut, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.27,-0.37
200002,2.67,-0.55
200003,4.08,0.00
200004,4.90,0.78
200005,4.82,0.92
200006,6.62,2.85
200007,5.93,2.01
200008,3.03,-1.13
200009,3.90,-0.12
200010,1.28,-2.42
200011,3.42,-0.63
200012,4.08,0.15
200101,2.09,-1.55
200102,2.67,-0.55
200103,7.67,3.59
200104,1.48,-2.64
200105,4.35,0.45
200106,5.90,2.13
200107,1.70,-2.22
200108,2.96,-1.20
200109,3.67,-0.35
200110,1.05,-2.65
200111,1.06,-2.99
200112,2.35,-1.58
200201,1.67,-1.97
200202,1.77,-1.45
200203,4.15,0.07
200204,3.79,-0.33
200205,5.22,1.32
200206,5.13,1.36
200207,3.19,-0.73
200208,3.37,-0.79
200209,3.71,-0.31
200210,4.83,1.13
200211,5.68,1.63
200212,4.50,0.57
200301,2.71,-0.93
200302,3.65,0.43
200303,3.93,-0.15
200304,3.13,-0.99
200305,4.92,1.02
200306,6.99,3.22
200307,2.50,-1.42
200308,5.47,1.31
200309,9.55,5.53
200310,5.83,2.13
200311,3.33,-0.72
200312,4.94,1.01
200401,1.72,-1.92
200402,2.09,-1.13
200403,2.90,-1.18
200404,6.54,2.42
200405,3.84,-0.06
200406,2.05,-1.72
200407,4.26,0.34
200408,5.46,1.30
200409,8.22,4.20
200410,2.23,-1.47
200411,3.48,-0.57
200412,4.32,0.39
200501,4.85,1.21
200502,2.36,-0.86
200503,3.87,-0.21
200504,5.64,1.52
200505,2.68,-1.22
200506,2.54,-1.23
200507,5.08,1.16
200508,1.98,-2.18
200509,2.39,-1.63
200510,17.07,13.37
200511,4.58,0.53
200512,3.98,0.05
200601,6.13,2.49
200602,2.46,-0.76
200603,0.75,-3.33
200604,4.57,0.45
200605,7.52,3.62
200606,9.56,5.79
200607,3.17,-0.75
200608,4.99,0.83
200609,2.87,-1.15
200610,6.98,3.28
200611,5.77,1.72
200612,2.04,-1.89
200701,3.10,-0.54
200702,2.27,-0.95
200703,4.72,0.64
200704,8.69,4.57
200705,2.20,-1.70
200706,3.99,0.22
200707,5.00,1.08
200708,1.63,-2.53
200709,1.51,-2.51
200710,3.82,0.12
200711,3.04,-1.01
200712,5.02,1.09
200801,2.32,-1.32
200802,9.30,6.08
200803,5.56,1.48
200804,3.55,-0.57
200805,2.37,-1.53
200806,5.11,1.34
200807,6.84,2.92
200808,5.14,0.98
200809,9.77,5.75
200810,3.23,-0.47
200811,3.99,-0.06
200812,6.85,2.92
200901,3.05,-0.59
200902,1.43,-1.79
200903,2.42,-1.66
200904,3.60,-0.52
200905,4.01,0.11
200906,7.03,3.26
200907,9.44,5.52
200908,3.84,-0.32
200909,2.00,-2.02
200910,5.89,2.19
200911,2.61,-1.44
200912,5.36,1.43
201001,3.01,-0.63
201002,4.15,0.93
201003,8.50,4.42
201004,1.60,-2.52
201005,2.69,-1.21
201006,3.83,0.06
201007,2.99,-0.93
201008,3.37,-0.79
201009,2.29,-1.73
201010,6.09,2.39
201011,3.66,-0.39
201012,4.97,1.04
201101,3.22,-0.42
201102,4.11,0.89
201103,5.54,1.46
201104,5.82,1.70
201105,4.40,0.50
201106,6.73,2.96
201107,1.78,-2.14
201108,12.01,7.85
201109,8.21,4.19
201110,6.37,2.67
201111,3.66,-0.39
201112,5.02,1.09
201201,2.86,-0.78
201202,1.07,-2.15
201203,1.54,-2.54
201204,2.99,-1.13
201205,3.61,-0.29
201206,4.74,0.97
201207,3.63,-0.29
201208,4.37,0.21
201209,4.99,0.97
201210,4.79,1.09
201211,0.62,-3.43
201212,4.88,0.95
201301,1.91,-1.73
201302,3.77,0.55
201303,2.51,-1.57
201304,1.58,-2.54
201305,5.13,1.23
201306,11.59,7.82
201307,3.92,0.00
201308,5.01,0.85
201309,3.13,-0.89
201310,1.89,-1.81
201311,3.83,-0.22
201312,3.68,-0.25
201401,3.03,-0.61
201402,3.60,0.38
201403,4.38,0.30
201404,4.78,0.66
201405,5.19,1.29
201406,1.96,-1.81
201407,4.67,0.75
201408,3.28,-0.88
201409,1.40,-2.62
201410,5.03,1.33
201411,3.92,-0.13
201412,4.85,0.92
201501,3.54,-0.10
201502,2.27,-0.95
201503,2.69,-1.39
201504,3.33,-0.79
201505,1.24,-2.66
201506,6.82,3.05
201507,2.61,-1.31
201508,2.07,-2.09
201509,3.83,-0.19
201510,3.23,-0.47
201511,2.18,-1.87
201512,4.19,0.26
201601,2.01,-1.63
201602,5.29,2.07
201603,2.34,-1.74
201604,2.59,-1.53
201605,2.58,-1.32
201606,2.03,-1.74
201607,3.22,-0.70
201608,3.63,-0.53
201609,1.72,-2.30
201610,2.71,-0.99
201611,3.04,-1.01
201612,3.40,-0.53
201701,3.50,-0.14
201702,2.21,-1.01
201703,3.52,-0.56
201704,4.29,0.17
201705,4.88,0.98
201706,3.50,-0.27
201707,4.79,0.87
201708,2.78,-1.38
201709,2.45,-1.57
201710,8.81,5.11
201711,1.23,-2.82
201712,2.52,-1.41
201801,3.95,0.31
201802,5.35,2.13
201803,2.79,-1.29
201804,5.74,1.62
201805,2.37,-1.53
201806,3.88,0.11
201807,6.04,2.12
201808,6.57,2.41
201809,7.90,3.88
201810,4.99,1.29
201811,8.36,4.31
201812,5.10,1.17
201901,6.13,2.49
201902,3.17,-0.05
201903,2.70,-1.38
201904,7.94,3.82
201905,4.56,0.66
201906,2.85,-0.92
201907,3.54,-0.38
201908,3.81,-0.35
201909,2.01,-2.01
201910,6.99,3.29
201911,2.87,-1.18
201912,7.47,3.54
202001,2.10,-1.54
