Jefferson County, Kentucky, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.08,1.33
200002,6.20,2.92
200003,3.60,-0.95
200004,3.60,-0.44
200005,3.20,-1.03
200006,4.61,0.60
200007,3.67,-0.35
200008,3.87,0.40
200009,4.78,1.82
200010,0.62,-2.12
200011,3.39,0.03
200012,3.76,0.01
200101,1.44,-2.31
200102,3.38,0.10
200103,2.31,-2.24
200104,1.22,-2.82
200105,5.36,1.13
200106,3.57,-0.44
200107,4.62,0.60
200108,3.35,-0.12
200109,3.30,0.34
200110,6.43,3.69
200111,5.07,1.71
200112,4.48,0.73
200201,3.94,0.19
200202,1.41,-1.87
200203,7.37,2.82
200204,5.91,1.87
200205,6.00,1.77
200206,4.27,0.26
200207,1.67,-2.35
200208,1.11,-2.36
200209,7.63,4.67
200210,4.70,1.96
200211,2.90,-0.46
200212,6.01,2.26
200301,1.48,-2.27
200302,4.67,1.39
200303,2.14,-2.41
200304,5.31,1.27
200305,7.02,2.79
200306,4.54,0.53
200307,3.85,-0.17
200308,5.94,2.47
200309,6.80,3.84
200310,2.07,-0.67
200311,4.90,1.54
200312,3.40,-0.35
200401,4.03,0.28
200402,1.70,-1.58
200403,3.65,-0.90
200404,4.18,0.14
200405,9.70,5.47
200406,2.66,-1.35
200407,7.04,3.02
200408,3.24,-0.23
200409,0.30,-2.66
200410,6.41,3.67
200411,6.82,3.46
200412,3.28,-0.47
200501,5.37,1.62
200502,2.57,-0.71
200503,3.93,-0.62
200504,3.73,-0.31
200505,4.27,0.04
200506,2.49,-1.52
200507,3.40,-0.62
200508,7.08,3.61
200509,1.46,-1.50
200510,1.08,-1.66
200511,4.21,0.85
200512,2.30,-1.45
200601,5.12,1.37
200602,1.82,-1.46
200603,5.02,0.47
200604,5.87,1.83
200605,4.27,0.04
200606,5.41,1.40
200607,5.26,1.24
200608,5.26,1.79
200609,10.09,7.13
200610,4.87,2.13
200611,2.98,-0.38
200612,3.09,-0.66
200701,4.23,0.48
200702,2.94,-0.34
200703,3.49,-1.06
200704,4.43,0.39
200705,2.28,-1.95
200706,2.98,-1.03
200707,4.05,0.03
200708,2.65,-0.82
200709,2.33,-0.63
200710,9.12,6.38
200711,2.67,-0.69
200712,7.37,3.62
200801,3.13,-0.62
200802,4.89,1.61
200803,9.43,4.88
200804,5.82,1.78
200805,6.44,2.21
200806,3.62,-0.39
200807,3.94,-0.08
200808,0.78,-2.69
200809,1.36,-1.60
200810,2.48,-0.26
200811,2.06,-1.30
200812,5.38,1.63
200901,3.06,-0.69
200902,2.46,-0.82
200903,2.12,-2.43
200904,4.84,0.80
200905,5.16,0.93
200906,7.50,3.49
200907,6.82,2.80
200908,4.81,1.34
200909,6.19,3.23
200910,7.73,4.99
200911,1.15,-2.21
200912,3.13,-0.62
201001,2.94,-0.81
201002,1.90,-1.38
201003,1.54,-3.01
201004,3.94,-0.10
201005,7.55,3.32
201006,4.73,0.72
201007,5.48,1.46
201008,2.12,-1.35
201009,0.44,-2.52
201010,1.42,-1.32
201011,5.84,2.48
201012,1.81,-1.94
201101,1.32,-2.43
201102,5.70,2.42
201103,4.92,0.37
201104,14.90,10.86
201105,8.21,3.98
201106,6.06,2.05
201107,3.96,-0.06
201108,2.45,-1.02
201109,5.79,2.83
201110,2.44,-0.30
201111,8.04,4.68
201112,5.53,1.78
201201,4.25,0.50
201202,1.95,-1.33
201203,5.81,1.26
201204,3.66,-0.38
201205,7.72,3.49
201206,1.52,-2.49
201207,3.61,-0.41
201208,2.14,-1.33
201209,5.92,2.96
201210,2.54,-0.20
201211,1.00,-2.36
201212,6.84,3.09
201301,5.30,1.55
201302,1.85,-1.43
201303,4.32,-0.23
201304,4.05,0.01
201305,4.08,-0.15
201306,6.62,2.61
201307,5.20,1.18
201308,2.76,-0.71
201309,3.99,1.03
201310,7.76,5.02
201311,4.21,0.85
201312,5.60,1.85
201401,2.38,-1.37
201402,3.70,0.42
201403,2.26,-2.29
201404,7.74,3.70
201405,4.91,0.68
201406,2.06,-1.95
201407,4.53,0.51
201408,5.97,2.50
201409,2.88,-0.08
201410,4.27,1.53
201411,1.81,-1.55
201412,3.91,0.16
201501,1.21,-2.54
201502,2.11,-1.17
201503,7.05,2.50
201504,9.64,5.60
201505,2.41,-1.82
201506,7.30,3.29
201507,9.05,5.03
201508,3.38,-0.09
201509,2.18,-0.78
201510,4.69,1.95
201511,5.43,2.07
201512,6.58,2.83
201601,0.95,-2.80
201602,4.91,1.63
201603,4.92,0.37
201604,4.13,0.09
201605,5.33,1.10
201606,4.40,0.39
201607,6.33,2.31
201608,6.24,2.77
201609,2.28,-0.68
201610,0.85,-1.89
201611,1.92,-1.44
201612,5.73,1.98
201701,4.26,0.51
201702,1.66,-1.62
201703,4.22,-0.33
201704,4.94,0.90
201705,5.85,1.62
201706,3.81,-0.20
201707,3.79,-0.23
201708,3.62,0.15
201709,5.81,2.85
201710,5.69,2.95
201711,2.85,-0.51
201712,2.51,-1.24
201801,2.03,-1.72
201802,10.22,6.94
201803,5.09,0.54
201804,3.76,-0.28
201805,4.06,-0.17
201806,7.21,3.20
201807,5.70,1.68
201808,5.62,2.15
201809,9.47,6.51
201810,2.43,-0.31
201811,6.23,2.87
201812,5.44,1.69
201901,4.14,0.39
201902,8.48,5.20
201903,4.04,-0.51
201904,6.82,2.78
201905,5.61,1.38
201906,9.31,5.30
201907,2.93,-1.09
201908,3.44,-0.03
201909,0.14,-2.82
201910,5.63,2.89
201911,4.87,1.51
201912,4.87,1.12
202001,3.63,-0.12
