Lexington County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,8.77,4.91
200002,1.34,-2.59
200003,4.51,0.25
200004,1.79,-1.58
200005,0.62,-2.69
200006,4.25,-0.20
200007,4.55,-0.54
200008,3.63,-1.30
200009,7.26,3.48
200010,0.00,-2.74
200011,3.57,1.11
200012,1.11,-2.38
200101,2.21,-1.65
200102,2.56,-1.37
200103,6.24,1.98
200104,0.78,-2.59
200105,3.04,-0.27
200106,5.11,0.66
200107,4.69,-0.40
200108,2.48,-2.45
200109,1.75,-2.03
200110,0.42,-2.32
200111,0.71,-1.75
200112,1.28,-2.21
200201,3.19,-0.67
200202,2.21,-1.72
200203,4.05,-0.21
200204,2.26,-1.11
200205,5.08,1.77
200206,1.56,-2.89
200207,2.24,-2.85
200208,4.43,-0.50
200209,6.23,2.45
200210,4.97,2.23
200211,3.25,0.79
200212,4.53,1.04
200301,2.02,-1.84
200302,4.03,0.10
200303,8.27,4.01
200304,7.28,3.91
200305,5.60,2.29
200306,6.55,2.10
200307,9.94,4.85
200308,4.39,-0.54
200309,3.76,-0.02
200310,3.82,1.08
200311,1.52,-0.94
200312,2.45,-1.04
200401,1.61,-2.25
200402,5.45,1.52
200403,1.02,-3.24
200404,1.18,-2.19
200405,3.30,-0.01
200406,8.90,4.45
200407,3.62,-1.47
200408,5.06,0.13
200409,7.14,3.36
200410,0.74,-2.00
200411,3.00,0.54
200412,1.43,-2.06
200501,2.29,-1.57
200502,4.48,0.55
200503,4.63,0.37
200504,2.71,-0.66
200505,3.51,0.20
200506,6.89,2.44
200507,7.45,2.36
200508,3.95,-0.98
200509,0.08,-3.70
200510,2.60,-0.14
200511,2.75,0.29
200512,4.79,1.30
200601,3.33,-0.53
200602,3.44,-0.49
200603,1.12,-3.14
200604,1.53,-1.84
200605,2.19,-1.12
200606,7.46,3.01
200607,3.49,-1.60
200608,5.74,0.81
200609,3.47,-0.31
200610,2.94,0.20
200611,5.44,2.98
200612,3.63,0.14
200701,3.71,-0.15
200702,2.74,-1.19
200703,3.65,-0.61
200704,1.77,-1.60
200705,0.68,-2.63
200706,5.36,0.91
200707,2.35,-2.74
200708,2.33,-2.60
200709,1.37,-2.41
200710,1.88,-0.86
200711,0.67,-1.79
200712,6.01,2.52
200801,3.43,-0.43
200802,4.05,0.12
200803,3.59,-0.67
200804,3.33,-0.04
200805,2.74,-0.57
200806,1.91,-2.54
200807,3.80,-1.29
200808,6.60,1.67
200809,3.04,-0.74
200810,3.54,0.80
200811,5.64,3.18
200812,3.71,0.22
200901,1.61,-2.25
200902,2.71,-1.22
200903,4.90,0.64
200904,3.18,-0.19
200905,5.35,2.04
200906,3.20,-1.25
200907,3.78,-1.31
200908,3.61,-1.32
200909,3.20,-0.58
200910,6.44,3.70
200911,4.85,2.39
200912,9.46,5.97
201001,4.03,0.17
201002,2.80,-1.13
201003,2.83,-1.43
201004,1.25,-2.12
201005,2.79,-0.52
201006,4.01,-0.44
201007,4.18,-0.91
201008,6.10,1.17
201009,2.43,-1.35
201010,2.10,-0.64
201011,1.33,-1.13
201012,1.68,-1.81
201101,1.97,-1.89
201102,3.72,-0.21
201103,5.87,1.61
201104,3.24,-0.13
201105,2.78,-0.53
201106,3.37,-1.08
201107,3.36,-1.73
201108,3.92,-1.01
201109,4.17,0.39
201110,2.34,-0.40
201111,2.21,-0.25
201112,1.83,-1.66
201201,2.22,-1.64
201202,2.99,-0.94
201203,2.89,-1.37
201204,2.09,-1.28
201205,4.96,1.65
201206,4.44,-0.01
201207,5.65,0.56
201208,6.73,1.80
201209,2.15,-1.63
201210,1.10,-1.64
201211,1.54,-0.92
201212,4.36,0.87
201301,1.70,-2.16
201302,5.85,1.92
201303,3.70,-0.56
201304,4.82,1.45
201305,3.24,-0.07
201306,6.57,2.12
201307,8.89,3.80
201308,7.37,2.44
201309,1.80,-1.98
201310,0.97,-1.77
201311,2.34,-0.12
201312,6.14,2.65
201401,3.65,-0.21
201402,3.50,-0.43
201403,3.92,-0.34
201404,3.25,-0.12
201405,4.81,1.50
201406,3.06,-1.39
201407,3.38,-1.71
201408,3.85,-1.08
201409,4.81,1.03
201410,2.30,-0.44
201411,4.65,2.19
201412,4.61,1.12
201501,3.18,-0.68
201502,4.64,0.71
201503,2.91,-1.35
201504,4.89,1.52
201505,1.72,-1.59
201506,6.00,1.55
201507,3.61,-1.48
201508,5.45,0.52
201509,5.25,1.47
201510,14.69,11.95
201511,6.54,4.08
201512,6.72,3.23
201601,2.12,-1.74
201602,3.83,-0.10
201603,1.92,-2.34
201604,2.72,-0.65
201605,4.34,1.03
201606,2.78,-1.67
201607,2.28,-2.81
201608,4.37,-0.56
201609,7.38,3.60
201610,3.85,1.11
201611,1.52,-0.94
201612,3.96,0.47
201701,6.74,2.88
201702,1.31,-2.62
201703,3.14,-1.12
201704,5.65,2.28
201705,5.34,2.03
201706,5.15,0.70
201707,5.70,0.61
201708,2.14,-2.79
201709,4.33,0.55
201710,1.63,-1.11
201711,1.48,-0.98
201712,3.65,0.16
201801,2.74,-1.12
201802,1.90,-2.03
201803,3.18,-1.08
201804,3.67,0.30
201805,4.36,1.05
201806,2.92,-1.53
201807,3.75,-1.34
201808,3.48,-1.45
201809,6.27,2.49
201810,5.88,3.14
201811,6.37,3.91
201812,7.86,4.37
201901,3.30,-0.56
201902,1.49,-2.44
201903,2.78,-1.48
201904,3.37,0.00
201905,2.61,-0.70
201906,7.59,3.14
201907,3.57,-1.52
201908,3.61,-1.32
201909,1.45,-2.33
201910,3.30,0.56
201911,3.00,0.54
201912,7.83,4.34
202001,4.96,1.10
