Teton County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.04,0.54
200002,4.26,0.54
200003,3.04,-0.61
200004,1.99,-0.87
200005,3.83,0.86
200006,1.74,-0.72
200007,0.71,-0.67
200008,1.07,-0.44
200009,1.34,-0.51
200010,2.79,0.61
200011,1.98,-1.53
200012,3.42,-0.50
200101,1.02,-3.48
200102,3.09,-0.63
200103,1.94,-1.71
200104,3.10,0.24
200105,2.09,-0.88
200106,1.87,-0.59
200107,1.08,-0.30
200108,0.60,-0.91
200109,1.11,-0.74
200110,2.80,0.62
200111,3.12,-0.39
200112,4.56,0.64
200201,3.56,-0.94
200202,1.70,-2.02
200203,3.78,0.13
200204,3.93,1.07
200205,2.12,-0.85
200206,1.81,-0.65
200207,1.18,-0.20
200208,0.79,-0.72
200209,2.98,1.13
200210,2.08,-0.10
200211,2.77,-0.74
200212,3.04,-0.88
200301,4.59,0.09
200302,2.84,-0.88
200303,4.77,1.12
200304,2.18,-0.68
200305,2.14,-0.83
200306,1.03,-1.43
200307,0.43,-0.95
200308,1.50,-0.01
200309,1.41,-0.44
200310,1.27,-0.91
200311,4.69,1.18
200312,5.65,1.73
200401,3.92,-0.58
200402,2.29,-1.43
200403,1.33,-2.32
200404,2.22,-0.64
200405,4.36,1.39
200406,2.51,0.05
200407,1.62,0.24
200408,2.85,1.34
200409,2.65,0.80
200410,3.54,1.36
200411,1.11,-2.40
200412,3.57,-0.35
200501,2.64,-1.86
200502,1.99,-1.73
200503,2.59,-1.06
200504,1.78,-1.08
200505,4.34,1.37
200506,3.43,0.97
200507,0.83,-0.55
200508,2.26,0.75
200509,2.08,0.23
200510,2.55,0.37
200511,5.27,1.76
200512,5.64,1.72
200601,5.97,1.47
200602,2.52,-1.20
200603,3.09,-0.56
200604,3.25,0.39
200605,2.13,-0.84
200606,1.47,-0.99
200607,0.90,-0.48
200608,1.08,-0.43
200609,1.73,-0.12
200610,3.28,1.10
200611,3.89,0.38
200612,4.02,0.10
200701,2.60,-1.90
200702,3.85,0.13
200703,1.14,-2.51
200704,2.74,-0.12
200705,0.83,-2.14
200706,1.05,-1.41
200707,1.21,-0.17
200708,2.10,0.59
200709,1.90,0.05
200710,5.03,2.85
200711,3.40,-0.11
200712,4.26,0.34
200801,5.36,0.86
200802,3.58,-0.14
200803,5.14,1.49
200804,1.81,-1.05
200805,3.59,0.62
200806,2.44,-0.02
200807,0.53,-0.85
200808,0.72,-0.79
200809,1.08,-0.77
200810,1.91,-0.27
200811,3.82,0.31
200812,5.76,1.84
200901,4.51,0.01
200902,2.32,-1.40
200903,4.78,1.13
200904,4.40,1.54
200905,2.46,-0.51
200906,5.49,3.03
200907,1.13,-0.25
200908,1.40,-0.11
200909,0.59,-1.26
200910,3.31,1.13
200911,1.33,-2.18
200912,2.37,-1.55
201001,3.26,-1.24
201002,1.34,-2.38
201003,2.41,-1.24
201004,4.55,1.69
201005,3.23,0.26
201006,5.10,2.64
201007,0.80,-0.58
201008,1.90,0.39
201009,1.09,-0.76
201010,3.63,1.45
201011,5.26,1.75
201012,6.17,2.25
201101,3.67,-0.83
201102,3.11,-0.61
201103,5.85,2.20
201104,6.61,3.75
201105,5.60,2.63
201106,2.96,0.50
201107,0.85,-0.53
201108,1.30,-0.21
201109,0.63,-1.22
201110,3.12,0.94
201111,4.26,0.75
201112,3.01,-0.91
201201,4.74,0.24
201202,3.53,-0.19
201203,3.81,0.16
201204,2.82,-0.04
201205,3.05,0.08
201206,0.67,-1.79
201207,1.65,0.27
201208,0.46,-1.05
201209,1.17,-0.68
201210,2.99,0.81
201211,3.10,-0.41
201212,6.44,2.52
201301,2.33,-2.17
201302,1.38,-2.34
201303,3.17,-0.48
201304,3.25,0.39
201305,2.78,-0.19
201306,0.69,-1.77
201307,1.39,0.01
201308,1.41,-0.10
201309,4.11,2.26
201310,2.37,0.19
201311,2.72,-0.79
201312,3.70,-0.22
201401,3.30,-1.20
201402,7.11,3.39
201403,6.96,3.31
201404,3.66,0.80
201405,1.78,-1.19
201406,2.52,0.06
201407,1.08,-0.30
201408,4.23,2.72
201409,3.05,1.20
201410,1.22,-0.96
201411,5.24,1.73
201412,4.47,0.55
201501,3.05,-1.45
201502,2.33,-1.39
201503,1.26,-2.39
201504,1.77,-1.09
201505,4.58,1.61
201506,1.25,-1.21
201507,2.20,0.82
201508,1.54,0.03
201509,2.59,0.74
201510,2.58,0.40
201511,3.35,-0.16
201512,5.20,1.28
201601,3.38,-1.12
201602,2.05,-1.67
201603,4.22,0.57
201604,2.11,-0.75
201605,2.83,-0.14
201606,0.98,-1.48
201607,0.85,-0.53
201608,0.45,-1.06
201609,3.22,1.37
201610,7.88,5.70
201611,1.98,-1.53
201612,7.75,3.83
201701,5.09,0.59
201702,9.10,5.38
201703,4.84,1.19
201704,4.43,1.57
201705,1.23,-1.74
201706,2.95,0.49
201707,1.25,-0.13
201708,0.76,-0.75
201709,4.79,2.94
201710,1.88,-0.30
201711,6.80,3.29
201712,2.61,-1.31
201801,4.02,-0.48
201802,4.08,0.36
201803,4.42,0.77
201804,5.03,2.17
201805,3.92,0.95
201806,3.27,0.81
201807,0.48,-0.90
201808,1.55,0.04
201809,0.16,-1.69
201810,2.29,0.11
201811,4.19,0.68
201812,2.30,-1.62
201901,3.21,-1.29
201902,9.25,5.53
201903,1.90,-1.75
201904,4.79,1.93
201905,2.75,-0.22
201906,1.91,-0.55
201907,1.21,-0.17
201908,0.89,-0.62
201909,4.25,2.40
201910,2.31,0.13
201911,1.69,-1.82
201912,2.64,-1.28
202001,5.40,0.90
