Erie County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.85,-0.29
200002,2.09,-0.33
200003,1.99,-1.22
200004,4.91,1.25
200005,4.48,0.72
200006,6.00,2.02
200007,4.54,0.46
200008,5.57,1.82
200009,3.42,-0.50
200010,3.67,-0.12
200011,3.81,0.01
200012,3.90,0.45
200101,1.81,-1.33
200102,2.00,-0.42
200103,2.89,-0.32
200104,2.57,-1.09
200105,3.92,0.16
200106,3.62,-0.36
200107,1.71,-2.37
200108,4.18,0.43
200109,3.47,-0.45
200110,5.02,1.23
200111,2.71,-1.09
200112,4.07,0.62
200201,2.75,-0.39
200202,3.08,0.66
200203,3.61,0.40
200204,5.04,1.38
200205,6.01,2.25
200206,3.36,-0.62
200207,4.56,0.48
200208,1.14,-2.61
200209,5.51,1.59
200210,3.70,-0.09
200211,4.12,0.32
200212,3.67,0.22
200301,2.82,-0.32
200302,2.61,0.19
200303,2.50,-0.71
200304,2.66,-1.00
200305,5.75,1.99
200306,4.23,0.25
200307,6.51,2.43
200308,3.52,-0.23
200309,6.78,2.86
200310,4.29,0.50
200311,3.76,-0.04
200312,3.33,-0.12
200401,3.76,0.62
200402,1.07,-1.35
200403,3.61,0.40
200404,3.74,0.08
200405,7.53,3.77
200406,3.02,-0.96
200407,6.56,2.48
200408,3.47,-0.28
200409,6.29,2.37
200410,3.59,-0.20
200411,2.94,-0.86
200412,4.99,1.54
200501,5.96,2.82
200502,2.19,-0.23
200503,1.83,-1.38
200504,5.02,1.36
200505,1.92,-1.84
200506,2.45,-1.53
200507,4.55,0.47
200508,4.04,0.29
200509,4.48,0.56
200510,3.21,-0.58
200511,4.97,1.17
200512,2.51,-0.94
200601,2.82,-0.32
200602,2.40,-0.02
200603,2.12,-1.09
200604,3.15,-0.51
200605,4.30,0.54
200606,3.61,-0.37
200607,6.28,2.20
200608,4.12,0.37
200609,6.86,2.94
200610,7.68,3.89
200611,3.15,-0.65
200612,4.03,0.58
200701,6.71,3.57
200702,1.86,-0.56
200703,3.13,-0.08
200704,2.95,-0.71
200705,2.27,-1.49
200706,2.52,-1.46
200707,3.96,-0.12
200708,6.31,2.56
200709,2.89,-1.03
200710,3.36,-0.43
200711,5.35,1.55
200712,5.52,2.07
200801,3.04,-0.10
200802,5.54,3.12
200803,5.41,2.20
200804,2.40,-1.26
200805,3.16,-0.60
200806,5.61,1.63
200807,5.82,1.74
200808,3.09,-0.66
200809,2.78,-1.14
200810,4.86,1.07
200811,4.64,0.84
200812,6.19,2.74
200901,3.74,0.60
200902,2.37,-0.05
200903,4.07,0.86
200904,3.33,-0.33
200905,2.87,-0.89
200906,5.13,1.15
200907,6.14,2.06
200908,3.64,-0.11
200909,3.06,-0.86
200910,4.33,0.54
200911,1.78,-2.02
200912,3.84,0.39
201001,2.95,-0.19
201002,2.30,-0.12
201003,1.63,-1.58
201004,2.54,-1.12
201005,4.44,0.68
201006,4.53,0.55
201007,5.63,1.55
201008,2.91,-0.84
201009,3.85,-0.07
201010,5.36,1.57
201011,4.24,0.44
201012,3.08,-0.37
201101,2.69,-0.45
201102,4.80,2.38
201103,5.28,2.07
201104,7.24,3.58
201105,6.18,2.42
201106,3.22,-0.76
201107,1.39,-2.69
201108,5.72,1.97
201109,5.84,1.92
201110,6.55,2.76
201111,4.58,0.78
201112,5.67,2.22
201201,4.96,1.82
201202,2.16,-0.26
201203,3.21,0.00
201204,2.12,-1.54
201205,3.06,-0.70
201206,2.49,-1.49
201207,3.93,-0.15
201208,3.01,-0.74
201209,4.40,0.48
201210,8.09,4.30
201211,1.72,-2.08
201212,5.69,2.24
201301,2.87,-0.27
201302,2.83,0.41
201303,2.33,-0.88
201304,3.51,-0.15
201305,4.33,0.57
201306,7.80,3.82
201307,5.66,1.58
201308,3.31,-0.44
201309,4.00,0.08
201310,5.68,1.89
201311,4.76,0.96
201312,4.70,1.25
201401,2.77,-0.37
201402,2.84,0.42
201403,2.83,-0.38
201404,4.10,0.44
201405,5.01,1.25
201406,7.57,3.59
201407,4.33,0.25
201408,4.20,0.45
201409,3.54,-0.38
201410,4.19,0.40
201411,3.08,-0.72
201412,2.47,-0.98
201501,3.56,0.42
201502,2.07,-0.35
201503,1.95,-1.26
201504,3.14,-0.52
201505,4.57,0.81
201506,6.74,2.76
201507,2.77,-1.31
201508,2.02,-1.73
201509,4.78,0.86
201510,4.27,0.48
201511,2.42,-1.38
201512,4.32,0.87
201601,2.37,-0.77
201602,4.33,1.91
201603,3.11,-0.10
201604,2.69,-0.97
201605,2.32,-1.44
201606,2.40,-1.58
201607,4.93,0.85
201608,6.87,3.12
201609,5.63,1.71
201610,6.43,2.64
201611,2.64,-1.16
201612,4.62,1.17
201701,5.32,2.18
201702,3.03,0.61
201703,3.88,0.67
201704,4.78,1.12
201705,5.52,1.76
201706,6.26,2.28
201707,1.80,-2.28
201708,2.69,-1.06
201709,2.87,-1.05
201710,4.49,0.70
201711,6.13,2.33
201712,3.27,-0.18
201801,3.28,0.14
201802,3.63,1.21
201803,4.34,1.13
201804,3.43,-0.23
201805,5.54,1.78
201806,5.60,1.62
201807,3.55,-0.53
201808,3.72,-0.03
201809,5.37,1.45
201810,5.17,1.38
201811,5.26,1.46
201812,2.88,-0.57
201901,4.98,1.84
201902,2.88,0.46
201903,3.60,0.39
201904,3.94,0.28
201905,3.33,-0.43
201906,6.02,2.04
201907,4.79,0.71
201908,5.14,1.39
201909,3.63,-0.29
201910,4.70,0.91
201911,3.24,-0.56
201912,4.70,1.25
202001,3.76,0.62
