Ingham County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.27,-0.44
200002,1.32,-0.18
200003,0.98,-1.20
200004,3.44,0.55
200005,6.28,3.10
200006,4.01,0.57
200007,4.50,1.56
200008,4.16,1.07
200009,5.03,1.98
200010,2.37,-0.10
200011,2.34,-0.05
200012,2.84,0.89
200101,0.83,-0.88
200102,3.28,1.78
200103,0.44,-1.74
200104,3.09,0.20
200105,5.55,2.37
200106,3.41,-0.03
200107,1.45,-1.49
200108,2.51,-0.58
200109,4.63,1.58
200110,6.62,4.15
200111,2.40,0.01
200112,1.51,-0.44
200201,1.37,-0.34
200202,1.96,0.46
200203,1.77,-0.41
200204,2.75,-0.14
200205,4.06,0.88
200206,1.99,-1.45
200207,4.37,1.43
200208,2.09,-1.00
200209,1.04,-2.01
200210,1.56,-0.91
200211,1.51,-0.88
200212,1.31,-0.64
200301,0.58,-1.13
200302,1.02,-0.48
200303,2.40,0.22
200304,3.20,0.31
200305,4.12,0.94
200306,1.96,-1.48
200307,1.82,-1.12
200308,3.46,0.37
200309,3.04,-0.01
200310,2.31,-0.16
200311,4.91,2.52
200312,1.80,-0.15
200401,1.48,-0.23
200402,0.60,-0.90
200403,2.91,0.73
200404,0.50,-2.39
200405,8.95,5.77
200406,3.31,-0.13
200407,4.57,1.63
200408,3.03,-0.06
200409,1.00,-2.05
200410,2.39,-0.08
200411,3.57,1.18
200412,2.44,0.49
200501,4.11,2.40
200502,2.38,0.88
200503,1.23,-0.95
200504,1.20,-1.69
200505,1.73,-1.45
200506,3.73,0.29
200507,4.39,1.45
200508,1.03,-2.06
200509,2.86,-0.19
200510,0.29,-2.18
200511,3.67,1.28
200512,1.94,-0.01
200601,4.23,2.52
200602,1.97,0.47
200603,2.80,0.62
200604,1.96,-0.93
200605,5.77,2.59
200606,3.09,-0.35
200607,3.75,0.81
200608,3.51,0.42
200609,3.66,0.61
200610,4.02,1.55
200611,3.21,0.82
200612,2.83,0.88
200701,3.09,1.38
200702,0.62,-0.88
200703,2.40,0.22
200704,3.02,0.13
200705,3.41,0.23
200706,3.50,0.06
200707,1.21,-1.73
200708,6.77,3.68
200709,1.59,-1.46
200710,3.28,0.81
200711,1.66,-0.73
200712,2.77,0.82
200801,3.79,2.08
200802,3.27,1.77
200803,2.15,-0.03
200804,1.79,-1.10
200805,1.87,-1.31
200806,5.03,1.59
200807,4.83,1.89
200808,1.00,-2.09
200809,9.36,6.31
200810,1.91,-0.56
200811,1.88,-0.51
200812,3.86,1.91
200901,1.11,-0.60
200902,2.43,0.93
200903,3.32,1.14
200904,6.19,3.30
200905,4.28,1.10
200906,4.73,1.29
200907,2.85,-0.09
200908,5.37,2.28
200909,1.14,-1.91
200910,4.26,1.79
200911,0.89,-1.50
200912,1.95,0.00
201001,0.79,-0.92
201002,1.60,0.10
201003,0.94,-1.24
201004,2.53,-0.36
201005,5.58,2.40
201006,5.16,1.72
201007,3.75,0.81
201008,0.71,-2.38
201009,3.77,0.72
201010,1.96,-0.51
201011,2.14,-0.25
201012,1.12,-0.83
201101,1.16,-0.55
201102,2.69,1.19
201103,3.05,0.87
201104,5.83,2.94
201105,6.95,3.77
201106,2.06,-1.38
201107,5.60,2.66
201108,3.78,0.69
201109,3.30,0.25
201110,3.20,0.73
201111,3.89,1.50
201112,2.28,0.33
201201,2.20,0.49
201202,1.74,0.24
201203,3.06,0.88
201204,2.48,-0.41
201205,2.37,-0.81
201206,1.87,-1.57
201207,2.63,-0.31
201208,3.27,0.18
201209,2.29,-0.76
201210,4.12,1.65
201211,0.51,-1.88
201212,2.28,0.33
201301,3.60,1.89
201302,1.99,0.49
201303,0.80,-1.38
201304,7.22,4.33
201305,3.09,-0.09
201306,6.49,3.05
201307,2.17,-0.77
201308,4.26,1.17
201309,1.29,-1.76
201310,3.63,1.16
201311,2.72,0.33
201312,2.09,0.14
201401,2.32,0.61
201402,2.05,0.55
201403,1.74,-0.44
201404,1.96,-0.93
201405,4.50,1.32
201406,4.93,1.49
201407,4.21,1.27
201408,3.51,0.42
201409,2.70,-0.35
201410,2.79,0.32
201411,2.26,-0.13
201412,1.48,-0.47
201501,1.40,-0.31
201502,1.15,-0.35
201503,0.65,-1.53
201504,1.70,-1.19
201505,4.10,0.92
201506,7.59,4.15
201507,2.92,-0.02
201508,4.52,1.43
201509,2.11,-0.94
201510,1.95,-0.52
201511,2.39,0.00
201512,2.45,0.50
201601,1.20,-0.51
201602,1.83,0.33
201603,3.71,1.53
201604,2.91,0.02
201605,2.83,-0.35
201606,1.04,-2.40
201607,4.02,1.08
201608,7.78,4.69
201609,4.32,1.27
201610,3.49,1.02
201611,2.42,0.03
201612,1.73,-0.22
201701,3.50,1.79
201702,2.14,0.64
201703,4.05,1.87
201704,4.67,1.78
201705,3.59,0.41
201706,2.33,-1.11
201707,2.71,-0.23
201708,2.56,-0.53
201709,1.06,-1.99
201710,8.22,5.75
201711,3.69,1.30
201712,1.33,-0.62
201801,1.66,-0.05
201802,4.80,3.30
201803,1.76,-0.42
201804,2.93,0.04
201805,6.47,3.29
201806,3.00,-0.44
201807,1.61,-1.33
201808,4.32,1.23
201809,3.59,0.54
201810,4.49,2.02
201811,2.53,0.14
201812,1.83,-0.12
201901,1.98,0.27
201902,2.29,0.79
201903,2.09,-0.09
201904,3.39,0.50
201905,4.12,0.94
201906,6.51,3.07
201907,3.05,0.11
201908,1.97,-1.12
201909,4.36,1.31
201910,6.03,3.56
201911,2.25,-0.14
201912,3.16,1.21
202001,3.87,2.16
