Lafayette Parish, Louisiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.02,-3.31
200002,0.80,-3.71
200003,2.73,-1.69
200004,1.58,-2.92
200005,1.91,-3.22
200006,6.44,1.32
200007,4.97,-1.50
200008,2.49,-2.80
200009,3.98,-0.74
200010,1.84,-1.77
200011,12.54,8.32
200012,2.89,-2.53
200101,5.33,0.00
200102,2.25,-2.26
200103,9.98,5.56
200104,1.65,-2.85
200105,1.87,-3.26
200106,16.71,11.59
200107,4.85,-1.62
200108,7.91,2.62
200109,9.91,5.19
200110,4.95,1.34
200111,2.74,-1.48
200112,2.69,-2.73
200201,4.18,-1.15
200202,1.46,-3.05
200203,5.69,1.27
200204,4.61,0.11
200205,2.51,-2.62
200206,5.98,0.86
200207,5.51,-0.96
200208,7.66,2.37
200209,3.24,-1.48
200210,14.46,10.85
200211,4.54,0.32
200212,5.77,0.35
200301,0.95,-4.38
200302,7.54,3.03
200303,2.19,-2.23
200304,4.34,-0.16
200305,0.23,-4.90
200306,11.14,6.02
200307,6.71,0.24
200308,3.50,-1.79
200309,5.63,0.91
200310,4.19,0.58
200311,5.92,1.70
200312,3.00,-2.42
200401,4.60,-0.73
200402,8.32,3.81
200403,1.29,-3.13
200404,5.56,1.06
200405,14.24,9.11
200406,12.65,7.53
200407,3.00,-3.47
200408,2.49,-2.80
200409,1.85,-2.87
200410,10.03,6.42
200411,7.33,3.11
200412,3.61,-1.81
200501,3.15,-2.18
200502,7.85,3.34
200503,2.10,-2.32
200504,1.55,-2.95
200505,2.34,-2.79
200506,2.96,-2.16
200507,4.51,-1.96
200508,3.30,-1.99
200509,8.86,4.14
200510,0.26,-3.35
200511,3.71,-0.51
200512,4.32,-1.10
200601,3.22,-2.11
200602,4.39,-0.12
200603,0.36,-4.06
200604,6.42,1.92
200605,2.20,-2.93
200606,1.45,-3.67
200607,6.95,0.48
200608,5.45,0.16
200609,3.20,-1.52
200610,8.82,5.21
200611,2.03,-2.19
200612,8.34,2.92
200701,9.44,4.11
200702,1.77,-2.74
200703,1.71,-2.71
200704,4.90,0.40
200705,5.30,0.17
200706,6.16,1.04
200707,7.28,0.81
200708,4.27,-1.02
200709,7.85,3.13
200710,2.60,-1.01
200711,4.83,0.61
200712,2.89,-2.53
200801,6.86,1.53
200802,4.18,-0.33
200803,3.77,-0.65
200804,1.84,-2.66
200805,7.00,1.87
200806,5.53,0.41
200807,2.61,-3.86
200808,6.48,1.19
200809,11.05,6.33
200810,0.77,-2.84
200811,2.48,-1.74
200812,4.87,-0.55
200901,2.83,-2.50
200902,1.69,-2.82
200903,6.26,1.84
200904,6.01,1.51
200905,3.87,-1.26
200906,1.16,-3.96
200907,6.55,0.08
200908,5.19,-0.10
200909,6.23,1.51
200910,13.70,10.09
200911,1.59,-2.63
200912,10.30,4.88
201001,2.09,-3.24
201002,5.70,1.19
201003,1.95,-2.47
201004,0.97,-3.53
201005,3.29,-1.84
201006,5.79,0.67
201007,6.96,0.49
201008,4.90,-0.39
201009,2.26,-2.46
201010,2.01,-1.60
201011,6.37,2.15
201012,3.71,-1.71
201101,5.18,-0.15
201102,2.04,-2.47
201103,2.60,-1.82
201104,2.37,-2.13
201105,1.06,-4.07
201106,4.18,-0.94
201107,8.99,2.52
201108,3.32,-1.97
201109,7.12,2.40
201110,0.57,-3.04
201111,3.51,-0.71
201112,2.47,-2.95
201201,6.92,1.59
201202,6.16,1.65
201203,7.84,3.42
201204,3.97,-0.53
201205,2.94,-2.19
201206,5.15,0.03
201207,10.50,4.03
201208,9.16,3.87
201209,4.83,0.11
201210,1.25,-2.36
201211,1.64,-2.58
201212,7.30,1.88
201301,13.12,7.79
201302,6.48,1.97
201303,2.06,-2.36
201304,8.14,3.64
201305,6.24,1.11
201306,4.05,-1.07
201307,4.95,-1.52
201308,4.34,-0.95
201309,5.10,0.38
201310,4.32,0.71
201311,3.07,-1.15
201312,2.91,-2.51
201401,2.05,-3.28
201402,7.09,2.58
201403,2.60,-1.82
201404,2.46,-2.04
201405,10.32,5.19
201406,8.32,3.20
201407,7.86,1.39
201408,8.55,3.26
201409,3.71,-1.01
201410,2.38,-1.23
201411,3.86,-0.36
201412,3.05,-2.37
201501,4.63,-0.70
201502,2.88,-1.63
201503,4.63,0.21
201504,11.43,6.93
201505,8.29,3.16
201506,7.02,1.90
201507,2.45,-4.02
201508,4.05,-1.24
201509,3.03,-1.69
201510,6.44,2.83
201511,9.86,5.64
201512,4.12,-1.30
201601,4.75,-0.58
201602,4.61,0.10
201603,6.18,1.76
201604,6.87,2.37
201605,9.46,4.33
201606,6.58,1.46
201607,4.98,-1.49
201608,22.13,16.84
201609,5.00,0.28
201610,0.47,-3.14
201611,2.68,-1.54
201612,7.81,2.39
201701,6.07,0.74
201702,2.33,-2.18
201703,2.94,-1.48
201704,4.25,-0.25
201705,10.11,4.98
201706,11.11,5.99
201707,5.69,-0.78
201708,13.37,8.08
201709,0.57,-4.15
201710,4.04,0.43
201711,3.57,-0.65
201712,6.81,1.39
201801,5.61,0.28
201802,3.45,-1.06
201803,2.79,-1.63
201804,2.83,-1.67
201805,1.75,-3.38
201806,4.09,-1.03
201807,6.31,-0.16
201808,4.81,-0.48
201809,10.09,5.37
201810,5.13,1.52
201811,7.11,2.89
201812,7.35,1.93
201901,4.04,-1.29
201902,2.72,-1.79
201903,1.17,-3.25
201904,8.36,3.86
201905,10.00,4.87
201906,9.85,4.73
201907,8.69,2.22
201908,7.66,2.37
201909,2.42,-2.30
201910,6.99,3.38
201911,2.11,-2.11
201912,2.03,-3.39
202001,6.41,1.08
