Eagle County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.13,0.70
200002,2.57,0.37
200003,2.42,-0.07
200004,2.22,-0.33
200005,1.90,-0.12
200006,1.29,0.00
200007,1.21,-0.50
200008,2.44,0.63
200009,2.19,0.52
200010,0.98,-0.77
200011,1.72,-0.22
200012,2.16,-0.04
200101,1.02,-1.41
200102,1.69,-0.51
200103,2.46,-0.03
200104,2.50,-0.05
200105,1.83,-0.19
200106,0.97,-0.32
200107,1.83,0.12
200108,2.23,0.42
200109,1.47,-0.20
200110,1.15,-0.60
200111,2.16,0.22
200112,1.46,-0.74
200201,1.38,-1.05
200202,1.26,-0.94
200203,1.67,-0.82
200204,1.14,-1.41
200205,0.77,-1.25
200206,0.22,-1.07
200207,1.16,-0.55
200208,1.23,-0.58
200209,2.80,1.13
200210,2.29,0.54
200211,2.59,0.65
200212,1.20,-1.00
200301,0.94,-1.49
200302,2.46,0.26
200303,2.82,0.33
200304,2.87,0.32
200305,2.00,-0.02
200306,1.66,0.37
200307,0.84,-0.87
200308,2.42,0.61
200309,2.31,0.64
200310,0.45,-1.30
200311,2.74,0.80
200312,1.74,-0.46
200401,1.56,-0.87
200402,1.73,-0.47
200403,1.43,-1.06
200404,2.66,0.11
200405,0.96,-1.06
200406,1.69,0.40
200407,1.53,-0.18
200408,1.24,-0.57
200409,2.55,0.88
200410,1.94,0.19
200411,2.09,0.15
200412,1.43,-0.77
200501,2.66,0.23
200502,1.74,-0.46
200503,2.03,-0.46
200504,2.68,0.13
200505,1.35,-0.67
200506,2.58,1.29
200507,0.85,-0.86
200508,1.77,-0.04
200509,2.29,0.62
200510,3.03,1.28
200511,2.96,1.02
200512,3.20,1.00
200601,2.46,0.03
200602,1.48,-0.72
200603,2.18,-0.31
200604,1.68,-0.87
200605,1.04,-0.98
200606,0.35,-0.94
200607,2.47,0.76
200608,1.98,0.17
200609,2.74,1.07
200610,3.43,1.68
200611,2.08,0.14
200612,1.35,-0.85
200701,1.62,-0.81
200702,2.18,-0.02
200703,1.85,-0.64
200704,2.47,-0.08
200705,1.41,-0.61
200706,0.69,-0.60
200707,1.42,-0.29
200708,2.26,0.45
200709,2.58,0.91
200710,2.41,0.66
200711,0.73,-1.21
200712,4.01,1.81
200801,3.37,0.94
200802,3.25,1.05
200803,2.52,0.03
200804,2.40,-0.15
200805,2.60,0.58
200806,0.71,-0.58
200807,1.14,-0.57
200808,1.82,0.01
200809,1.47,-0.20
200810,1.14,-0.61
200811,1.96,0.02
200812,3.68,1.48
200901,2.67,0.24
200902,1.69,-0.51
200903,2.12,-0.37
200904,2.67,0.12
200905,2.38,0.36
200906,2.14,0.85
200907,1.55,-0.16
200908,0.65,-1.16
200909,1.57,-0.10
200910,2.22,0.47
200911,0.87,-1.07
200912,1.93,-0.27
201001,1.37,-1.06
201002,2.13,-0.07
201003,1.67,-0.82
201004,3.46,0.91
201005,2.36,0.34
201006,1.41,0.12
201007,1.86,0.15
201008,2.10,0.29
201009,0.79,-0.88
201010,3.10,1.35
201011,2.29,0.35
201012,2.98,0.78
201101,2.29,-0.14
201102,2.35,0.15
201103,3.08,0.59
201104,4.38,1.83
201105,2.87,0.85
201106,1.02,-0.27
201107,2.10,0.39
201108,1.30,-0.51
201109,1.39,-0.28
201110,2.67,0.92
201111,1.50,-0.44
201112,0.71,-1.49
201201,2.08,-0.35
201202,2.17,-0.03
201203,0.77,-1.72
201204,1.68,-0.87
201205,1.16,-0.86
201206,0.22,-1.07
201207,2.97,1.26
201208,1.88,0.07
201209,1.40,-0.27
201210,1.39,-0.36
201211,0.69,-1.25
201212,2.30,0.10
201301,1.49,-0.94
201302,1.55,-0.65
201303,2.21,-0.28
201304,3.65,1.10
201305,2.40,0.38
201306,0.19,-1.10
201307,2.38,0.67
201308,1.75,-0.06
201309,4.05,2.38
201310,2.34,0.59
201311,1.76,-0.18
201312,2.01,-0.19
201401,3.67,1.24
201402,2.74,0.54
201403,2.48,-0.01
201404,1.99,-0.56
201405,2.37,0.35
201406,0.35,-0.94
201407,2.21,0.50
201408,2.68,0.87
201409,2.56,0.89
201410,1.46,-0.29
201411,2.93,0.99
201412,2.65,0.45
201501,0.87,-1.56
201502,1.75,-0.45
201503,1.50,-0.99
201504,2.09,-0.46
201505,4.06,2.04
201506,1.08,-0.21
201507,2.45,0.74
201508,1.28,-0.53
201509,1.19,-0.48
201510,1.74,-0.01
201511,2.23,0.29
201512,2.27,0.07
201601,2.25,-0.18
201602,1.30,-0.90
201603,2.53,0.04
201604,2.79,0.24
201605,2.07,0.05
201606,0.87,-0.42
201607,1.20,-0.51
201608,2.01,0.20
201609,0.97,-0.70
201610,0.91,-0.84
201611,1.35,-0.59
201612,3.67,1.47
201701,4.22,1.79
201702,1.81,-0.39
201703,1.18,-1.31
201704,2.45,-0.10
201705,2.52,0.50
201706,0.19,-1.10
201707,1.74,0.03
201708,1.20,-0.61
201709,1.87,0.20
201710,2.14,0.39
201711,1.16,-0.78
201712,1.32,-0.88
201801,1.73,-0.70
201802,2.17,-0.03
201803,1.56,-0.93
201804,3.30,0.75
201805,0.96,-1.06
201806,0.58,-0.71
201807,0.65,-1.06
201808,1.51,-0.30
201809,0.55,-1.12
201810,2.51,0.76
201811,2.39,0.45
201812,1.48,-0.72
201901,2.24,-0.19
201902,2.16,-0.04
201903,4.30,1.81
201904,2.77,0.22
201905,3.40,1.38
201906,2.02,0.73
201907,0.69,-1.02
201908,1.02,-0.79
201909,0.83,-0.84
201910,2.07,0.32
201911,1.29,-0.65
201912,2.13,-0.07
202001,1.75,-0.68
