St. Clair County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.42,-0.96
200002,2.99,0.79
200003,2.15,-1.28
200004,2.62,-1.28
200005,5.66,1.45
200006,8.99,4.98
200007,6.33,2.97
200008,4.37,0.78
200009,2.68,-0.68
200010,1.96,-0.96
200011,3.85,0.74
200012,1.48,-1.09
200101,0.97,-1.41
200102,2.66,0.46
200103,1.07,-2.36
200104,2.54,-1.36
200105,4.07,-0.14
200106,2.75,-1.26
200107,4.90,1.54
200108,2.98,-0.61
200109,2.54,-0.82
200110,4.32,1.40
200111,3.33,0.22
200112,4.01,1.44
200201,2.15,-0.23
200202,1.82,-0.38
200203,4.45,1.02
200204,4.66,0.76
200205,7.21,3.00
200206,2.95,-1.06
200207,1.72,-1.64
200208,3.03,-0.56
200209,3.03,-0.33
200210,4.80,1.88
200211,1.12,-1.99
200212,1.86,-0.71
200301,0.38,-2.00
200302,2.42,0.22
200303,2.57,-0.86
200304,3.75,-0.15
200305,5.51,1.30
200306,7.53,3.52
200307,2.19,-1.17
200308,2.64,-0.95
200309,4.46,1.10
200310,2.40,-0.52
200311,6.09,2.98
200312,2.75,0.18
200401,3.64,1.26
200402,0.86,-1.34
200403,3.81,0.38
200404,1.67,-2.23
200405,8.65,4.44
200406,2.65,-1.36
200407,6.36,3.00
200408,4.42,0.83
200409,0.17,-3.19
200410,4.70,1.78
200411,6.34,3.23
200412,1.94,-0.63
200501,7.09,4.71
200502,1.69,-0.51
200503,2.28,-1.15
200504,3.30,-0.60
200505,1.31,-2.90
200506,1.53,-2.48
200507,4.49,1.13
200508,3.94,0.35
200509,7.13,3.77
200510,1.69,-1.23
200511,4.69,1.58
200512,0.84,-1.73
200601,2.18,-0.20
200602,0.62,-1.58
200603,5.08,1.65
200604,2.06,-1.84
200605,3.68,-0.53
200606,3.25,-0.76
200607,2.10,-1.26
200608,2.63,-0.96
200609,2.57,-0.79
200610,4.67,1.75
200611,3.18,0.07
200612,3.53,0.96
200701,3.57,1.19
200702,2.44,0.24
200703,1.84,-1.59
200704,3.23,-0.67
200705,4.62,0.41
200706,2.61,-1.40
200707,2.29,-1.07
200708,1.06,-2.53
200709,1.99,-1.37
200710,2.84,-0.08
200711,1.64,-1.47
200712,3.45,0.88
200801,1.99,-0.39
200802,4.21,2.01
200803,9.16,5.73
200804,5.77,1.87
200805,8.80,4.59
200806,2.68,-1.33
200807,6.34,2.98
200808,1.82,-1.77
200809,5.31,1.95
200810,1.74,-1.18
200811,1.39,-1.72
200812,4.11,1.54
200901,1.05,-1.33
200902,2.41,0.21
200903,2.81,-0.62
200904,6.21,2.31
200905,5.92,1.71
200906,5.07,1.06
200907,4.40,1.04
200908,3.57,-0.02
200909,2.72,-0.64
200910,11.54,8.62
200911,2.88,-0.23
200912,4.50,1.93
201001,1.31,-1.07
201002,1.95,-0.25
201003,2.62,-0.81
201004,2.83,-1.07
201005,5.75,1.54
201006,4.31,0.30
201007,5.79,2.43
201008,3.37,-0.22
201009,4.13,0.77
201010,0.90,-2.02
201011,4.96,1.85
201012,1.59,-0.98
201101,0.90,-1.48
201102,3.26,1.06
201103,4.81,1.38
201104,8.83,4.93
201105,4.21,0.00
201106,7.91,3.90
201107,3.82,0.46
201108,1.18,-2.41
201109,3.27,-0.09
201110,2.06,-0.86
201111,5.26,2.15
201112,3.74,1.17
201201,2.27,-0.11
201202,1.96,-0.24
201203,2.88,-0.55
201204,6.37,2.47
201205,1.20,-3.01
201206,1.21,-2.80
201207,1.19,-2.17
201208,3.67,0.08
201209,6.54,3.18
201210,3.35,0.43
201211,1.81,-1.30
201212,1.91,-0.66
201301,4.98,2.60
201302,2.72,0.52
201303,3.75,0.32
201304,7.49,3.59
201305,7.51,3.30
201306,7.28,3.27
201307,3.84,0.48
201308,0.77,-2.82
201309,1.58,-1.78
201310,2.70,-0.22
201311,2.07,-1.04
201312,2.95,0.38
201401,1.52,-0.86
201402,1.26,-0.94
201403,1.27,-2.16
201404,7.39,3.49
201405,2.14,-2.07
201406,5.01,1.00
201407,1.22,-2.14
201408,5.56,1.97
201409,3.72,0.36
201410,4.42,1.50
201411,1.91,-1.20
201412,3.95,1.38
201501,1.38,-1.00
201502,1.40,-0.80
201503,3.79,0.36
201504,4.21,0.31
201505,7.12,2.91
201506,9.49,5.48
201507,4.25,0.89
201508,4.02,0.43
201509,2.57,-0.79
201510,0.84,-2.08
201511,6.22,3.11
201512,9.06,6.49
201601,0.80,-1.58
201602,0.85,-1.35
201603,2.74,-0.69
201604,3.91,0.01
201605,5.02,0.81
201606,1.33,-2.68
201607,5.58,2.22
201608,6.82,3.23
201609,6.67,3.31
201610,2.38,-0.54
201611,2.70,-0.41
201612,1.04,-1.53
201701,2.44,0.06
201702,0.36,-1.84
201703,3.65,0.22
201704,9.43,5.53
201705,4.95,0.74
201706,2.32,-1.69
201707,2.53,-0.83
201708,2.00,-1.59
201709,0.77,-2.59
201710,2.79,-0.13
201711,1.67,-1.44
201712,1.18,-1.39
201801,1.31,-1.07
201802,7.06,4.86
201803,6.51,3.08
201804,2.67,-1.23
201805,4.60,0.39
201806,4.70,0.69
201807,3.68,0.32
201808,5.56,1.97
201809,6.80,3.44
201810,1.73,-1.19
201811,2.87,-0.24
201812,4.94,2.37
201901,3.26,0.88
201902,4.02,1.82
201903,4.66,1.23
201904,5.03,1.13
201905,7.19,2.98
201906,4.61,0.60
201907,3.69,0.33
201908,5.20,1.61
201909,0.85,-2.51
201910,4.58,1.66
201911,2.66,-0.45
201912,1.98,-0.59
202001,6.02,3.64
