Kings County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.39,-0.14
200002,2.75,1.25
200003,0.95,-0.41
200004,0.97,0.33
200005,0.17,-0.11
200006,0.24,0.20
200007,0.00,-0.01
200008,0.00,-0.01
200009,0.01,-0.12
200010,1.08,0.72
200011,0.01,-0.65
200012,0.04,-1.05
200101,2.04,0.51
200102,1.86,0.36
200103,1.38,0.02
200104,1.04,0.40
200105,0.00,-0.28
200106,0.00,-0.04
200107,0.04,0.03
200108,0.00,-0.01
200109,0.00,-0.13
200110,0.16,-0.20
200111,1.31,0.65
200112,1.55,0.46
200201,0.68,-0.85
200202,0.21,-1.29
200203,0.76,-0.60
200204,0.14,-0.50
200205,0.08,-0.20
200206,0.06,0.02
200207,0.00,-0.01
200208,0.00,-0.01
200209,0.00,-0.13
200210,0.01,-0.35
200211,0.99,0.33
200212,1.57,0.48
200301,0.30,-1.23
200302,1.26,-0.24
200303,0.86,-0.50
200304,0.97,0.33
200305,0.78,0.50
200306,0.00,-0.04
200307,0.02,0.01
200308,0.06,0.05
200309,0.01,-0.12
200310,0.04,-0.32
200311,0.38,-0.28
200312,1.70,0.61
200401,0.76,-0.77
200402,2.24,0.74
200403,0.36,-1.00
200404,0.03,-0.61
200405,0.00,-0.28
200406,0.00,-0.04
200407,0.00,-0.01
200408,0.00,-0.01
200409,0.01,-0.12
200410,1.81,1.45
200411,0.46,-0.20
200412,2.17,1.08
200501,2.66,1.13
200502,1.71,0.21
200503,1.54,0.18
200504,0.88,0.24
200505,1.16,0.88
200506,0.00,-0.04
200507,0.01,0.00
200508,0.01,0.00
200509,0.21,0.08
200510,0.09,-0.27
200511,0.13,-0.53
200512,0.85,-0.24
200601,3.27,1.74
200602,0.47,-1.03
200603,2.44,1.08
200604,2.24,1.60
200605,0.53,0.25
200606,0.00,-0.04
200607,0.00,-0.01
200608,0.00,-0.01
200609,0.00,-0.13
200610,0.19,-0.17
200611,0.17,-0.49
200612,0.53,-0.56
200701,0.45,-1.08
200702,0.89,-0.61
200703,0.30,-1.06
200704,0.30,-0.34
200705,0.01,-0.27
200706,0.00,-0.04
200707,0.00,-0.01
200708,0.05,0.04
200709,0.27,0.14
200710,0.42,0.06
200711,0.08,-0.58
200712,1.14,0.05
200801,2.48,0.95
200802,0.79,-0.71
200803,0.00,-1.36
200804,0.01,-0.63
200805,0.21,-0.07
200806,0.00,-0.04
200807,0.01,0.00
200808,0.00,-0.01
200809,0.00,-0.13
200810,0.09,-0.27
200811,0.64,-0.02
200812,0.94,-0.15
200901,0.72,-0.81
200902,1.40,-0.10
200903,0.24,-1.12
200904,0.08,-0.56
200905,0.31,0.03
200906,0.12,0.08
200907,0.00,-0.01
200908,0.00,-0.01
200909,0.24,0.11
200910,0.72,0.36
200911,0.20,-0.46
200912,1.53,0.44
201001,2.69,1.16
201002,2.11,0.61
201003,0.39,-0.97
201004,1.32,0.68
201005,0.34,0.06
201006,0.00,-0.04
201007,0.01,0.00
201008,0.00,-0.01
201009,0.00,-0.13
201010,0.59,0.23
201011,1.19,0.53
201012,4.74,3.65
201101,1.22,-0.31
201102,1.04,-0.46
201103,2.47,1.11
201104,0.23,-0.41
201105,0.30,0.02
201106,0.30,0.26
201107,0.00,-0.01
201108,0.01,0.00
201109,0.01,-0.12
201110,0.36,0.00
201111,1.03,0.37
201112,0.01,-1.08
201201,0.52,-1.01
201202,0.26,-1.24
201203,1.47,0.11
201204,1.28,0.64
201205,0.01,-0.27
201206,0.01,-0.03
201207,0.00,-0.01
201208,0.00,-0.01
201209,0.00,-0.13
201210,0.26,-0.10
201211,0.37,-0.29
201212,1.42,0.33
201301,0.34,-1.19
201302,0.46,-1.04
201303,0.85,-0.51
201304,0.06,-0.58
201305,0.32,0.04
201306,0.00,-0.04
201307,0.01,0.00
201308,0.00,-0.01
201309,0.00,-0.13
201310,0.01,-0.35
201311,0.23,-0.43
201312,0.09,-1.00
201401,0.11,-1.42
201402,1.36,-0.14
201403,0.73,-0.63
201404,0.24,-0.40
201405,0.01,-0.27
201406,0.00,-0.04
201407,0.00,-0.01
201408,0.00,-0.01
201409,0.01,-0.12
201410,0.34,-0.02
201411,0.89,0.23
201412,2.46,1.37
201501,0.17,-1.36
201502,0.72,-0.78
201503,0.25,-1.11
201504,0.48,-0.16
201505,0.28,0.00
201506,0.03,-0.01
201507,0.08,0.07
201508,0.01,0.00
201509,0.01,-0.12
201510,0.58,0.22
201511,0.79,0.13
201512,1.18,0.09
201601,2.39,0.86
201602,0.35,-1.15
201603,1.18,-0.18
201604,0.48,-0.16
201605,0.24,-0.04
201606,0.03,-0.01
201607,0.00,-0.01
201608,0.00,-0.01
201609,0.00,-0.13
201610,0.74,0.38
201611,0.87,0.21
201612,1.33,0.24
201701,3.74,2.21
201702,2.57,1.07
201703,0.61,-0.75
201704,0.70,0.06
201705,0.34,0.06
201706,0.01,-0.03
201707,0.00,-0.01
201708,0.00,-0.01
201709,0.07,-0.06
201710,0.03,-0.33
201711,0.10,-0.56
201712,0.04,-1.05
201801,1.08,-0.45
201802,0.17,-1.33
201803,2.26,0.90
201804,0.34,-0.30
201805,0.00,-0.28
201806,0.00,-0.04
201807,0.00,-0.01
201808,0.00,-0.01
201809,0.00,-0.13
201810,0.08,-0.28
201811,1.27,0.61
201812,0.41,-0.68
201901,1.66,0.13
201902,2.21,0.71
201903,1.37,0.01
201904,0.29,-0.35
201905,1.36,1.08
201906,0.09,0.05
201907,0.00,-0.01
201908,0.00,-0.01
201909,0.00,-0.13
201910,0.00,-0.36
201911,0.77,0.11
201912,1.94,0.85
202001,0.47,-1.06
