Champaign County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.34,-0.72
200002,2.10,0.33
200003,1.53,-1.54
200004,2.26,-1.47
200005,4.34,0.46
200006,5.25,1.25
200007,2.24,-1.38
200008,2.84,-0.56
200009,3.91,0.71
200010,2.40,-0.37
200011,3.55,0.84
200012,1.79,-0.55
200101,1.18,-0.88
200102,3.46,1.69
200103,0.74,-2.33
200104,2.43,-1.30
200105,3.16,-0.72
200106,3.21,-0.79
200107,3.52,-0.10
200108,4.45,1.05
200109,2.35,-0.85
200110,6.69,3.92
200111,1.98,-0.73
200112,2.10,-0.24
200201,2.50,0.44
200202,2.79,1.02
200203,3.14,0.07
200204,4.57,0.84
200205,6.35,2.47
200206,3.37,-0.63
200207,3.49,-0.13
200208,5.86,2.46
200209,1.74,-1.46
200210,2.62,-0.15
200211,1.03,-1.68
200212,1.62,-0.72
200301,0.66,-1.40
200302,1.35,-0.42
200303,1.39,-1.68
200304,2.66,-1.07
200305,4.37,0.49
200306,3.30,-0.70
200307,7.17,3.55
200308,4.84,1.44
200309,4.69,1.49
200310,1.51,-1.26
200311,4.50,1.79
200312,2.81,0.47
200401,2.09,0.03
200402,0.46,-1.31
200403,5.44,2.37
200404,1.64,-2.09
200405,5.50,1.62
200406,4.70,0.70
200407,4.63,1.01
200408,4.73,1.33
200409,0.69,-2.51
200410,4.05,1.28
200411,4.91,2.20
200412,2.01,-0.33
200501,6.51,4.45
200502,1.98,0.21
200503,1.50,-1.57
200504,3.38,-0.35
200505,1.49,-2.39
200506,2.62,-1.38
200507,4.95,1.33
200508,2.88,-0.52
200509,4.46,1.26
200510,1.54,-1.23
200511,3.51,0.80
200512,1.51,-0.83
200601,1.82,-0.24
200602,0.73,-1.04
200603,3.53,0.46
200604,4.88,1.15
200605,3.18,-0.70
200606,2.02,-1.98
200607,6.35,2.73
200608,3.55,0.15
200609,1.94,-1.26
200610,3.67,0.90
200611,2.88,0.17
200612,4.16,1.82
200701,3.08,1.02
200702,1.87,0.10
200703,2.68,-0.39
200704,2.98,-0.75
200705,1.57,-2.31
200706,4.46,0.46
200707,3.63,0.01
200708,2.09,-1.31
200709,2.25,-0.95
200710,3.62,0.85
200711,3.60,0.89
200712,3.09,0.75
200801,3.03,0.97
200802,5.01,3.24
200803,2.76,-0.31
200804,3.07,-0.66
200805,5.80,1.92
200806,7.05,3.05
200807,7.20,3.58
200808,0.99,-2.41
200809,8.42,5.22
200810,2.55,-0.22
200811,1.17,-1.54
200812,4.54,2.20
200901,0.55,-1.51
200902,1.95,0.18
200903,2.85,-0.22
200904,6.51,2.78
200905,5.49,1.61
200906,4.34,0.34
200907,5.19,1.57
200908,5.22,1.82
200909,0.98,-2.22
200910,8.42,5.65
200911,3.57,0.86
200912,3.48,1.14
201001,1.27,-0.79
201002,1.51,-0.26
201003,2.75,-0.32
201004,2.21,-1.52
201005,4.31,0.43
201006,8.78,4.78
201007,3.65,0.03
201008,1.61,-1.79
201009,3.67,0.47
201010,1.17,-1.60
201011,3.52,0.81
201012,2.19,-0.15
201101,0.84,-1.22
201102,3.20,1.43
201103,1.88,-1.19
201104,7.96,4.23
201105,4.99,1.11
201106,4.17,0.17
201107,1.44,-2.18
201108,1.58,-1.82
201109,2.78,-0.42
201110,2.34,-0.43
201111,4.95,2.24
201112,2.78,0.44
201201,2.68,0.62
201202,1.03,-0.74
201203,1.35,-1.72
201204,2.56,-1.17
201205,2.65,-1.23
201206,2.09,-1.91
201207,0.78,-2.84
201208,4.70,1.30
201209,5.56,2.36
201210,5.10,2.33
201211,0.94,-1.77
201212,2.22,-0.12
201301,2.80,0.74
201302,2.79,1.02
201303,1.41,-1.66
201304,6.97,3.24
201305,4.40,0.52
201306,5.56,1.56
201307,3.58,-0.04
201308,0.49,-2.91
201309,0.96,-2.24
201310,3.49,0.72
201311,1.76,-0.95
201312,1.89,-0.45
201401,1.68,-0.38
201402,2.73,0.96
201403,1.41,-1.66
201404,4.00,0.27
201405,3.62,-0.26
201406,7.31,3.31
201407,6.58,2.96
201408,2.82,-0.58
201409,3.75,0.55
201410,3.93,1.16
201411,2.14,-0.57
201412,1.72,-0.62
201501,1.34,-0.72
201502,0.98,-0.79
201503,1.83,-1.24
201504,3.16,-0.57
201505,5.62,1.74
201506,9.31,5.31
201507,4.35,0.73
201508,2.75,-0.65
201509,5.09,1.89
201510,1.32,-1.45
201511,4.59,1.88
201512,6.93,4.59
201601,0.79,-1.27
201602,1.17,-0.60
201603,3.49,0.42
201604,3.34,-0.39
201605,3.43,-0.45
201606,5.20,1.20
201607,5.70,2.08
201608,5.98,2.58
201609,4.22,1.02
201610,1.99,-0.78
201611,3.30,0.59
201612,1.36,-0.98
201701,2.96,0.90
201702,0.69,-1.08
201703,2.70,-0.37
201704,5.96,2.23
201705,5.50,1.62
201706,1.92,-2.08
201707,3.18,-0.44
201708,3.23,-0.17
201709,1.00,-2.20
201710,4.97,2.20
201711,3.26,0.55
201712,0.50,-1.84
201801,0.97,-1.09
201802,5.36,3.59
201803,2.98,-0.09
201804,2.44,-1.29
201805,3.80,-0.08
201806,7.06,3.06
201807,4.69,1.07
201808,4.19,0.79
201809,4.67,1.47
201810,3.09,0.32
201811,3.37,0.66
201812,3.07,0.73
201901,3.31,1.25
201902,1.79,0.02
201903,4.53,1.46
201904,4.39,0.66
201905,6.40,2.52
201906,3.62,-0.38
201907,2.67,-0.95
201908,2.27,-1.13
201909,3.58,0.38
201910,4.44,1.67
201911,1.74,-0.97
201912,1.37,-0.97
202001,4.15,2.09
