Chatham County, Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.88,-0.42
200002,1.74,-1.60
200003,4.22,0.43
200004,2.68,-0.15
200005,1.01,-2.75
200006,4.75,-0.72
200007,3.73,-3.01
200008,4.25,-2.23
200009,7.89,2.37
200010,0.01,-2.86
200011,1.79,-0.22
200012,2.89,0.03
200101,1.84,-1.46
200102,0.97,-2.37
200103,6.54,2.75
200104,0.69,-2.14
200105,0.64,-3.12
200106,6.15,0.68
200107,5.69,-1.05
200108,4.94,-1.54
200109,4.84,-0.68
200110,0.17,-2.70
200111,0.17,-1.84
200112,0.49,-2.37
200201,2.70,-0.60
200202,1.73,-1.61
200203,5.29,1.50
200204,0.83,-2.00
200205,1.38,-2.38
200206,9.16,3.69
200207,3.67,-3.07
200208,5.21,-1.27
200209,6.13,0.61
200210,4.49,1.62
200211,4.36,2.35
200212,3.76,0.90
200301,0.75,-2.55
200302,3.75,0.41
200303,7.72,3.93
200304,5.49,2.66
200305,6.00,2.24
200306,5.30,-0.17
200307,6.83,0.09
200308,4.03,-2.45
200309,3.62,-1.90
200310,3.10,0.23
200311,1.59,-0.42
200312,1.51,-1.35
200401,2.04,-1.26
200402,3.62,0.28
200403,0.22,-3.57
200404,3.71,0.88
200405,2.61,-1.15
200406,7.73,2.26
200407,3.63,-3.11
200408,4.80,-1.68
200409,6.28,0.76
200410,2.83,-0.04
200411,1.24,-0.77
200412,1.85,-1.01
200501,1.47,-1.83
200502,2.48,-0.86
200503,6.62,2.83
200504,2.80,-0.03
200505,4.13,0.37
200506,7.01,1.54
200507,4.21,-2.53
200508,5.77,-0.71
200509,0.76,-4.76
200510,7.02,4.15
200511,2.54,0.53
200512,3.12,0.26
200601,3.19,-0.11
200602,4.56,1.22
200603,0.42,-3.37
200604,1.99,-0.84
200605,0.97,-2.79
200606,5.24,-0.23
200607,2.98,-3.76
200608,4.78,-1.70
200609,5.80,0.28
200610,1.04,-1.83
200611,1.95,-0.06
200612,2.84,-0.02
200701,2.66,-0.64
200702,2.26,-1.08
200703,1.81,-1.98
200704,0.34,-2.49
200705,1.27,-2.49
200706,7.66,2.19
200707,6.96,0.22
200708,4.91,-1.57
200709,8.01,2.49
200710,4.07,1.20
200711,0.07,-1.94
200712,5.24,2.38
200801,3.25,-0.05
200802,5.22,1.88
200803,1.52,-2.27
200804,2.40,-0.43
200805,1.52,-2.24
200806,2.98,-2.49
200807,7.79,1.05
200808,6.95,0.47
200809,1.86,-3.66
200810,9.07,6.20
200811,4.73,2.72
200812,0.58,-2.28
200901,1.14,-2.16
200902,1.67,-1.67
200903,4.58,0.79
200904,6.65,3.82
200905,9.01,5.25
200906,4.26,-1.21
200907,6.27,-0.47
200908,7.44,0.96
200909,3.09,-2.43
200910,3.29,0.42
200911,2.10,0.09
200912,9.74,6.88
201001,6.29,2.99
201002,3.56,0.22
201003,2.80,-0.99
201004,1.41,-1.42
201005,3.84,0.08
201006,4.85,-0.62
201007,2.37,-4.37
201008,6.57,0.09
201009,3.38,-2.14
201010,0.54,-2.33
201011,0.37,-1.64
201012,1.73,-1.13
201101,2.68,-0.62
201102,3.56,0.22
201103,4.31,0.52
201104,1.35,-1.48
201105,0.68,-3.08
201106,5.71,0.24
201107,4.20,-2.54
201108,3.07,-3.41
201109,4.85,-0.67
201110,2.69,-0.18
201111,0.87,-1.14
201112,1.23,-1.63
201201,1.47,-1.83
201202,2.88,-0.46
201203,4.90,1.11
201204,0.58,-2.25
201205,6.68,2.92
201206,5.00,-0.47
201207,5.62,-1.12
201208,8.96,2.48
201209,2.73,-2.79
201210,1.21,-1.66
201211,0.46,-1.55
201212,2.27,-0.59
201301,0.59,-2.71
201302,10.41,7.07
201303,2.34,-1.45
201304,3.85,1.02
201305,2.92,-0.84
201306,7.58,2.11
201307,11.26,4.52
201308,7.56,1.08
201309,2.05,-3.47
201310,0.38,-2.49
201311,2.46,0.45
201312,2.55,-0.31
201401,2.79,-0.51
201402,2.07,-1.27
201403,2.81,-0.98
201404,6.00,3.17
201405,3.15,-0.61
201406,3.93,-1.54
201407,4.93,-1.81
201408,4.25,-2.23
201409,6.12,0.60
201410,1.78,-1.09
201411,4.50,2.49
201412,3.76,0.90
201501,4.06,0.76
201502,3.96,0.62
201503,2.22,-1.57
201504,6.10,3.27
201505,1.13,-2.63
201506,5.11,-0.36
201507,5.07,-1.67
201508,8.15,1.67
201509,3.46,-2.06
201510,2.11,-0.76
201511,3.27,1.26
201512,2.85,-0.01
201601,3.19,-0.11
201602,3.82,0.48
201603,4.44,0.65
201604,2.28,-0.55
201605,7.56,3.80
201606,6.26,0.79
201607,1.50,-5.24
201608,4.38,-2.10
201609,6.20,0.68
201610,10.20,7.33
201611,0.17,-1.84
201612,4.69,1.83
201701,6.81,3.51
201702,2.46,-0.88
201703,0.61,-3.18
201704,2.81,-0.02
201705,9.26,5.50
201706,5.69,0.22
201707,6.87,0.13
201708,6.04,-0.44
201709,5.89,0.37
201710,1.90,-0.97
201711,1.18,-0.83
201712,2.40,-0.46
201801,1.63,-1.67
201802,1.95,-1.39
201803,1.49,-2.30
201804,3.74,0.91
201805,6.17,2.41
201806,3.73,-1.74
201807,6.06,-0.68
201808,3.85,-2.63
201809,2.70,-2.82
201810,3.13,0.26
201811,3.59,1.58
201812,8.33,5.47
201901,2.74,-0.56
201902,1.03,-2.31
201903,1.65,-2.14
201904,2.38,-0.45
201905,2.44,-1.32
201906,10.16,4.69
201907,3.90,-2.84
201908,4.30,-2.18
201909,1.48,-4.04
201910,7.11,4.24
201911,4.90,2.89
201912,6.68,3.82
202001,1.81,-1.49
