Outagamie County, Wisconsin, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.99,-0.26
200002,0.85,-0.28
200003,1.09,-0.80
200004,2.30,-0.39
200005,4.49,1.11
200006,5.57,1.67
200007,3.47,0.04
200008,3.78,0.41
200009,4.84,1.19
200010,0.41,-1.90
200011,1.70,-0.38
200012,1.57,0.23
200101,1.06,-0.19
200102,1.56,0.43
200103,0.34,-1.55
200104,3.52,0.83
200105,5.27,1.89
200106,5.06,1.16
200107,1.46,-1.97
200108,3.74,0.37
200109,3.01,-0.64
200110,1.77,-0.54
200111,1.98,-0.10
200112,1.21,-0.13
200201,0.55,-0.70
200202,1.32,0.19
200203,2.39,0.50
200204,3.80,1.11
200205,2.88,-0.50
200206,5.69,1.79
200207,2.53,-0.90
200208,3.23,-0.14
200209,3.37,-0.28
200210,3.64,1.33
200211,0.33,-1.75
200212,0.78,-0.56
200301,0.61,-0.64
200302,0.70,-0.43
200303,2.21,0.32
200304,2.61,-0.08
200305,4.22,0.84
200306,3.69,-0.21
200307,4.85,1.42
200308,3.28,-0.09
200309,4.39,0.74
200310,1.33,-0.98
200311,4.11,2.03
200312,1.52,0.18
200401,1.13,-0.12
200402,1.38,0.25
200403,3.63,1.74
200404,1.47,-1.22
200405,8.00,4.62
200406,5.08,1.18
200407,2.36,-1.07
200408,2.37,-1.00
200409,0.61,-3.04
200410,3.73,1.42
200411,2.01,-0.07
200412,2.14,0.80
200501,1.41,0.16
200502,1.36,0.23
200503,1.26,-0.63
200504,1.69,-1.00
200505,2.74,-0.64
200506,2.84,-1.06
200507,2.61,-0.82
200508,4.21,0.84
200509,3.59,-0.06
200510,1.72,-0.59
200511,3.12,1.04
200512,1.21,-0.13
200601,1.66,0.41
200602,1.01,-0.12
200603,1.23,-0.66
200604,2.17,-0.52
200605,5.36,1.98
200606,2.11,-1.79
200607,2.97,-0.46
200608,2.09,-1.28
200609,3.34,-0.31
200610,3.27,0.96
200611,1.30,-0.78
200612,2.41,1.07
200701,1.10,-0.15
200702,0.97,-0.16
200703,2.49,0.60
200704,2.14,-0.55
200705,2.42,-0.96
200706,2.99,-0.91
200707,3.23,-0.20
200708,4.27,0.90
200709,2.70,-0.95
200710,3.93,1.62
200711,0.14,-1.94
200712,2.75,1.41
200801,2.50,1.25
200802,2.13,1.00
200803,1.26,-0.63
200804,5.24,2.55
200805,2.24,-1.14
200806,5.33,1.43
200807,4.60,1.17
200808,1.75,-1.62
200809,1.67,-1.98
200810,1.88,-0.43
200811,1.26,-0.82
200812,3.28,1.94
200901,0.60,-0.65
200902,1.28,0.15
200903,2.79,0.90
200904,3.21,0.52
200905,3.48,0.10
200906,2.79,-1.11
200907,1.24,-2.19
200908,4.21,0.84
200909,1.31,-2.34
200910,5.35,3.04
200911,1.22,-0.86
200912,2.42,1.08
201001,0.62,-0.63
201002,0.73,-0.40
201003,0.58,-1.31
201004,3.40,0.71
201005,3.35,-0.03
201006,6.32,2.42
201007,11.23,7.80
201008,3.81,0.44
201009,5.20,1.55
201010,2.47,0.16
201011,1.38,-0.70
201012,1.64,0.30
201101,0.97,-0.28
201102,1.40,0.27
201103,2.86,0.97
201104,5.93,3.24
201105,2.91,-0.47
201106,5.70,1.80
201107,4.48,1.05
201108,2.09,-1.28
201109,4.41,0.76
201110,1.46,-0.85
201111,3.40,1.32
201112,1.16,-0.18
201201,1.04,-0.21
201202,1.08,-0.05
201203,2.38,0.49
201204,2.66,-0.03
201205,4.66,1.28
201206,2.28,-1.62
201207,4.48,1.05
201208,3.33,-0.04
201209,1.23,-2.42
201210,5.38,3.07
201211,1.02,-1.06
201212,2.11,0.77
201301,2.36,1.11
201302,1.92,0.79
201303,1.82,-0.07
201304,3.66,0.97
201305,3.31,-0.07
201306,5.26,1.36
201307,3.34,-0.09
201308,1.92,-1.45
201309,2.31,-1.34
201310,2.93,0.62
201311,3.74,1.66
201312,1.51,0.17
201401,1.31,0.06
201402,1.11,-0.02
201403,1.08,-0.81
201404,4.71,2.02
201405,3.38,0.00
201406,6.51,2.61
201407,1.49,-1.94
201408,5.58,2.21
201409,3.91,0.26
201410,3.22,0.91
201411,2.23,0.15
201412,1.42,0.08
201501,0.54,-0.71
201502,0.31,-0.82
201503,0.65,-1.24
201504,2.56,-0.13
201505,4.64,1.26
201506,4.43,0.53
201507,2.07,-1.36
201508,3.77,0.40
201509,6.15,2.50
201510,2.82,0.51
201511,2.90,0.82
201512,5.35,4.01
201601,1.25,0.00
201602,0.87,-0.26
201603,4.29,2.40
201604,1.82,-0.87
201605,3.03,-0.35
201606,5.63,1.73
201607,4.02,0.59
201608,2.95,-0.42
201609,5.45,1.80
201610,2.68,0.37
201611,2.03,-0.05
201612,2.22,0.88
201701,2.37,1.12
201702,0.87,-0.26
201703,2.51,0.62
201704,4.55,1.86
201705,3.27,-0.11
201706,5.84,1.94
201707,3.36,-0.07
201708,4.54,1.17
201709,2.23,-1.42
201710,3.65,1.34
201711,1.00,-1.08
201712,1.00,-0.34
201801,0.83,-0.42
201802,1.35,0.22
201803,0.87,-1.02
201804,4.19,1.50
201805,4.91,1.53
201806,4.60,0.70
201807,3.08,-0.35
201808,6.42,3.05
201809,5.40,1.75
201810,4.99,2.68
201811,1.72,-0.36
201812,1.42,0.08
201901,2.09,0.84
201902,2.81,1.68
201903,1.78,-0.11
201904,3.83,1.14
201905,5.08,1.70
201906,4.65,0.75
201907,5.08,1.65
201908,3.79,0.42
201909,8.91,5.26
201910,4.81,2.50
201911,2.41,0.33
201912,2.74,1.40
202001,1.47,0.22
