Santa Fe County, New Mexico, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.42,-0.25
200002,0.15,-0.60
200003,1.21,0.25
200004,0.58,-0.38
200005,0.12,-1.04
200006,1.80,0.73
200007,2.01,-0.25
200008,2.55,0.06
200009,0.19,-1.36
200010,3.65,2.38
200011,1.47,0.65
200012,0.80,0.04
200101,1.22,0.55
200102,0.63,-0.12
200103,0.81,-0.15
200104,0.47,-0.49
200105,1.01,-0.15
200106,0.72,-0.35
200107,1.87,-0.39
200108,3.15,0.66
200109,0.40,-1.15
200110,0.17,-1.10
200111,0.86,0.04
200112,0.48,-0.28
200201,0.88,0.21
200202,0.16,-0.59
200203,0.08,-0.88
200204,0.44,-0.52
200205,0.14,-1.02
200206,0.81,-0.26
200207,2.24,-0.02
200208,1.13,-1.36
200209,2.58,1.03
200210,1.52,0.25
200211,0.68,-0.14
200212,0.80,0.04
200301,0.05,-0.62
200302,1.25,0.50
200303,1.20,0.24
200304,0.24,-0.72
200305,0.59,-0.57
200306,0.73,-0.34
200307,0.65,-1.61
200308,1.89,-0.60
200309,0.95,-0.60
200310,1.12,-0.15
200311,0.88,0.06
200312,0.45,-0.31
200401,0.41,-0.26
200402,1.32,0.57
200403,0.81,-0.15
200404,2.79,1.83
200405,0.02,-1.14
200406,1.09,0.02
200407,2.27,0.01
200408,1.79,-0.70
200409,1.72,0.17
200410,2.21,0.94
200411,1.34,0.52
200412,0.79,0.03
200501,2.08,1.41
200502,1.89,1.14
200503,2.11,1.15
200504,1.06,0.10
200505,0.76,-0.40
200506,0.48,-0.59
200507,0.81,-1.45
200508,1.80,-0.69
200509,2.96,1.41
200510,1.31,0.04
200511,0.11,-0.71
200512,0.07,-0.69
200601,0.08,-0.59
200602,0.03,-0.72
200603,0.41,-0.55
200604,0.41,-0.55
200605,0.33,-0.83
200606,1.23,0.16
200607,4.23,1.97
200608,4.76,2.27
200609,1.58,0.03
200610,1.45,0.18
200611,0.29,-0.53
200612,2.35,1.59
200701,0.89,0.22
200702,0.77,0.02
200703,1.02,0.06
200704,0.98,0.02
200705,1.71,0.55
200706,1.28,0.21
200707,1.73,-0.53
200708,1.67,-0.82
200709,1.39,-0.16
200710,0.42,-0.85
200711,0.47,-0.35
200712,2.08,1.32
200801,1.28,0.61
200802,1.03,0.28
200803,0.46,-0.50
200804,0.43,-0.53
200805,1.09,-0.07
200806,0.50,-0.57
200807,2.93,0.67
200808,3.00,0.51
200809,0.51,-1.04
200810,2.24,0.97
200811,0.63,-0.19
200812,2.01,1.25
200901,0.25,-0.42
200902,0.15,-0.60
200903,0.66,-0.30
200904,0.98,0.02
200905,0.91,-0.25
200906,1.61,0.54
200907,2.14,-0.12
200908,1.22,-1.27
200909,2.09,0.54
200910,1.94,0.67
200911,0.41,-0.41
200912,0.81,0.05
201001,1.30,0.63
201002,1.20,0.45
201003,2.03,1.07
201004,0.53,-0.43
201005,0.40,-0.76
201006,0.64,-0.43
201007,4.03,1.77
201008,1.74,-0.75
201009,1.42,-0.13
201010,0.85,-0.42
201011,0.10,-0.72
201012,1.38,0.62
201101,0.20,-0.47
201102,0.39,-0.36
201103,0.12,-0.84
201104,0.37,-0.59
201105,0.23,-0.93
201106,0.06,-1.01
201107,1.93,-0.33
201108,2.51,0.02
201109,1.25,-0.30
201110,2.06,0.79
201111,0.45,-0.37
201112,1.92,1.16
201201,0.58,-0.09
201202,0.47,-0.28
201203,0.36,-0.60
201204,0.72,-0.24
201205,0.49,-0.67
201206,0.21,-0.86
201207,1.71,-0.55
201208,1.89,-0.60
201209,1.18,-0.37
201210,0.32,-0.95
201211,0.21,-0.61
201212,0.94,0.18
201301,0.50,-0.17
201302,0.46,-0.29
201303,0.34,-0.62
201304,0.27,-0.69
201305,0.19,-0.97
201306,0.54,-0.53
201307,3.33,1.07
201308,1.64,-0.85
201309,5.19,3.64
201310,0.77,-0.50
201311,1.83,1.01
201312,0.51,-0.25
201401,0.02,-0.65
201402,0.25,-0.50
201403,0.80,-0.16
201404,0.35,-0.61
201405,1.49,0.33
201406,0.35,-0.72
201407,3.96,1.70
201408,2.61,0.12
201409,0.77,-0.78
201410,0.62,-0.65
201411,0.79,-0.03
201412,1.07,0.31
201501,1.08,0.41
201502,0.79,0.04
201503,0.77,-0.19
201504,0.62,-0.34
201505,2.77,1.61
201506,1.35,0.28
201507,4.68,2.42
201508,1.47,-1.02
201509,0.59,-0.96
201510,3.17,1.90
201511,1.26,0.44
201512,1.26,0.50
201601,0.64,-0.03
201602,0.51,-0.24
201603,0.04,-0.92
201604,1.15,0.19
201605,0.51,-0.65
201606,0.66,-0.41
201607,1.13,-1.13
201608,3.75,1.26
201609,1.30,-0.25
201610,0.36,-0.91
201611,1.43,0.61
201612,0.81,0.05
201701,1.73,1.06
201702,0.44,-0.31
201703,0.64,-0.32
201704,1.51,0.55
201705,0.64,-0.52
201706,0.43,-0.64
201707,2.79,0.53
201708,1.89,-0.60
201709,3.27,1.72
201710,1.24,-0.03
201711,0.16,-0.66
201712,0.02,-0.74
201801,0.20,-0.47
201802,0.69,-0.06
201803,0.33,-0.63
201804,0.04,-0.92
201805,0.54,-0.62
201806,0.65,-0.42
201807,3.12,0.86
201808,1.88,-0.61
201809,1.35,-0.20
201810,2.88,1.61
201811,0.35,-0.47
201812,1.13,0.37
201901,1.00,0.33
201902,0.73,-0.02
201903,1.64,0.68
201904,1.21,0.25
201905,0.82,-0.34
201906,0.79,-0.28
201907,2.52,0.26
201908,1.56,-0.93
201909,0.92,-0.63
201910,0.87,-0.40
201911,2.28,1.46
201912,0.76,0.00
202001,0.73,0.06
