Florence County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,6.24,2.73
200002,1.08,-2.56
200003,4.11,0.16
200004,2.52,-0.66
200005,2.34,-1.18
200006,3.69,-1.22
200007,5.94,0.02
200008,4.51,-0.95
200009,7.70,3.20
200010,0.01,-2.82
200011,3.38,1.04
200012,1.41,-1.89
200101,1.76,-1.75
200102,2.88,-0.76
200103,5.98,2.03
200104,0.48,-2.70
200105,2.92,-0.60
200106,6.20,1.29
200107,4.55,-1.37
200108,3.45,-2.01
200109,2.74,-1.76
200110,0.69,-2.14
200111,0.64,-1.70
200112,0.96,-2.34
200201,2.50,-1.01
200202,1.81,-1.83
200203,3.54,-0.41
200204,2.05,-1.13
200205,3.71,0.19
200206,2.51,-2.40
200207,3.87,-2.05
200208,8.43,2.97
200209,4.82,0.32
200210,3.80,0.97
200211,4.40,2.06
200212,3.37,0.07
200301,1.48,-2.03
200302,3.46,-0.18
200303,6.20,2.25
200304,5.07,1.89
200305,4.24,0.72
200306,6.44,1.53
200307,7.52,1.60
200308,3.34,-2.12
200309,2.44,-2.06
200310,4.30,1.47
200311,1.44,-0.90
200312,2.53,-0.77
200401,1.31,-2.20
200402,4.69,1.05
200403,0.47,-3.48
200404,2.17,-1.01
200405,3.22,-0.30
200406,5.31,0.40
200407,6.78,0.86
200408,10.29,4.83
200409,6.87,2.37
200410,1.70,-1.13
200411,3.44,1.10
200412,1.88,-1.42
200501,1.88,-1.63
200502,2.94,-0.70
200503,3.35,-0.60
200504,1.70,-1.48
200505,3.72,0.20
200506,5.92,1.01
200507,5.32,-0.60
200508,5.51,0.05
200509,0.59,-3.91
200510,4.75,1.92
200511,3.87,1.53
200512,3.38,0.08
200601,2.83,-0.68
200602,3.50,-0.14
200603,0.86,-3.09
200604,2.57,-0.61
200605,4.54,1.02
200606,8.67,3.76
200607,3.67,-2.25
200608,4.36,-1.10
200609,5.17,0.67
200610,2.50,-0.33
200611,5.53,3.19
200612,4.34,1.04
200701,3.09,-0.42
200702,1.91,-1.73
200703,1.54,-2.41
200704,4.38,1.20
200705,2.27,-1.25
200706,5.56,0.65
200707,5.12,-0.80
200708,3.32,-2.14
200709,1.29,-3.21
200710,3.72,0.89
200711,0.36,-1.98
200712,4.59,1.29
200801,2.83,-0.68
200802,4.17,0.53
200803,2.87,-1.08
200804,3.86,0.68
200805,3.43,-0.09
200806,2.02,-2.89
200807,6.72,0.80
200808,7.23,1.77
200809,8.55,4.05
200810,2.61,-0.22
200811,4.34,2.00
200812,1.82,-1.48
200901,1.81,-1.70
200902,1.39,-2.25
200903,4.39,0.44
200904,2.29,-0.89
200905,5.85,2.33
200906,5.14,0.23
200907,4.72,-1.20
200908,4.13,-1.33
200909,1.03,-3.47
200910,3.41,0.58
200911,4.11,1.77
200912,5.75,2.45
201001,3.77,0.26
201002,3.24,-0.40
201003,2.25,-1.70
201004,0.97,-2.21
201005,2.73,-0.79
201006,7.50,2.59
201007,5.87,-0.05
201008,4.24,-1.22
201009,7.19,2.69
201010,1.52,-1.31
201011,1.01,-1.33
201012,1.41,-1.89
201101,1.15,-2.36
201102,3.80,0.16
201103,3.57,-0.38
201104,4.07,0.89
201105,3.42,-0.10
201106,1.22,-3.69
201107,4.24,-1.68
201108,5.92,0.46
201109,3.43,-1.07
201110,1.75,-1.08
201111,2.70,0.36
201112,0.91,-2.39
201201,1.43,-2.08
201202,2.60,-1.04
201203,3.89,-0.06
201204,3.24,0.06
201205,6.88,3.36
201206,3.33,-1.58
201207,4.94,-0.98
201208,7.87,2.41
201209,4.14,-0.36
201210,1.98,-0.85
201211,1.69,-0.65
201212,3.94,0.64
201301,1.25,-2.26
201302,5.43,1.79
201303,2.79,-1.16
201304,4.56,1.38
201305,4.57,1.05
201306,7.55,2.64
201307,11.34,5.42
201308,5.98,0.52
201309,1.19,-3.31
201310,1.30,-1.53
201311,3.11,0.77
201312,3.67,0.37
201401,2.74,-0.77
201402,3.59,-0.05
201403,4.65,0.70
201404,3.65,0.47
201405,4.60,1.08
201406,2.40,-2.51
201407,5.01,-0.91
201408,4.68,-0.78
201409,5.59,1.09
201410,1.09,-1.74
201411,3.54,1.20
201412,3.60,0.30
201501,3.42,-0.09
201502,4.14,0.50
201503,3.41,-0.54
201504,3.40,0.22
201505,1.43,-2.09
201506,3.77,-1.14
201507,3.29,-2.63
201508,6.70,1.24
201509,3.51,-0.99
201510,14.03,11.20
201511,5.90,3.56
201512,5.81,2.51
201601,2.51,-1.00
201602,5.80,2.16
201603,1.62,-2.33
201604,3.47,0.29
201605,4.86,1.34
201606,5.04,0.13
201607,4.67,-1.25
201608,2.40,-3.06
201609,10.22,5.72
201610,9.56,6.73
201611,0.89,-1.45
201612,4.15,0.85
201701,2.90,-0.61
201702,1.40,-2.24
201703,1.49,-2.46
201704,5.64,2.46
201705,3.72,0.20
201706,3.78,-1.13
201707,7.18,1.26
201708,4.26,-1.20
201709,4.29,-0.21
201710,4.13,1.30
201711,0.95,-1.39
201712,4.73,1.43
201801,2.62,-0.89
201802,1.19,-2.45
201803,2.76,-1.19
201804,5.97,2.79
201805,4.60,1.08
201806,4.62,-0.29
201807,4.56,-1.36
201808,2.41,-3.05
201809,10.22,5.72
201810,4.40,1.57
201811,4.90,2.56
201812,6.98,3.68
201901,2.64,-0.87
201902,1.61,-2.03
201903,2.62,-1.33
201904,4.64,1.46
201905,2.39,-1.13
201906,4.39,-0.52
201907,5.13,-0.79
201908,5.81,0.35
201909,4.08,-0.42
201910,2.65,-0.18
201911,3.81,1.47
201912,6.74,3.44
202001,3.90,0.39
