Oklahoma County, Oklahoma, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.06,-0.12
200002,1.35,-0.02
200003,2.85,0.50
200004,3.37,-0.02
200005,4.08,-0.92
200006,7.48,3.38
200007,3.52,0.71
200008,0.01,-2.64
200009,1.13,-2.41
200010,8.52,5.45
200011,3.23,1.20
200012,2.13,0.63
200101,2.14,0.96
200102,2.71,1.34
200103,1.00,-1.35
200104,1.16,-2.23
200105,6.97,1.97
200106,1.43,-2.67
200107,0.97,-1.84
200108,2.08,-0.57
200109,6.12,2.58
200110,2.26,-0.81
200111,1.23,-0.80
200112,1.17,-0.33
200201,2.94,1.76
200202,0.69,-0.68
200203,1.90,-0.45
200204,4.38,0.99
200205,3.05,-1.95
200206,4.11,0.01
200207,3.62,0.81
200208,3.30,0.65
200209,3.51,-0.03
200210,4.51,1.44
200211,0.60,-1.43
200212,2.29,0.79
200301,0.03,-1.15
200302,1.20,-0.17
200303,2.23,-0.12
200304,1.86,-1.53
200305,2.74,-2.26
200306,4.00,-0.10
200307,0.59,-2.22
200308,3.39,0.74
200309,2.50,-1.04
200310,3.22,0.15
200311,1.12,-0.91
200312,1.38,-0.12
200401,1.93,0.75
200402,1.52,0.15
200403,4.19,1.84
200404,1.87,-1.52
200405,1.41,-3.59
200406,8.27,4.17
200407,4.65,1.84
200408,4.13,1.48
200409,0.80,-2.74
200410,4.67,1.60
200411,6.73,4.70
200412,0.61,-0.89
200501,2.19,1.01
200502,2.43,1.06
200503,0.57,-1.78
200504,0.34,-3.05
200505,2.32,-2.68
200506,5.84,1.74
200507,3.28,0.47
200508,5.86,3.21
200509,2.08,-1.46
200510,1.80,-1.27
200511,0.07,-1.96
200512,0.29,-1.21
200601,0.36,-0.82
200602,0.30,-1.07
200603,2.17,-0.18
200604,3.30,-0.09
200605,2.54,-2.46
200606,3.34,-0.76
200607,2.37,-0.44
200608,3.60,0.95
200609,2.81,-0.73
200610,1.76,-1.31
200611,1.62,-0.41
200612,2.52,1.02
200701,1.97,0.79
200702,0.50,-0.87
200703,6.28,3.93
200704,2.45,-0.94
200705,8.33,3.33
200706,10.83,6.73
200707,5.72,2.91
200708,5.52,2.87
200709,2.71,-0.83
200710,3.22,0.15
200711,0.64,-1.39
200712,1.85,0.35
200801,0.54,-0.64
200802,2.98,1.61
200803,3.51,1.16
200804,4.12,0.73
200805,5.37,0.37
200806,6.80,2.70
200807,1.49,-1.32
200808,5.70,3.05
200809,1.33,-2.21
200810,1.46,-1.61
200811,1.68,-0.35
200812,0.90,-0.60
200901,0.41,-0.77
200902,1.31,-0.06
200903,3.17,0.82
200904,4.46,1.07
200905,3.68,-1.32
200906,1.27,-2.83
200907,5.75,2.94
200908,7.23,4.58
200909,4.08,0.54
200910,6.23,3.16
200911,0.46,-1.57
200912,1.05,-0.45
201001,2.17,0.99
201002,2.00,0.63
201003,1.27,-1.08
201004,3.33,-0.06
201005,5.87,0.87
201006,9.08,4.98
201007,4.22,1.41
201008,0.51,-2.14
201009,3.35,-0.19
201010,1.26,-1.81
201011,1.63,-0.40
201012,0.23,-1.27
201101,0.07,-1.11
201102,2.46,1.09
201103,0.21,-2.14
201104,2.28,-1.11
201105,5.47,0.47
201106,1.50,-2.60
201107,1.31,-1.50
201108,2.12,-0.53
201109,1.82,-1.72
201110,4.82,1.75
201111,3.80,1.77
201112,1.44,-0.06
201201,1.67,0.49
201202,2.22,0.85
201203,5.18,2.83
201204,4.63,1.24
201205,3.02,-1.98
201206,2.66,-1.44
201207,0.31,-2.50
201208,3.36,0.71
201209,3.49,-0.05
201210,1.30,-1.77
201211,0.84,-1.19
201212,0.64,-0.86
201301,1.38,0.20
201302,3.43,2.06
201303,1.00,-1.35
201304,6.69,3.30
201305,5.34,0.34
201306,6.55,2.45
201307,9.19,6.38
201308,4.69,2.04
201309,2.80,-0.74
201310,2.89,-0.18
201311,1.16,-0.87
201312,1.37,-0.13
201401,0.11,-1.07
201402,0.36,-1.01
201403,1.56,-0.79
201404,1.18,-2.21
201405,3.19,-1.81
201406,6.54,2.44
201407,5.64,2.83
201408,0.59,-2.06
201409,2.17,-1.37
201410,2.96,-0.11
201411,2.55,0.52
201412,0.89,-0.61
201501,1.31,0.13
201502,1.00,-0.37
201503,2.34,-0.01
201504,5.42,2.03
201505,15.86,10.86
201506,5.08,0.98
201507,6.65,3.84
201508,1.35,-1.30
201509,1.62,-1.92
201510,3.26,0.19
201511,5.61,3.58
201512,4.24,2.74
201601,0.20,-0.98
201602,1.14,-0.23
201603,1.39,-0.96
201604,6.89,3.50
201605,2.49,-2.51
201606,1.95,-2.15
201607,5.04,2.23
201608,1.23,-1.42
201609,3.16,-0.38
201610,0.81,-2.26
201611,1.43,-0.60
201612,0.71,-0.79
201701,2.21,1.03
201702,3.15,1.78
201703,2.95,0.60
201704,7.96,4.57
201705,2.42,-2.58
201706,0.72,-3.38
201707,2.74,-0.07
201708,7.98,5.33
201709,4.14,0.60
201710,5.08,2.01
201711,0.16,-1.87
201712,0.68,-0.82
201801,0.23,-0.95
201802,2.82,1.45
201803,0.88,-1.47
201804,2.40,-0.99
201805,4.54,-0.46
201806,6.20,2.10
201807,2.91,0.10
201808,5.41,2.76
201809,6.74,3.20
201810,5.11,2.04
201811,0.47,-1.56
201812,4.26,2.76
201901,2.21,1.03
201902,0.91,-0.46
201903,2.75,0.40
201904,5.09,1.70
201905,14.21,9.21
201906,6.58,2.48
201907,0.59,-2.22
201908,7.05,4.40
201909,2.46,-1.08
201910,4.12,1.05
201911,1.90,-0.13
201912,0.74,-0.76
202001,3.82,2.64
