Lowndes County, Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.55,-0.47
200002,2.04,-2.11
200003,3.73,-0.97
200004,2.82,-0.71
200005,0.25,-3.36
200006,5.01,-0.27
200007,5.64,-0.87
200008,4.58,-1.60
200009,9.43,5.08
200010,0.58,-1.86
200011,2.50,0.10
200012,2.56,-1.08
200101,1.40,-2.62
200102,0.85,-3.30
200103,7.59,2.89
200104,0.89,-2.64
200105,0.71,-2.90
200106,10.80,5.52
200107,7.43,0.92
200108,3.81,-2.37
200109,4.78,0.43
200110,1.26,-1.18
200111,0.75,-1.65
200112,1.25,-2.39
200201,5.05,1.03
200202,1.78,-2.37
200203,6.69,1.99
200204,1.25,-2.28
200205,2.56,-1.05
200206,3.33,-1.95
200207,5.02,-1.49
200208,4.16,-2.02
200209,4.43,0.08
200210,3.86,1.42
200211,4.03,1.63
200212,4.78,1.14
200301,1.07,-2.95
200302,5.59,1.44
200303,9.50,4.80
200304,3.97,0.44
200305,3.96,0.35
200306,7.99,2.71
200307,7.54,1.03
200308,5.89,-0.29
200309,3.84,-0.51
200310,6.86,4.42
200311,1.89,-0.51
200312,2.24,-1.40
200401,2.08,-1.94
200402,5.73,1.58
200403,0.32,-4.38
200404,2.11,-1.42
200405,2.58,-1.03
200406,8.08,2.80
200407,5.24,-1.27
200408,6.92,0.74
200409,17.11,12.76
200410,1.98,-0.46
200411,2.84,0.44
200412,3.50,-0.14
200501,1.55,-2.47
200502,3.36,-0.79
200503,8.88,4.18
200504,4.61,1.08
200505,3.07,-0.54
200506,11.59,6.31
200507,8.58,2.07
200508,4.38,-1.80
200509,2.64,-1.71
200510,1.77,-0.67
200511,3.30,0.90
200512,3.54,-0.10
200601,3.86,-0.16
200602,5.84,1.69
200603,0.63,-4.07
200604,1.40,-2.13
200605,2.46,-1.15
200606,5.20,-0.08
200607,3.08,-3.43
200608,3.44,-2.74
200609,3.79,-0.56
200610,3.13,0.69
200611,2.59,0.19
200612,2.93,-0.71
200701,4.09,0.07
200702,3.26,-0.89
200703,0.62,-4.08
200704,0.50,-3.03
200705,0.26,-3.35
200706,6.03,0.75
200707,4.19,-2.32
200708,5.29,-0.89
200709,3.72,-0.63
200710,3.31,0.87
200711,0.73,-1.67
200712,3.40,-0.24
200801,3.52,-0.50
200802,7.35,3.20
200803,2.60,-2.10
200804,2.05,-1.48
200805,1.75,-1.86
200806,4.17,-1.11
200807,5.34,-1.17
200808,12.17,5.99
200809,2.13,-2.22
200810,3.80,1.36
200811,2.70,0.30
200812,2.40,-1.24
200901,1.60,-2.42
200902,1.65,-2.50
200903,5.59,0.89
200904,10.01,6.48
200905,6.49,2.88
200906,4.06,-1.22
200907,3.66,-2.85
200908,5.11,-1.07
200909,2.93,-1.42
200910,2.39,-0.05
200911,2.55,0.15
200912,7.59,3.95
201001,5.37,1.35
201002,3.34,-0.81
201003,3.79,-0.91
201004,1.68,-1.85
201005,5.67,2.06
201006,4.74,-0.54
201007,5.97,-0.54
201008,6.77,0.59
201009,3.11,-1.24
201010,0.66,-1.78
201011,1.01,-1.39
201012,3.22,-0.42
201101,4.13,0.11
201102,3.07,-1.08
201103,4.73,0.03
201104,4.11,0.58
201105,0.83,-2.78
201106,4.84,-0.44
201107,5.14,-1.37
201108,3.78,-2.40
201109,3.39,-0.96
201110,4.55,2.11
201111,2.60,0.20
201112,2.44,-1.20
201201,1.99,-2.03
201202,4.04,-0.11
201203,6.41,1.71
201204,1.20,-2.33
201205,4.12,0.51
201206,9.37,4.09
201207,4.86,-1.65
201208,7.38,1.20
201209,4.81,0.46
201210,1.28,-1.16
201211,0.47,-1.93
201212,3.59,-0.05
201301,1.15,-2.87
201302,9.98,5.83
201303,4.04,-0.66
201304,6.18,2.65
201305,2.00,-1.61
201306,7.14,1.86
201307,10.77,4.26
201308,9.38,3.20
201309,1.68,-2.67
201310,0.87,-1.57
201311,3.98,1.58
201312,4.26,0.62
201401,4.07,0.05
201402,3.71,-0.44
201403,7.18,2.48
201404,9.01,5.48
201405,4.60,0.99
201406,4.23,-1.05
201407,4.08,-2.43
201408,3.48,-2.70
201409,5.81,1.46
201410,1.63,-0.81
201411,5.09,2.69
201412,6.33,2.69
201501,4.73,0.71
201502,5.14,0.99
201503,3.21,-1.49
201504,4.79,1.26
201505,1.57,-2.04
201506,5.12,-0.16
201507,7.31,0.80
201508,7.39,1.21
201509,3.46,-0.89
201510,2.10,-0.34
201511,3.68,1.28
201512,3.32,-0.32
201601,4.17,0.15
201602,4.93,0.78
201603,6.49,1.79
201604,4.77,1.24
201605,2.62,-0.99
201606,5.72,0.44
201607,4.91,-1.60
201608,5.19,-0.99
201609,7.00,2.65
201610,0.87,-1.57
201611,0.10,-2.30
201612,4.31,0.67
201701,7.40,3.38
201702,1.37,-2.78
201703,0.98,-3.72
201704,2.73,-0.80
201705,3.80,0.19
201706,7.90,2.62
201707,5.14,-1.37
201708,5.01,-1.17
201709,6.24,1.89
201710,3.08,0.64
201711,0.67,-1.73
201712,3.09,-0.55
201801,3.06,-0.96
201802,2.70,-1.45
201803,2.55,-2.15
201804,3.80,0.27
201805,7.27,3.66
201806,5.31,0.03
201807,8.13,1.62
201808,6.22,0.04
201809,3.11,-1.24
201810,3.07,0.63
201811,6.51,4.11
201812,10.05,6.41
201901,3.56,-0.46
201902,2.11,-2.04
201903,3.52,-1.18
201904,2.72,-0.81
201905,2.43,-1.18
201906,5.59,0.31
201907,4.97,-1.54
201908,5.36,-0.82
201909,0.55,-3.80
201910,2.92,0.48
201911,1.98,-0.42
201912,4.34,0.70
202001,1.49,-2.53
