Blaine County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.21,-0.28
200002,0.39,-0.21
200003,0.75,-0.51
200004,1.70,-0.69
200005,3.51,0.00
200006,2.52,-0.94
200007,4.64,1.43
200008,0.61,-2.29
200009,1.87,-0.08
200010,2.66,1.28
200011,2.19,1.44
200012,0.22,-0.36
200101,1.26,0.77
200102,0.83,0.23
200103,0.71,-0.55
200104,8.01,5.62
200105,2.89,-0.62
200106,1.50,-1.96
200107,2.62,-0.59
200108,2.86,-0.04
200109,1.79,-0.16
200110,0.55,-0.83
200111,1.79,1.04
200112,0.03,-0.55
200201,0.11,-0.38
200202,0.07,-0.53
200203,0.76,-0.50
200204,1.31,-1.08
200205,1.66,-1.85
200206,1.28,-2.18
200207,0.39,-2.82
200208,3.26,0.36
200209,1.47,-0.48
200210,2.23,0.85
200211,0.08,-0.67
200212,0.21,-0.37
200301,0.43,-0.06
200302,0.59,-0.01
200303,1.09,-0.17
200304,3.32,0.93
200305,3.27,-0.24
200306,3.48,0.02
200307,1.80,-1.41
200308,0.33,-2.57
200309,0.64,-1.31
200310,0.88,-0.50
200311,0.57,-0.18
200312,0.43,-0.15
200401,0.15,-0.34
200402,0.59,-0.01
200403,1.49,0.23
200404,2.34,-0.05
200405,2.52,-0.99
200406,3.36,-0.10
200407,4.98,1.77
200408,1.87,-1.03
200409,3.99,2.04
200410,0.63,-0.75
200411,1.15,0.40
200412,0.02,-0.56
200501,0.51,0.02
200502,0.47,-0.13
200503,2.10,0.84
200504,3.53,1.14
200505,4.26,0.75
200506,5.62,2.16
200507,0.81,-2.40
200508,3.46,0.56
200509,1.07,-0.88
200510,0.38,-1.00
200511,1.52,0.77
200512,0.22,-0.36
200601,0.28,-0.21
200602,0.33,-0.27
200603,1.71,0.45
200604,1.55,-0.84
200605,0.17,-3.34
200606,2.52,-0.94
200607,1.49,-1.72
200608,2.27,-0.63
200609,3.70,1.75
200610,0.67,-0.71
200611,0.24,-0.51
200612,1.94,1.36
200701,0.48,-0.01
200702,1.64,1.04
200703,2.56,1.30
200704,3.66,1.27
200705,7.18,3.67
200706,3.00,-0.46
200707,1.60,-1.61
200708,3.53,0.63
200709,1.06,-0.89
200710,2.58,1.20
200711,0.00,-0.75
200712,1.05,0.47
200801,0.13,-0.36
200802,0.28,-0.32
200803,0.66,-0.60
200804,3.82,1.43
200805,6.59,3.08
200806,3.80,0.34
200807,4.25,1.04
200808,2.86,-0.04
200809,2.45,0.50
200810,5.76,4.38
200811,0.47,-0.28
200812,0.62,0.04
200901,0.64,0.15
200902,1.05,0.45
200903,1.08,-0.18
200904,3.05,0.66
200905,2.93,-0.58
200906,6.01,2.55
200907,4.31,1.10
200908,3.27,0.37
200909,1.42,-0.53
200910,4.48,3.10
200911,0.12,-0.63
200912,0.97,0.39
201001,0.30,-0.19
201002,0.53,-0.07
201003,1.35,0.09
201004,2.62,0.23
201005,3.32,-0.19
201006,11.40,7.94
201007,5.17,1.96
201008,3.25,0.35
201009,1.47,-0.48
201010,1.15,-0.23
201011,0.28,-0.47
201012,0.42,-0.16
201101,1.54,1.05
201102,0.61,0.01
201103,1.57,0.31
201104,2.07,-0.32
201105,3.75,0.24
201106,5.75,2.29
201107,4.00,0.79
201108,3.18,0.28
201109,0.89,-1.06
201110,3.49,2.11
201111,0.21,-0.54
201112,0.36,-0.22
201201,0.04,-0.45
201202,1.83,1.23
201203,0.63,-0.63
201204,3.97,1.58
201205,1.69,-1.82
201206,0.29,-3.17
201207,1.40,-1.81
201208,1.02,-1.88
201209,0.22,-1.73
201210,0.31,-1.07
201211,0.23,-0.52
201212,0.70,0.12
201301,0.19,-0.30
201302,1.26,0.66
201303,0.81,-0.45
201304,2.72,0.33
201305,4.32,0.81
201306,2.90,-0.56
201307,2.56,-0.65
201308,3.76,0.86
201309,1.97,0.02
201310,1.96,0.58
201311,0.51,-0.24
201312,0.18,-0.40
201401,0.14,-0.35
201402,0.74,0.14
201403,0.86,-0.40
201404,1.99,-0.40
201405,1.62,-1.89
201406,8.30,4.84
201407,2.46,-0.75
201408,4.91,2.01
201409,2.25,0.30
201410,1.23,-0.15
201411,0.24,-0.51
201412,1.37,0.79
201501,0.23,-0.26
201502,0.82,0.22
201503,0.00,-1.26
201504,1.76,-0.63
201505,6.54,3.03
201506,4.17,0.71
201507,2.82,-0.39
201508,3.09,0.19
201509,3.05,1.10
201510,2.17,0.79
201511,1.65,0.90
201512,0.93,0.35
201601,0.45,-0.04
201602,0.48,-0.12
201603,1.02,-0.24
201604,5.73,3.34
201605,3.92,0.41
201606,2.62,-0.84
201607,5.08,1.87
201608,0.89,-2.01
201609,2.00,0.05
201610,1.65,0.27
201611,0.83,0.08
201612,0.56,-0.02
201701,1.00,0.51
201702,0.81,0.21
201703,1.13,-0.13
201704,2.74,0.35
201705,4.38,0.87
201706,0.65,-2.81
201707,2.87,-0.34
201708,8.10,5.20
201709,4.16,2.21
201710,3.85,2.47
201711,0.14,-0.61
201712,0.54,-0.04
201801,0.79,0.30
201802,0.99,0.39
201803,0.83,-0.43
201804,1.80,-0.59
201805,5.87,2.36
201806,6.18,2.72
201807,5.03,1.82
201808,1.72,-1.18
201809,2.11,0.16
201810,2.14,0.76
201811,1.07,0.32
201812,2.09,1.51
201901,0.14,-0.35
201902,0.65,0.05
201903,2.32,1.06
201904,1.68,-0.71
201905,7.73,4.22
201906,5.00,1.54
201907,4.73,1.52
201908,7.92,5.02
201909,3.18,1.23
201910,1.37,-0.01
201911,0.68,-0.07
201912,1.41,0.83
202001,0.48,-0.01
