Jefferson County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.58,-2.78
200002,1.02,-2.60
200003,2.40,-0.99
200004,5.86,2.02
200005,7.94,3.28
200006,3.22,-1.57
200007,2.45,-2.61
200008,1.74,-2.86
200009,3.82,-0.96
200010,1.19,-2.76
200011,10.63,6.30
200012,2.27,-2.65
200101,6.11,1.75
200102,1.22,-2.40
200103,7.71,4.32
200104,2.18,-1.66
200105,2.79,-1.87
200106,15.99,11.20
200107,3.64,-1.42
200108,10.33,5.73
200109,9.17,4.39
200110,5.91,1.96
200111,6.23,1.90
200112,3.96,-0.96
200201,2.64,-1.72
200202,1.56,-2.06
200203,2.75,-0.64
200204,3.68,-0.16
200205,1.73,-2.93
200206,5.45,0.66
200207,5.52,0.46
200208,10.75,6.15
200209,6.78,2.00
200210,17.48,13.53
200211,5.95,1.62
200212,10.67,5.75
200301,1.87,-2.49
200302,6.48,2.86
200303,3.12,-0.27
200304,1.71,-2.13
200305,0.06,-4.60
200306,5.28,0.49
200307,4.79,-0.27
200308,9.16,4.56
200309,10.31,5.53
200310,6.71,2.76
200311,4.10,-0.23
200312,4.12,-0.80
200401,7.31,2.95
200402,6.60,2.98
200403,1.94,-1.45
200404,3.17,-0.67
200405,9.05,4.39
200406,11.04,6.25
200407,2.82,-2.24
200408,1.75,-2.85
200409,1.83,-2.95
200410,4.68,0.73
200411,10.82,6.49
200412,3.76,-1.16
200501,2.97,-1.39
200502,6.71,3.09
200503,2.45,-0.94
200504,1.29,-2.55
200505,2.78,-1.88
200506,0.92,-3.87
200507,7.62,2.56
200508,3.27,-1.33
200509,7.62,2.84
200510,0.64,-3.31
200511,3.96,-0.37
200512,3.00,-1.92
200601,2.03,-2.33
200602,1.99,-1.63
200603,1.74,-1.65
200604,2.21,-1.63
200605,6.75,2.09
200606,7.13,2.34
200607,14.46,9.40
200608,3.64,-0.96
200609,5.86,1.08
200610,15.27,11.32
200611,1.20,-3.13
200612,4.56,-0.36
200701,7.12,2.76
200702,1.80,-1.82
200703,4.63,1.24
200704,5.12,1.28
200705,4.40,-0.26
200706,4.89,0.10
200707,10.31,5.25
200708,5.55,0.95
200709,6.56,1.78
200710,1.97,-1.98
200711,5.52,1.19
200712,3.11,-1.81
200801,6.65,2.29
200802,2.77,-0.85
200803,2.29,-1.10
200804,1.15,-2.69
200805,4.14,-0.52
200806,3.84,-0.95
200807,3.83,-1.23
200808,10.10,5.50
200809,7.55,2.77
200810,2.48,-1.47
200811,4.67,0.34
200812,2.87,-2.05
200901,0.96,-3.40
200902,1.59,-2.03
200903,5.26,1.87
200904,9.05,5.21
200905,2.36,-2.30
200906,1.49,-3.30
200907,4.72,-0.34
200908,3.35,-1.25
200909,4.65,-0.13
200910,12.66,8.71
200911,1.56,-2.77
200912,6.01,1.09
201001,2.79,-1.57
201002,5.26,1.64
201003,2.55,-0.84
201004,0.34,-3.50
201005,2.83,-1.83
201006,3.62,-1.17
201007,9.57,4.51
201008,2.87,-1.73
201009,4.21,-0.57
201010,1.05,-2.90
201011,3.51,-0.82
201012,3.73,-1.19
201101,3.78,-0.58
201102,1.21,-2.41
201103,2.63,-0.76
201104,0.59,-3.25
201105,0.81,-3.85
201106,2.58,-2.21
201107,9.38,4.32
201108,1.10,-3.50
201109,3.47,-1.31
201110,1.03,-2.92
201111,2.66,-1.67
201112,4.39,-0.53
201201,5.32,0.96
201202,7.85,4.23
201203,7.05,3.66
201204,3.60,-0.24
201205,2.73,-1.93
201206,4.59,-0.20
201207,9.87,4.81
201208,4.69,0.09
201209,4.62,-0.16
201210,1.05,-2.90
201211,0.83,-3.50
201212,5.02,0.10
201301,7.41,3.05
201302,3.01,-0.61
201303,0.79,-2.60
201304,5.97,2.13
201305,6.45,1.79
201306,2.76,-2.03
201307,4.19,-0.87
201308,2.63,-1.97
201309,8.04,3.26
201310,7.26,3.31
201311,4.96,0.63
201312,1.19,-3.73
201401,1.24,-3.12
201402,5.06,1.44
201403,2.54,-0.85
201404,1.47,-2.37
201405,2.88,-1.78
201406,5.11,0.32
201407,8.49,3.43
201408,4.04,-0.56
201409,5.30,0.52
201410,2.83,-1.12
201411,5.77,1.44
201412,4.01,-0.91
201501,5.69,1.33
201502,1.23,-2.39
201503,7.06,3.67
201504,11.06,7.22
201505,8.15,3.49
201506,6.95,2.16
201507,1.49,-3.57
201508,5.49,0.89
201509,6.19,1.41
201510,8.60,4.65
201511,7.64,3.31
201512,4.23,-0.69
201601,3.88,-0.48
201602,1.60,-2.02
201603,5.69,2.30
201604,8.76,4.92
201605,7.85,3.19
201606,9.14,4.35
201607,4.76,-0.30
201608,10.01,5.41
201609,3.29,-1.49
201610,0.55,-3.40
201611,3.75,-0.58
201612,11.20,6.28
201701,5.36,1.00
201702,1.69,-1.93
201703,7.12,3.73
201704,3.00,-0.84
201705,4.36,-0.30
201706,11.96,7.17
201707,4.98,-0.08
201708,46.04,41.44
201709,1.32,-3.46
201710,2.83,-1.12
201711,2.14,-2.19
201712,4.23,-0.69
201801,7.72,3.36
201802,5.42,1.80
201803,3.83,0.44
201804,3.26,-0.58
201805,2.37,-2.29
201806,11.57,6.78
201807,6.60,1.54
201808,3.66,-0.94
201809,13.98,9.20
201810,5.64,1.69
201811,8.53,4.20
201812,8.33,3.41
201901,6.48,2.12
201902,1.74,-1.88
201903,1.20,-2.19
201904,3.74,-0.10
201905,9.88,5.22
201906,11.61,6.82
201907,5.49,0.43
201908,6.59,1.99
201909,19.74,14.96
201910,7.96,4.01
201911,1.61,-2.72
201912,1.58,-3.34
202001,5.01,0.65
