McCracken County, Kentucky, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.52,1.26
200002,5.42,1.73
200003,4.41,-0.38
200004,3.88,-0.68
200005,6.40,1.94
200006,3.81,-0.25
200007,4.30,0.67
200008,2.58,-0.77
200009,4.24,0.77
200010,1.19,-1.88
200011,4.64,0.66
200012,3.43,-0.73
200101,1.11,-3.15
200102,5.45,1.76
200103,3.10,-1.69
200104,2.20,-2.36
200105,3.74,-0.72
200106,3.07,-0.99
200107,6.17,2.54
200108,3.50,0.15
200109,3.87,0.40
200110,6.49,3.42
200111,7.64,3.66
200112,8.11,3.95
200201,4.54,0.28
200202,2.66,-1.03
200203,7.96,3.17
200204,5.93,1.37
200205,8.92,4.46
200206,2.91,-1.15
200207,1.58,-2.05
200208,2.33,-1.02
200209,5.44,1.97
200210,4.65,1.58
200211,2.51,-1.47
200212,6.92,2.76
200301,2.26,-2.00
200302,6.60,2.91
200303,2.47,-2.32
200304,6.79,2.23
200305,7.37,2.91
200306,5.64,1.58
200307,2.96,-0.67
200308,4.26,0.91
200309,5.02,1.55
200310,2.35,-0.72
200311,5.38,1.40
200312,2.16,-2.00
200401,3.30,-0.96
200402,1.45,-2.24
200403,4.11,-0.68
200404,3.96,-0.60
200405,6.37,1.91
200406,4.09,0.03
200407,2.60,-1.03
200408,3.23,-0.12
200409,0.03,-3.44
200410,5.13,2.06
200411,7.32,3.34
200412,3.89,-0.27
200501,5.02,0.76
200502,2.56,-1.13
200503,4.20,-0.59
200504,4.55,-0.01
200505,1.62,-2.84
200506,4.02,-0.04
200507,5.33,1.70
200508,6.77,3.42
200509,3.20,-0.27
200510,0.19,-2.88
200511,2.53,-1.45
200512,1.55,-2.61
200601,6.46,2.20
200602,2.89,-0.80
200603,5.96,1.17
200604,3.01,-1.55
200605,7.21,2.75
200606,3.12,-0.94
200607,7.35,3.72
200608,4.46,1.11
200609,10.83,7.36
200610,5.80,2.73
200611,5.09,1.11
200612,5.18,1.02
200701,6.30,2.04
200702,3.44,-0.25
200703,1.96,-2.83
200704,3.52,-1.04
200705,2.06,-2.40
200706,5.16,1.10
200707,2.23,-1.40
200708,0.58,-2.77
200709,2.56,-0.91
200710,6.33,3.26
200711,2.78,-1.20
200712,8.28,4.12
200801,2.54,-1.72
200802,5.55,1.86
200803,9.94,5.15
200804,7.46,2.90
200805,6.01,1.55
200806,3.39,-0.67
200807,5.26,1.63
200808,0.83,-2.52
200809,0.94,-2.53
200810,2.77,-0.30
200811,2.74,-1.24
200812,5.79,1.63
200901,3.14,-1.12
200902,3.00,-0.69
200903,3.32,-1.47
200904,4.94,0.38
200905,7.24,2.78
200906,3.86,-0.20
200907,6.75,3.12
200908,4.49,1.14
200909,3.95,0.48
200910,10.06,6.99
200911,0.80,-3.18
200912,4.20,0.04
201001,3.53,-0.73
201002,1.54,-2.15
201003,4.27,-0.52
201004,2.96,-1.60
201005,5.85,1.39
201006,3.13,-0.93
201007,1.64,-1.99
201008,2.67,-0.68
201009,3.74,0.27
201010,1.10,-1.97
201011,4.82,0.84
201012,1.89,-2.27
201101,1.86,-2.40
201102,4.95,1.26
201103,5.98,1.19
201104,14.92,10.36
201105,8.12,3.66
201106,7.29,3.23
201107,2.70,-0.93
201108,1.92,-1.43
201109,4.95,1.48
201110,1.89,-1.18
201111,10.01,6.03
201112,7.14,2.98
201201,3.19,-1.07
201202,1.89,-1.80
201203,4.27,-0.52
201204,0.56,-4.00
201205,1.08,-3.38
201206,1.72,-2.34
201207,2.06,-1.57
201208,2.40,-0.95
201209,6.16,2.69
201210,3.28,0.21
201211,1.99,-1.99
201212,3.44,-0.72
201301,7.92,3.66
201302,3.54,-0.15
201303,3.12,-1.67
201304,5.19,0.63
201305,4.15,-0.31
201306,8.02,3.96
201307,3.59,-0.04
201308,4.67,1.32
201309,2.91,-0.56
201310,4.22,1.15
201311,2.78,-1.20
201312,7.08,2.92
201401,1.85,-2.41
201402,3.00,-0.69
201403,3.27,-1.52
201404,8.10,3.54
201405,2.61,-1.85
201406,6.30,2.24
201407,1.81,-1.82
201408,5.41,2.06
201409,1.62,-1.85
201410,4.24,1.17
201411,2.52,-1.46
201412,2.71,-1.45
201501,2.53,-1.73
201502,3.66,-0.03
201503,7.49,2.70
201504,6.23,1.67
201505,3.60,-0.86
201506,2.92,-1.14
201507,9.69,6.06
201508,2.87,-0.48
201509,1.15,-2.32
201510,2.53,-0.54
201511,8.32,4.34
201512,7.41,3.25
201601,2.80,-1.46
201602,2.65,-1.04
201603,8.25,3.46
201604,3.37,-1.19
201605,5.78,1.32
201606,2.52,-1.54
201607,8.67,5.04
201608,6.54,3.19
201609,0.98,-2.49
201610,0.50,-2.57
201611,3.03,-0.95
201612,5.28,1.12
201701,2.65,-1.61
201702,1.88,-1.81
201703,4.69,-0.10
201704,5.90,1.34
201705,5.47,1.01
201706,5.67,1.61
201707,2.45,-1.18
201708,2.39,-0.96
201709,2.45,-1.02
201710,3.51,0.44
201711,3.39,-0.59
201712,2.99,-1.17
201801,3.20,-1.06
201802,8.01,4.32
201803,4.16,-0.63
201804,6.39,1.83
201805,5.57,1.11
201806,4.10,0.04
201807,1.99,-1.64
201808,2.78,-0.57
201809,5.80,2.33
201810,3.59,0.52
201811,6.24,2.26
201812,5.58,1.42
201901,4.93,0.67
201902,10.39,6.70
201903,6.36,1.57
201904,5.33,0.77
201905,6.97,2.51
201906,5.56,1.50
201907,6.70,3.07
201908,3.93,0.58
201909,0.31,-3.16
201910,6.59,3.52
201911,5.77,1.79
201912,2.53,-1.63
202001,5.47,1.21
