Brazos County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.27,0.25
200002,1.08,-1.98
200003,2.93,0.12
200004,2.44,-1.31
200005,6.94,2.31
200006,2.74,-0.53
200007,0.10,-2.44
200008,0.45,-2.05
200009,2.37,-0.90
200010,2.88,-0.72
200011,10.96,7.49
200012,3.84,0.24
200101,3.10,0.08
200102,1.62,-1.44
200103,5.85,3.04
200104,0.52,-3.23
200105,4.52,-0.11
200106,6.87,3.60
200107,1.99,-0.55
200108,4.10,1.60
200109,6.82,3.55
200110,3.58,-0.02
200111,3.71,0.24
200112,4.38,0.78
200201,1.63,-1.39
200202,1.88,-1.18
200203,1.29,-1.52
200204,1.81,-1.94
200205,1.34,-3.29
200206,3.44,0.17
200207,5.47,2.93
200208,3.13,0.63
200209,1.45,-1.82
200210,9.54,5.94
200211,7.24,3.77
200212,7.77,4.17
200301,1.19,-1.83
200302,6.80,3.74
200303,1.71,-1.10
200304,0.48,-3.27
200305,1.23,-3.40
200306,5.93,2.66
200307,3.56,1.02
200308,3.15,0.65
200309,6.04,2.77
200310,5.82,2.22
200311,4.30,0.83
200312,1.67,-1.93
200401,4.48,1.46
200402,5.82,2.76
200403,2.69,-0.12
200404,4.26,0.51
200405,7.39,2.76
200406,11.63,8.36
200407,2.08,-0.46
200408,2.91,0.41
200409,0.52,-2.75
200410,4.16,0.56
200411,9.98,6.51
200412,1.22,-2.38
200501,3.97,0.95
200502,4.77,1.71
200503,3.50,0.69
200504,1.20,-2.55
200505,2.88,-1.75
200506,0.50,-2.77
200507,2.74,0.20
200508,3.34,0.84
200509,0.62,-2.65
200510,1.94,-1.66
200511,1.26,-2.21
200512,1.14,-2.46
200601,2.74,-0.28
200602,3.60,0.54
200603,3.83,1.02
200604,2.85,-0.90
200605,2.93,-1.70
200606,3.70,0.43
200607,4.36,1.82
200608,2.01,-0.49
200609,3.09,-0.18
200610,10.85,7.25
200611,0.83,-2.64
200612,4.69,1.09
200701,6.09,3.07
200702,0.20,-2.86
200703,6.64,3.83
200704,2.79,-0.96
200705,5.51,0.88
200706,4.74,1.47
200707,5.41,2.87
200708,1.63,-0.87
200709,1.48,-1.79
200710,2.40,-1.20
200711,4.16,0.69
200712,3.51,-0.09
200801,2.20,-0.82
200802,3.11,0.05
200803,3.71,0.90
200804,2.54,-1.21
200805,4.54,-0.09
200806,0.65,-2.62
200807,0.69,-1.85
200808,6.17,3.67
200809,3.12,-0.15
200810,1.89,-1.71
200811,1.67,-1.80
200812,0.85,-2.75
200901,0.79,-2.23
200902,0.82,-2.24
200903,4.20,1.39
200904,7.55,3.80
200905,1.46,-3.17
200906,0.07,-3.20
200907,2.27,-0.27
200908,1.12,-1.38
200909,7.23,3.96
200910,9.21,5.61
200911,3.16,-0.31
200912,3.42,-0.18
201001,2.79,-0.23
201002,3.16,0.10
201003,2.49,-0.32
201004,1.52,-2.23
201005,2.26,-2.37
201006,6.10,2.83
201007,2.63,0.09
201008,0.40,-2.10
201009,5.12,1.85
201010,0.07,-3.53
201011,1.38,-2.09
201012,0.94,-2.66
201101,3.59,0.57
201102,0.68,-2.38
201103,0.77,-2.04
201104,0.13,-3.62
201105,3.36,-1.27
201106,2.56,-0.71
201107,0.10,-2.44
201108,0.27,-2.23
201109,1.93,-1.34
201110,1.19,-2.41
201111,3.28,-0.19
201112,3.84,0.24
201201,3.13,0.11
201202,8.44,5.38
201203,8.07,5.26
201204,0.67,-3.08
201205,2.11,-2.52
201206,2.66,-0.61
201207,4.51,1.97
201208,1.59,-0.91
201209,3.62,0.35
201210,1.68,-1.92
201211,0.58,-2.89
201212,2.80,-0.80
201301,4.92,1.90
201302,1.55,-1.51
201303,1.65,-1.16
201304,1.85,-1.90
201305,6.17,1.54
201306,1.33,-1.94
201307,2.11,-0.43
201308,1.09,-1.41
201309,5.77,2.50
201310,8.46,4.86
201311,5.02,1.55
201312,1.04,-2.56
201401,1.48,-1.54
201402,1.17,-1.89
201403,1.90,-0.91
201404,1.28,-2.47
201405,9.58,4.95
201406,1.89,-1.38
201407,5.19,2.65
201408,0.82,-1.68
201409,5.59,2.32
201410,2.03,-1.57
201411,6.44,2.97
201412,2.93,-0.67
201501,6.24,3.22
201502,0.76,-2.30
201503,6.40,3.59
201504,5.40,1.65
201505,12.93,8.30
201506,5.38,2.11
201507,0.42,-2.12
201508,1.23,-1.27
201509,1.55,-1.72
201510,8.34,4.74
201511,5.59,2.12
201512,7.04,3.44
201601,1.31,-1.71
201602,1.78,-1.28
201603,4.56,1.75
201604,6.45,2.70
201605,13.66,9.03
201606,2.72,-0.55
201607,0.87,-1.67
201608,8.48,5.98
201609,2.19,-1.08
201610,1.57,-2.03
201611,3.73,0.26
201612,3.38,-0.22
201701,4.31,1.29
201702,3.48,0.42
201703,2.09,-0.72
201704,3.52,-0.23
201705,4.77,0.14
201706,4.46,1.19
201707,1.22,-1.32
201708,17.60,15.10
201709,1.57,-1.70
201710,2.58,-1.02
201711,1.52,-1.95
201712,3.94,0.34
201801,1.23,-1.79
201802,2.85,-0.21
201803,5.88,3.07
201804,1.86,-1.89
201805,2.49,-2.14
201806,2.18,-1.09
201807,2.04,-0.50
201808,0.67,-1.83
201809,7.67,4.40
201810,10.32,6.72
201811,5.02,1.55
201812,9.27,5.67
201901,4.45,1.43
201902,2.02,-1.04
201903,1.33,-1.48
201904,5.80,2.05
201905,8.06,3.43
201906,5.58,2.31
201907,0.90,-1.64
201908,1.48,-1.02
201909,2.00,-1.27
201910,3.95,0.35
201911,1.37,-2.10
201912,0.68,-2.92
202001,2.84,-0.18
