Audrain County, Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.80,-0.97
200002,3.36,1.61
200003,2.68,-0.21
200004,0.93,-2.82
200005,4.40,-0.06
200006,7.02,2.64
200007,3.30,-0.38
200008,7.58,3.84
200009,2.12,-1.87
200010,3.91,0.78
200011,1.73,-0.86
200012,1.04,-0.94
200101,3.18,1.41
200102,4.71,2.96
200103,1.82,-1.07
200104,5.04,1.29
200105,5.59,1.13
200106,5.93,1.55
200107,3.47,-0.21
200108,4.36,0.62
200109,3.24,-0.75
200110,4.33,1.20
200111,2.09,-0.50
200112,1.21,-0.77
200201,2.61,0.84
200202,0.87,-0.88
200203,1.78,-1.11
200204,5.67,1.92
200205,8.94,4.48
200206,2.94,-1.44
200207,2.44,-1.24
200208,3.97,0.23
200209,1.57,-2.42
200210,3.62,0.49
200211,0.74,-1.85
200212,1.57,-0.41
200301,0.73,-1.04
200302,1.81,0.06
200303,3.51,0.62
200304,3.77,0.02
200305,5.28,0.82
200306,5.87,1.49
200307,1.50,-2.18
200308,2.23,-1.51
200309,7.26,3.27
200310,2.02,-1.11
200311,2.88,0.29
200312,3.37,1.39
200401,2.02,0.25
200402,0.82,-0.93
200403,4.75,1.86
200404,2.48,-1.27
200405,5.46,1.00
200406,1.61,-2.77
200407,4.88,1.20
200408,8.04,4.30
200409,2.58,-1.41
200410,4.80,1.67
200411,5.91,3.32
200412,1.39,-0.59
200501,6.18,4.41
200502,1.93,0.18
200503,1.20,-1.69
200504,2.78,-0.97
200505,2.05,-2.41
200506,3.06,-1.32
200507,0.96,-2.72
200508,5.60,1.86
200509,2.55,-1.44
200510,1.97,-1.16
200511,2.01,-0.58
200512,1.01,-0.97
200601,1.79,0.02
200602,0.13,-1.62
200603,4.36,1.47
200604,2.39,-1.36
200605,2.43,-2.03
200606,7.54,3.16
200607,4.02,0.34
200608,3.93,0.19
200609,2.07,-1.92
200610,2.97,-0.16
200611,2.62,0.03
200612,2.72,0.74
200701,2.60,0.83
200702,2.26,0.51
200703,2.52,-0.37
200704,3.81,0.06
200705,2.97,-1.49
200706,4.98,0.60
200707,1.27,-2.41
200708,2.45,-1.29
200709,1.22,-2.77
200710,2.91,-0.22
200711,1.88,-0.71
200712,3.80,1.82
200801,2.37,0.60
200802,4.02,2.27
200803,4.01,1.12
200804,4.11,0.36
200805,5.38,0.92
200806,5.00,0.62
200807,15.35,11.67
200808,2.21,-1.53
200809,11.78,7.79
200810,2.53,-0.60
200811,1.04,-1.55
200812,3.31,1.33
200901,0.13,-1.64
200902,2.16,0.41
200903,3.68,0.79
200904,7.62,3.87
200905,5.55,1.09
200906,5.78,1.40
200907,4.95,1.27
200908,4.66,0.92
200909,3.29,-0.70
200910,10.84,7.71
200911,2.53,-0.06
200912,3.23,1.25
201001,2.12,0.35
201002,2.75,1.00
201003,2.34,-0.55
201004,6.35,2.60
201005,5.48,1.02
201006,5.55,1.17
201007,11.94,8.26
201008,3.69,-0.05
201009,9.18,5.19
201010,0.73,-2.40
201011,1.56,-1.03
201012,2.04,0.06
201101,1.40,-0.37
201102,3.72,1.97
201103,2.76,-0.13
201104,3.55,-0.20
201105,4.30,-0.16
201106,5.13,0.75
201107,2.72,-0.96
201108,1.54,-2.20
201109,1.66,-2.33
201110,0.75,-2.38
201111,4.45,1.86
201112,3.30,1.32
201201,0.59,-1.18
201202,1.92,0.17
201203,3.04,0.15
201204,5.74,1.99
201205,2.20,-2.26
201206,2.04,-2.34
201207,1.36,-2.32
201208,0.40,-3.34
201209,5.45,1.46
201210,3.51,0.38
201211,1.26,-1.33
201212,1.48,-0.50
201301,2.88,1.11
201302,3.97,2.22
201303,3.46,0.57
201304,7.36,3.61
201305,7.11,2.65
201306,3.61,-0.77
201307,1.92,-1.76
201308,1.11,-2.63
201309,2.35,-1.64
201310,2.81,-0.32
201311,2.30,-0.29
201312,1.58,-0.40
201401,0.65,-1.12
201402,1.51,-0.24
201403,1.54,-1.35
201404,6.24,2.49
201405,4.47,0.01
201406,5.21,0.83
201407,3.45,-0.23
201408,4.82,1.08
201409,4.70,0.71
201410,7.64,4.51
201411,1.36,-1.23
201412,1.58,-0.40
201501,0.77,-1.00
201502,1.49,-0.26
201503,2.19,-0.70
201504,2.81,-0.94
201505,7.00,2.54
201506,10.47,6.09
201507,7.90,4.22
201508,2.22,-1.52
201509,1.23,-2.76
201510,1.49,-1.64
201511,7.27,4.68
201512,6.55,4.57
201601,0.86,-0.91
201602,0.34,-1.41
201603,2.31,-0.58
201604,3.09,-0.66
201605,4.23,-0.23
201606,2.22,-2.16
201607,9.01,5.33
201608,5.86,2.12
201609,4.13,0.14
201610,1.19,-1.94
201611,1.19,-1.40
201612,1.34,-0.64
201701,0.99,-0.78
201702,0.38,-1.37
201703,3.42,0.53
201704,7.78,4.03
201705,5.95,1.49
201706,4.95,0.57
201707,3.43,-0.25
201708,2.92,-0.82
201709,0.60,-3.39
201710,4.47,1.34
201711,0.73,-1.86
201712,0.44,-1.54
201801,1.96,0.19
201802,2.99,1.24
201803,5.32,2.43
201804,0.63,-3.12
201805,3.40,-1.06
201806,3.55,-0.83
201807,2.14,-1.54
201808,5.38,1.64
201809,3.62,-0.37
201810,5.39,2.26
201811,2.46,-0.13
201812,2.92,0.94
201901,2.98,1.21
201902,2.24,0.49
201903,4.02,1.13
201904,3.01,-0.74
201905,8.13,3.67
201906,5.73,1.35
201907,4.12,0.44
201908,4.44,0.70
201909,2.32,-1.67
201910,4.27,1.14
201911,1.65,-0.94
201912,1.47,-0.51
202001,3.56,1.79
