Chelan County, Washington, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,6.20,0.24
200002,4.22,-0.32
200003,3.35,-0.17
200004,0.98,-1.01
200005,1.55,-0.03
200006,1.28,-0.16
200007,0.48,-0.20
200008,0.16,-0.63
200009,1.41,-0.06
200010,1.75,-1.23
200011,2.98,-2.84
200012,3.42,-2.89
200101,2.16,-3.80
200102,2.34,-2.20
200103,3.13,-0.39
200104,1.87,-0.12
200105,1.30,-0.28
200106,1.88,0.44
200107,0.47,-0.21
200108,0.83,0.04
200109,0.49,-0.98
200110,4.07,1.09
200111,6.21,0.39
200112,7.30,0.99
200201,6.72,0.76
200202,4.25,-0.29
200203,4.70,1.18
200204,2.90,0.91
200205,1.24,-0.34
200206,1.17,-0.27
200207,0.55,-0.13
200208,0.33,-0.46
200209,0.44,-1.03
200210,0.27,-2.71
200211,2.83,-2.99
200212,6.92,0.61
200301,9.46,3.50
200302,1.81,-2.73
200303,6.27,2.75
200304,2.72,0.73
200305,0.62,-0.96
200306,0.30,-1.14
200307,0.02,-0.66
200308,0.10,-0.69
200309,0.45,-1.02
200310,6.15,3.17
200311,7.01,1.19
200312,4.37,-1.94
200401,4.66,-1.30
200402,2.54,-2.00
200403,2.62,-0.90
200404,0.81,-1.18
200405,2.16,0.58
200406,1.06,-0.38
200407,0.43,-0.25
200408,2.19,1.40
200409,2.31,0.84
200410,2.99,0.01
200411,2.90,-2.92
200412,4.90,-1.41
200501,4.74,-1.22
200502,0.94,-3.60
200503,3.37,-0.15
200504,1.76,-0.23
200505,3.59,2.01
200506,1.16,-0.28
200507,0.83,0.15
200508,0.28,-0.51
200509,1.47,0.00
200510,2.94,-0.04
200511,5.22,-0.60
200512,6.19,-0.12
200601,10.09,4.13
200602,4.07,-0.47
200603,2.97,-0.55
200604,1.86,-0.13
200605,1.86,0.28
200606,2.14,0.70
200607,0.32,-0.36
200608,0.07,-0.72
200609,0.95,-0.52
200610,1.11,-1.87
200611,14.46,8.64
200612,7.84,1.53
200701,5.29,-0.67
200702,4.03,-0.51
200703,3.59,0.07
200704,1.04,-0.95
200705,1.71,0.13
200706,0.74,-0.70
200707,0.55,-0.13
200708,0.42,-0.37
200709,0.67,-0.80
200710,3.12,0.14
200711,3.43,-2.39
200712,10.17,3.86
200801,5.33,-0.63
200802,4.10,-0.44
200803,2.17,-1.35
200804,1.13,-0.86
200805,1.26,-0.32
200806,0.90,-0.54
200807,0.34,-0.34
200808,1.44,0.65
200809,0.43,-1.04
200810,2.21,-0.77
200811,6.95,1.13
200812,5.37,-0.94
200901,7.04,1.08
200902,1.28,-3.26
200903,4.50,0.98
200904,1.99,0.00
200905,2.26,0.68
200906,0.87,-0.57
200907,0.65,-0.03
200908,0.44,-0.35
200909,1.45,-0.02
200910,5.17,2.19
200911,5.67,-0.15
200912,2.42,-3.89
201001,5.42,-0.54
201002,3.22,-1.32
201003,2.31,-1.21
201004,3.45,1.46
201005,3.64,2.06
201006,2.23,0.79
201007,0.45,-0.23
201008,1.43,0.64
201009,2.90,1.43
201010,2.58,-0.40
201011,4.87,-0.95
201012,7.28,0.97
201101,6.29,0.33
201102,4.17,-0.37
201103,9.00,5.48
201104,2.71,0.72
201105,3.67,2.09
201106,1.06,-0.38
201107,0.79,0.11
201108,0.02,-0.77
201109,0.64,-0.83
201110,2.94,-0.04
201111,5.19,-0.63
201112,3.46,-2.85
201201,6.97,1.01
201202,4.43,-0.11
201203,6.81,3.29
201204,2.63,0.64
201205,0.95,-0.63
201206,2.46,1.02
201207,1.84,1.16
201208,0.15,-0.64
201209,0.23,-1.24
201210,6.15,3.17
201211,6.02,0.20
201212,8.67,2.36
201301,3.04,-2.92
201302,2.03,-2.51
201303,3.13,-0.39
201304,3.28,1.29
201305,2.45,0.87
201306,1.36,-0.08
201307,0.30,-0.38
201308,2.29,1.50
201309,4.97,3.50
201310,1.03,-1.95
201311,3.55,-2.27
201312,2.81,-3.50
201401,4.14,-1.82
201402,8.49,3.95
201403,6.67,3.15
201404,1.83,-0.16
201405,0.68,-0.90
201406,1.00,-0.44
201407,0.76,0.08
201408,2.11,1.32
201409,1.52,0.05
201410,5.48,2.50
201411,6.75,0.93
201412,5.81,-0.50
201501,4.74,-1.22
201502,3.29,-1.25
201503,3.00,-0.52
201504,0.95,-1.04
201505,1.27,-0.31
201506,0.32,-1.12
201507,0.38,-0.30
201508,0.89,0.10
201509,0.97,-0.50
201510,4.81,1.83
201511,7.88,2.06
201512,11.31,5.00
201601,6.81,0.85
201602,4.46,-0.08
201603,6.19,2.67
201604,1.15,-0.84
201605,1.13,-0.45
201606,1.04,-0.40
201607,1.19,0.51
201608,0.30,-0.49
201609,1.27,-0.20
201610,8.91,5.93
201611,4.62,-1.20
201612,4.97,-1.34
201701,3.26,-2.70
201702,6.40,1.86
201703,7.24,3.72
201704,3.81,1.82
201705,1.82,0.24
201706,0.82,-0.62
201707,0.00,-0.68
201708,0.04,-0.75
201709,0.58,-0.89
201710,5.36,2.38
201711,7.60,1.78
201712,4.36,-1.95
201801,6.95,0.99
201802,4.37,-0.17
201803,3.34,-0.18
201804,4.37,2.38
201805,1.20,-0.38
201806,0.83,-0.61
201807,0.12,-0.56
201808,0.20,-0.59
201809,0.81,-0.66
201810,3.39,0.41
201811,4.41,-1.41
201812,7.02,0.71
201901,4.46,-1.50
201902,3.37,-1.17
201903,1.05,-2.47
201904,2.43,0.44
201905,2.19,0.61
201906,1.40,-0.04
201907,0.79,0.11
201908,0.74,-0.05
201909,3.00,1.53
201910,3.05,0.07
201911,1.74,-4.08
201912,5.08,-1.23
202001,9.11,3.15
