Aransas County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.05,0.98
200002,1.16,-0.90
200003,5.26,3.27
200004,1.96,-0.27
200005,3.95,0.36
200006,3.06,-0.12
200007,0.25,-2.30
200008,1.72,-1.11
200009,1.99,-2.92
200010,3.15,-0.40
200011,6.98,4.60
200012,2.16,-0.26
200101,3.07,1.00
200102,0.74,-1.32
200103,2.41,0.42
200104,0.13,-2.10
200105,1.83,-1.76
200106,2.34,-0.84
200107,1.55,-1.00
200108,8.52,5.69
200109,3.18,-1.73
200110,2.76,-0.79
200111,6.18,3.80
200112,2.39,-0.03
200201,0.71,-1.36
200202,0.67,-1.39
200203,0.39,-1.60
200204,0.30,-1.93
200205,2.01,-1.58
200206,4.24,1.06
200207,5.15,2.60
200208,2.74,-0.09
200209,11.86,6.95
200210,11.00,7.45
200211,4.87,2.49
200212,3.48,1.06
200301,2.80,0.73
200302,2.88,0.82
200303,2.81,0.82
200304,0.28,-1.95
200305,0.06,-3.53
200306,4.35,1.17
200307,8.10,5.55
200308,2.30,-0.53
200309,12.00,7.09
200310,2.81,-0.74
200311,1.31,-1.07
200312,0.91,-1.51
200401,2.67,0.60
200402,2.45,0.39
200403,1.18,-0.81
200404,7.46,5.23
200405,13.00,9.41
200406,6.96,3.78
200407,1.50,-1.05
200408,1.82,-1.01
200409,2.55,-2.36
200410,5.60,2.05
200411,5.81,3.43
200412,0.52,-1.90
200501,1.16,-0.91
200502,3.00,0.94
200503,6.07,4.08
200504,0.19,-2.04
200505,2.80,-0.79
200506,1.35,-1.83
200507,3.45,0.90
200508,0.51,-2.32
200509,4.36,-0.55
200510,2.86,-0.69
200511,3.52,1.14
200512,0.65,-1.77
200601,0.68,-1.39
200602,0.35,-1.71
200603,0.62,-1.37
200604,0.10,-2.13
200605,4.11,0.52
200606,6.21,3.03
200607,13.15,10.60
200608,1.62,-1.21
200609,6.91,2.00
200610,3.84,0.29
200611,0.39,-1.99
200612,1.94,-0.48
200701,7.44,5.37
200702,0.20,-1.86
200703,3.41,1.42
200704,2.99,0.76
200705,2.70,-0.89
200706,3.18,0.00
200707,16.30,13.75
200708,3.73,0.90
200709,6.10,1.19
200710,1.74,-1.81
200711,1.41,-0.97
200712,0.83,-1.59
200801,3.86,1.79
200802,1.02,-1.04
200803,1.24,-0.75
200804,2.25,0.02
200805,0.68,-2.91
200806,0.30,-2.88
200807,4.29,1.74
200808,4.96,2.13
200809,0.73,-4.18
200810,1.33,-2.22
200811,1.18,-1.20
200812,0.47,-1.95
200901,0.25,-1.82
200902,0.17,-1.89
200903,1.61,-0.38
200904,1.14,-1.09
200905,2.68,-0.91
200906,0.28,-2.90
200907,0.17,-2.38
200908,0.12,-2.71
200909,5.72,0.81
200910,4.18,0.63
200911,9.72,7.34
200912,4.82,2.40
201001,4.03,1.96
201002,3.79,1.73
201003,1.64,-0.35
201004,1.11,-1.12
201005,1.45,-2.14
201006,3.17,-0.01
201007,7.54,4.99
201008,0.64,-2.19
201009,15.35,10.44
201010,0.08,-3.47
201011,1.30,-1.08
201012,1.12,-1.30
201101,4.57,2.50
201102,0.36,-1.70
201103,0.31,-1.68
201104,0.01,-2.22
201105,1.70,-1.89
201106,1.10,-2.08
201107,0.04,-2.51
201108,0.61,-2.22
201109,1.23,-3.68
201110,1.83,-1.72
201111,0.22,-2.16
201112,1.46,-0.96
201201,0.93,-1.14
201202,4.06,2.00
201203,2.31,0.32
201204,4.68,2.45
201205,2.02,-1.57
201206,2.24,-0.94
201207,4.92,2.37
201208,0.50,-2.33
201209,4.44,-0.47
201210,0.28,-3.27
201211,0.77,-1.61
201212,1.21,-1.21
201301,2.54,0.47
201302,3.05,0.99
201303,0.08,-1.91
201304,2.37,0.14
201305,0.83,-2.76
201306,2.23,-0.95
201307,1.88,-0.67
201308,4.23,1.40
201309,4.23,-0.68
201310,2.85,-0.70
201311,1.28,-1.10
201312,0.69,-1.73
201401,0.59,-1.48
201402,0.61,-1.45
201403,1.68,-0.31
201404,0.20,-2.03
201405,3.26,-0.33
201406,3.46,0.28
201407,1.45,-1.10
201408,1.21,-1.62
201409,4.13,-0.78
201410,2.64,-0.91
201411,3.38,1.00
201412,1.94,-0.48
201501,2.57,0.50
201502,1.17,-0.89
201503,6.28,4.29
201504,7.48,5.25
201505,10.10,6.51
201506,5.82,2.64
201507,0.55,-2.00
201508,3.37,0.54
201509,5.12,0.21
201510,4.51,0.96
201511,1.65,-0.73
201512,1.17,-1.25
201601,1.72,-0.35
201602,0.43,-1.63
201603,5.08,3.09
201604,1.07,-1.16
201605,9.37,5.78
201606,3.02,-0.16
201607,0.60,-1.95
201608,3.94,1.11
201609,3.14,-1.77
201610,0.28,-3.27
201611,2.20,-0.18
201612,3.42,1.00
201701,0.97,-1.10
201702,2.52,0.46
201703,3.32,1.33
201704,1.58,-0.65
201705,2.89,-0.70
201706,5.37,2.19
201707,1.01,-1.54
201708,6.81,3.98
201709,1.45,-3.46
201710,1.75,-1.80
201711,0.37,-2.01
201712,2.40,-0.02
201801,1.14,-0.93
201802,0.94,-1.12
201803,1.63,-0.36
201804,0.42,-1.81
201805,0.56,-3.03
201806,11.59,8.41
201807,3.05,0.50
201808,0.88,-1.95
201809,19.45,14.54
201810,4.71,1.16
201811,3.00,0.62
201812,2.08,-0.34
201901,2.28,0.21
201902,1.68,-0.38
201903,0.70,-1.29
201904,2.95,0.72
201905,4.76,1.17
201906,6.16,2.98
201907,1.21,-1.34
201908,0.79,-2.04
201909,3.52,-1.39
201910,2.29,-1.26
201911,1.39,-0.99
201912,2.01,-0.41
202001,1.82,-0.25
