Angelina County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.50,-2.76
200002,1.53,-2.41
200003,5.25,1.34
200004,4.90,0.45
200005,8.05,2.97
200006,5.00,1.05
200007,0.76,-2.86
200008,0.62,-2.46
200009,3.52,0.19
200010,1.06,-2.30
200011,16.44,11.92
200012,5.04,-0.07
200101,5.49,1.23
200102,3.07,-0.87
200103,9.00,5.09
200104,1.12,-3.33
200105,2.87,-2.21
200106,11.66,7.71
200107,1.28,-2.34
200108,4.12,1.04
200109,5.73,2.40
200110,5.30,1.94
200111,4.47,-0.05
200112,6.77,1.66
200201,3.23,-1.03
200202,2.45,-1.49
200203,3.95,0.04
200204,3.30,-1.15
200205,2.72,-2.36
200206,4.25,0.30
200207,5.61,1.99
200208,2.84,-0.24
200209,2.87,-0.46
200210,9.62,6.26
200211,7.18,2.66
200212,9.05,3.94
200301,0.92,-3.34
200302,6.40,2.46
200303,2.76,-1.15
200304,2.60,-1.85
200305,2.14,-2.94
200306,7.23,3.28
200307,5.74,2.12
200308,3.35,0.27
200309,5.33,2.00
200310,2.02,-1.34
200311,5.24,0.72
200312,2.94,-2.17
200401,5.66,1.40
200402,8.38,4.44
200403,5.04,1.13
200404,3.50,-0.95
200405,6.42,1.34
200406,10.51,6.56
200407,3.35,-0.27
200408,3.37,0.29
200409,2.84,-0.49
200410,5.60,2.24
200411,14.17,9.65
200412,3.72,-1.39
200501,3.75,-0.51
200502,6.06,2.12
200503,3.69,-0.22
200504,2.23,-2.22
200505,2.34,-2.74
200506,1.36,-2.59
200507,3.65,0.03
200508,3.51,0.43
200509,6.15,2.82
200510,0.70,-2.66
200511,2.07,-2.45
200512,1.79,-3.32
200601,4.63,0.37
200602,5.59,1.65
200603,3.22,-0.69
200604,2.02,-2.43
200605,1.89,-3.19
200606,3.07,-0.88
200607,4.22,0.60
200608,1.63,-1.45
200609,2.48,-0.85
200610,13.88,10.52
200611,1.64,-2.88
200612,5.40,0.29
200701,7.89,3.63
200702,2.30,-1.64
200703,2.69,-1.22
200704,3.94,-0.51
200705,5.55,0.47
200706,4.45,0.50
200707,7.44,3.82
200708,2.62,-0.46
200709,1.65,-1.68
200710,2.80,-0.56
200711,4.15,-0.37
200712,4.73,-0.38
200801,2.58,-1.68
200802,5.41,1.47
200803,3.80,-0.11
200804,3.05,-1.40
200805,2.73,-2.35
200806,4.74,0.79
200807,2.46,-1.16
200808,6.79,3.71
200809,2.91,-0.42
200810,1.82,-1.54
200811,4.12,-0.40
200812,2.99,-2.12
200901,1.43,-2.83
200902,1.75,-2.19
200903,5.37,1.46
200904,7.45,3.00
200905,3.43,-1.65
200906,1.41,-2.54
200907,4.91,1.29
200908,2.69,-0.39
200909,4.02,0.69
200910,15.53,12.17
200911,2.02,-2.50
200912,5.36,0.25
201001,2.21,-2.05
201002,3.41,-0.53
201003,2.62,-1.29
201004,0.90,-3.55
201005,1.35,-3.73
201006,3.71,-0.24
201007,4.94,1.32
201008,1.04,-2.04
201009,2.93,-0.40
201010,0.90,-2.46
201011,3.72,-0.80
201012,0.94,-4.17
201101,6.51,2.25
201102,1.16,-2.78
201103,0.70,-3.21
201104,2.18,-2.27
201105,3.94,-1.14
201106,2.87,-1.08
201107,1.98,-1.64
201108,0.71,-2.37
201109,1.91,-1.42
201110,1.82,-1.54
201111,4.16,-0.36
201112,7.33,2.22
201201,5.24,0.98
201202,5.05,1.11
201203,8.66,4.75
201204,3.40,-1.05
201205,2.79,-2.29
201206,3.46,-0.49
201207,6.76,3.14
201208,1.63,-1.45
201209,7.62,4.29
201210,0.64,-2.72
201211,1.11,-3.41
201212,4.21,-0.90
201301,6.13,1.87
201302,3.07,-0.87
201303,2.09,-1.82
201304,2.93,-1.52
201305,3.36,-1.72
201306,4.83,0.88
201307,3.85,0.23
201308,0.99,-2.09
201309,5.76,2.43
201310,7.17,3.81
201311,4.03,-0.49
201312,2.19,-2.92
201401,1.67,-2.59
201402,2.16,-1.78
201403,2.89,-1.02
201404,2.87,-1.58
201405,8.08,3.00
201406,3.98,0.03
201407,7.98,4.36
201408,2.17,-0.91
201409,3.16,-0.17
201410,4.19,0.83
201411,4.63,0.11
201412,3.06,-2.05
201501,7.70,3.44
201502,1.77,-2.17
201503,7.68,3.77
201504,7.64,3.19
201505,15.33,10.25
201506,7.80,3.85
201507,1.06,-2.56
201508,0.87,-2.21
201509,1.90,-1.43
201510,5.34,1.98
201511,9.00,4.48
201512,5.10,-0.01
201601,2.76,-1.50
201602,3.14,-0.80
201603,7.25,3.34
201604,7.18,2.73
201605,8.11,3.03
201606,3.67,-0.28
201607,1.44,-2.18
201608,7.77,4.69
201609,1.60,-1.73
201610,0.36,-3.00
201611,2.96,-1.56
201612,5.00,-0.11
201701,6.10,1.84
201702,2.21,-1.73
201703,2.86,-1.05
201704,5.34,0.89
201705,7.86,2.78
201706,5.27,1.32
201707,4.99,1.37
201708,14.85,11.77
201709,2.46,-0.87
201710,2.11,-1.25
201711,2.05,-2.47
201712,3.74,-1.37
201801,2.80,-1.46
201802,8.10,4.16
201803,6.95,3.04
201804,3.82,-0.63
201805,1.58,-3.50
201806,1.81,-2.14
201807,5.71,2.09
201808,1.72,-1.36
201809,8.68,5.35
201810,11.67,8.31
201811,5.29,0.77
201812,10.43,5.32
201901,5.01,0.75
201902,2.80,-1.14
201903,1.63,-2.28
201904,5.31,0.86
201905,7.51,2.43
201906,6.58,2.63
201907,1.76,-1.86
201908,4.10,1.02
201909,5.02,1.69
201910,6.43,3.07
201911,1.20,-3.32
201912,2.22,-2.89
202001,5.88,1.62
