Washington County, Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.03,-0.84
200002,2.31,-0.13
200003,3.94,0.58
200004,3.52,0.15
200005,4.03,0.30
200006,5.34,1.43
200007,5.31,1.61
200008,3.67,-0.03
200009,4.77,1.47
200010,0.56,-2.57
200011,2.04,-0.75
200012,2.37,-0.47
200101,2.21,-0.66
200102,1.19,-1.25
200103,4.01,0.65
200104,2.31,-1.06
200105,2.55,-1.18
200106,3.97,0.06
200107,2.12,-1.58
200108,2.43,-1.27
200109,2.48,-0.82
200110,0.80,-2.33
200111,1.40,-1.39
200112,1.68,-1.16
200201,1.82,-1.05
200202,0.28,-2.16
200203,3.87,0.51
200204,3.36,-0.01
200205,4.11,0.38
200206,3.05,-0.86
200207,3.34,-0.36
200208,2.62,-1.08
200209,4.60,1.30
200210,4.86,1.73
200211,3.50,0.71
200212,3.66,0.82
200301,2.51,-0.36
200302,5.00,2.56
200303,3.12,-0.24
200304,2.72,-0.65
200305,7.59,3.86
200306,6.99,3.08
200307,4.38,0.68
200308,4.79,1.09
200309,8.23,4.93
200310,3.38,0.25
200311,4.09,1.30
200312,4.08,1.24
200401,2.03,-0.84
200402,3.10,0.66
200403,2.15,-1.21
200404,5.94,2.57
200405,4.97,1.24
200406,4.46,0.55
200407,3.16,-0.54
200408,3.25,-0.45
200409,7.58,4.28
200410,1.82,-1.31
200411,3.31,0.52
200412,2.90,0.06
200501,2.86,-0.01
200502,1.39,-1.05
200503,4.74,1.38
200504,2.99,-0.38
200505,2.38,-1.35
200506,1.35,-2.56
200507,5.16,1.46
200508,3.30,-0.40
200509,0.21,-3.09
200510,6.26,3.13
200511,3.78,0.99
200512,1.98,-0.86
200601,3.33,0.46
200602,1.52,-0.92
200603,0.31,-3.05
200604,2.92,-0.45
200605,2.47,-1.26
200606,8.19,4.28
200607,3.66,-0.04
200608,1.41,-2.29
200609,5.40,2.10
200610,4.03,0.90
200611,4.05,1.26
200612,2.10,-0.74
200701,1.59,-1.28
200702,1.91,-0.53
200703,3.58,0.22
200704,3.46,0.09
200705,1.64,-2.09
200706,2.79,-1.12
200707,1.48,-2.22
200708,4.57,0.87
200709,1.54,-1.76
200710,3.62,0.49
200711,2.11,-0.68
200712,4.20,1.36
200801,1.47,-1.40
200802,2.49,0.05
200803,3.09,-0.27
200804,5.42,2.05
200805,5.43,1.70
200806,3.22,-0.69
200807,4.34,0.64
200808,2.44,-1.26
200809,3.69,0.39
200810,1.20,-1.93
200811,2.23,-0.56
200812,5.05,2.21
200901,2.02,-0.85
200902,0.43,-2.01
200903,1.74,-1.62
200904,3.63,0.26
200905,5.38,1.65
200906,4.66,0.75
200907,3.76,0.06
200908,2.79,-0.91
200909,1.93,-1.37
200910,4.37,1.24
200911,2.25,-0.54
200912,5.70,2.86
201001,3.07,0.20
201002,2.42,-0.02
201003,4.37,1.01
201004,1.78,-1.59
201005,3.44,-0.29
201006,1.54,-2.37
201007,1.57,-2.13
201008,2.13,-1.57
201009,3.97,0.67
201010,2.71,-0.42
201011,3.04,0.25
201012,2.47,-0.37
201101,1.51,-1.36
201102,2.66,0.22
201103,5.14,1.78
201104,8.19,4.82
201105,4.88,1.15
201106,1.93,-1.98
201107,2.94,-0.76
201108,4.81,1.11
201109,7.68,4.38
201110,4.66,1.53
201111,3.99,1.20
201112,3.35,0.51
201201,2.22,-0.65
201202,1.70,-0.74
201203,2.22,-1.14
201204,2.39,-0.98
201205,6.68,2.95
201206,2.58,-1.33
201207,4.50,0.80
201208,4.86,1.16
201209,4.59,1.29
201210,6.07,2.94
201211,0.88,-1.91
201212,3.33,0.49
201301,3.29,0.42
201302,1.53,-0.91
201303,1.92,-1.44
201304,2.29,-1.08
201305,3.02,-0.71
201306,4.16,0.25
201307,3.48,-0.22
201308,3.22,-0.48
201309,2.19,-1.11
201310,6.21,3.08
201311,2.36,-0.43
201312,4.96,2.12
201401,1.51,-1.36
201402,3.45,1.01
201403,2.69,-0.67
201404,3.45,0.08
201405,5.78,2.05
201406,4.49,0.58
201407,4.90,1.20
201408,4.01,0.31
201409,1.88,-1.42
201410,3.47,0.34
201411,2.25,-0.54
201412,3.28,0.44
201501,2.14,-0.73
201502,0.94,-1.50
201503,2.89,-0.47
201504,3.42,0.05
201505,2.97,-0.76
201506,6.53,2.62
201507,2.39,-1.31
201508,2.53,-1.17
201509,3.41,0.11
201510,2.92,-0.21
201511,1.92,-0.87
201512,2.94,0.10
201601,2.16,-0.71
201602,3.55,1.11
201603,1.78,-1.58
201604,1.67,-1.70
201605,5.26,1.53
201606,3.85,-0.06
201607,4.51,0.81
201608,2.38,-1.32
201609,3.64,0.34
201610,0.93,-2.20
201611,0.93,-1.86
201612,2.50,-0.34
201701,3.42,0.55
201702,1.26,-1.18
201703,3.07,-0.29
201704,3.17,-0.20
201705,6.12,2.39
201706,2.45,-1.46
201707,7.36,3.66
201708,3.45,-0.25
201709,1.93,-1.37
201710,5.49,2.36
201711,1.72,-1.07
201712,1.01,-1.83
201801,2.87,0.00
201802,4.34,1.90
201803,2.13,-1.23
201804,4.22,0.85
201805,6.18,2.45
201806,6.11,2.20
201807,7.26,3.56
201808,7.09,3.39
201809,10.78,7.48
201810,2.13,-1.00
201811,7.18,4.39
201812,5.74,2.90
201901,3.87,1.00
201902,3.20,0.76
201903,4.38,1.02
201904,3.65,0.28
201905,7.11,3.38
201906,3.18,-0.73
201907,5.67,1.97
201908,2.91,-0.79
201909,0.71,-2.59
201910,5.19,2.06
201911,1.70,-1.09
201912,3.47,0.63
202001,3.30,0.43
