Chaves County, New Mexico, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.01,-0.40
200002,0.08,-0.35
200003,0.75,0.28
200004,0.31,-0.37
200005,0.04,-1.32
200006,3.00,1.38
200007,1.65,-0.57
200008,0.35,-1.95
200009,0.13,-1.93
200010,2.67,1.43
200011,2.04,1.48
200012,0.41,-0.11
200101,0.99,0.58
200102,0.48,0.05
200103,2.02,1.55
200104,0.12,-0.56
200105,1.33,-0.03
200106,0.83,-0.79
200107,0.98,-1.24
200108,1.18,-1.12
200109,0.90,-1.16
200110,0.36,-0.88
200111,1.54,0.98
200112,0.14,-0.38
200201,0.49,0.08
200202,0.23,-0.20
200203,1.61,1.14
200204,0.09,-0.59
200205,0.04,-1.32
200206,2.03,0.41
200207,2.18,-0.04
200208,1.88,-0.42
200209,2.37,0.31
200210,2.34,1.10
200211,0.13,-0.43
200212,1.22,0.70
200301,0.03,-0.38
200302,0.54,0.11
200303,0.27,-0.20
200304,0.02,-0.66
200305,0.69,-0.67
200306,1.64,0.02
200307,0.74,-1.48
200308,0.90,-1.40
200309,0.39,-1.67
200310,1.21,-0.03
200311,0.32,-0.24
200312,0.02,-0.50
200401,0.17,-0.24
200402,1.07,0.64
200403,0.72,0.25
200404,2.80,2.12
200405,0.34,-1.02
200406,2.05,0.43
200407,2.78,0.56
200408,1.92,-0.38
200409,3.51,1.45
200410,2.03,0.79
200411,2.72,2.16
200412,0.69,0.17
200501,1.00,0.59
200502,1.44,1.01
200503,0.97,0.50
200504,0.28,-0.40
200505,1.58,0.22
200506,0.29,-1.33
200507,0.83,-1.39
200508,3.90,1.60
200509,1.12,-0.94
200510,1.34,0.10
200511,0.02,-0.54
200512,0.00,-0.52
200601,0.02,-0.39
200602,0.19,-0.24
200603,0.34,-0.13
200604,0.36,-0.32
200605,0.36,-1.00
200606,0.86,-0.76
200607,1.84,-0.38
200608,4.62,2.32
200609,3.48,1.42
200610,1.97,0.73
200611,0.11,-0.45
200612,0.60,0.08
200701,1.14,0.73
200702,0.31,-0.12
200703,1.71,1.24
200704,0.78,0.10
200705,3.13,1.77
200706,1.76,0.14
200707,3.74,1.52
200708,1.79,-0.51
200709,2.29,0.23
200710,0.12,-1.12
200711,0.42,-0.14
200712,0.80,0.28
200801,0.03,-0.38
200802,0.10,-0.33
200803,0.17,-0.30
200804,0.06,-0.62
200805,1.47,0.11
200806,0.86,-0.76
200807,3.57,1.35
200808,2.87,0.57
200809,1.61,-0.45
200810,1.57,0.33
200811,0.09,-0.47
200812,0.20,-0.32
200901,0.03,-0.38
200902,0.05,-0.38
200903,0.30,-0.17
200904,0.31,-0.37
200905,0.79,-0.57
200906,1.83,0.21
200907,4.08,1.86
200908,0.64,-1.66
200909,1.50,-0.56
200910,0.89,-0.35
200911,0.42,-0.14
200912,1.29,0.77
201001,1.07,0.66
201002,1.28,0.85
201003,0.71,0.24
201004,0.82,0.14
201005,0.69,-0.67
201006,1.13,-0.49
201007,3.74,1.52
201008,2.60,0.30
201009,2.06,0.00
201010,0.96,-0.28
201011,0.03,-0.53
201012,0.03,-0.49
201101,0.00,-0.41
201102,0.16,-0.27
201103,0.00,-0.47
201104,0.01,-0.67
201105,0.01,-1.35
201106,0.19,-1.43
201107,0.93,-1.29
201108,0.50,-1.80
201109,1.85,-0.21
201110,0.97,-0.27
201111,0.10,-0.46
201112,1.66,1.14
201201,0.15,-0.26
201202,0.31,-0.12
201203,0.15,-0.32
201204,0.17,-0.51
201205,1.37,0.01
201206,0.09,-1.53
201207,2.28,0.06
201208,1.41,-0.89
201209,1.61,-0.45
201210,0.74,-0.50
201211,0.10,-0.46
201212,0.15,-0.37
201301,0.52,0.11
201302,0.21,-0.22
201303,0.04,-0.43
201304,0.01,-0.67
201305,0.20,-1.16
201306,0.83,-0.79
201307,3.51,1.29
201308,1.18,-1.12
201309,5.60,3.54
201310,0.30,-0.94
201311,0.54,-0.02
201312,0.46,-0.06
201401,0.00,-0.41
201402,0.11,-0.32
201403,0.32,-0.15
201404,0.24,-0.44
201405,3.13,1.77
201406,0.67,-0.95
201407,2.69,0.47
201408,2.13,-0.17
201409,5.58,3.52
201410,0.56,-0.68
201411,0.56,0.00
201412,0.12,-0.40
201501,1.26,0.85
201502,0.72,0.29
201503,0.60,0.13
201504,1.13,0.45
201505,2.91,1.55
201506,1.85,0.23
201507,2.88,0.66
201508,1.45,-0.85
201509,0.98,-1.08
201510,4.91,3.67
201511,0.25,-0.31
201512,0.67,0.15
201601,0.24,-0.17
201602,0.23,-0.20
201603,0.02,-0.45
201604,0.73,0.05
201605,1.16,-0.20
201606,0.94,-0.68
201607,0.40,-1.82
201608,3.33,1.03
201609,2.31,0.25
201610,0.44,-0.80
201611,0.81,0.25
201612,0.47,-0.05
201701,1.15,0.74
201702,0.26,-0.17
201703,0.32,-0.15
201704,1.15,0.47
201705,0.47,-0.89
201706,1.41,-0.21
201707,1.73,-0.49
201708,3.37,1.07
201709,1.75,-0.31
201710,1.98,0.74
201711,0.07,-0.49
201712,0.02,-0.50
201801,0.06,-0.35
201802,0.50,0.07
201803,0.03,-0.44
201804,0.06,-0.62
201805,0.75,-0.61
201806,1.02,-0.60
201807,1.34,-0.88
201808,1.28,-1.02
201809,2.61,0.55
201810,3.37,2.13
201811,0.08,-0.48
201812,0.90,0.38
201901,0.06,-0.35
201902,0.04,-0.39
201903,0.47,0.00
201904,0.62,-0.06
201905,0.39,-0.97
201906,1.21,-0.41
201907,1.53,-0.69
201908,0.94,-1.36
201909,1.83,-0.23
201910,4.21,2.97
201911,1.32,0.76
201912,0.14,-0.38
202001,0.42,0.01
