Maricopa County, Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.11,-0.90
200002,0.21,-0.78
200003,2.11,1.16
200004,0.02,-0.31
200005,0.00,-0.13
200006,0.31,0.23
200007,0.12,-0.93
200008,1.26,-0.21
200009,0.01,-0.84
200010,3.16,2.55
200011,0.54,-0.16
200012,0.01,-1.08
200101,1.98,0.97
200102,0.97,-0.02
200103,1.03,0.08
200104,0.66,0.33
200105,0.05,-0.08
200106,0.04,-0.04
200107,0.77,-0.28
200108,1.13,-0.34
200109,0.02,-0.83
200110,0.19,-0.42
200111,0.14,-0.56
200112,0.67,-0.42
200201,0.08,-0.93
200202,0.00,-0.99
200203,0.07,-0.88
200204,0.05,-0.28
200205,0.00,-0.13
200206,0.00,-0.08
200207,0.70,-0.35
200208,0.16,-1.31
200209,1.24,0.39
200210,0.45,-0.16
200211,0.53,-0.17
200212,0.40,-0.69
200301,0.55,-0.46
200302,3.45,2.46
200303,1.02,0.07
200304,0.15,-0.18
200305,0.00,-0.13
200306,0.00,-0.08
200307,0.68,-0.37
200308,1.72,0.25
200309,0.82,-0.03
200310,0.16,-0.45
200311,1.00,0.30
200312,0.43,-0.66
200401,0.52,-0.49
200402,0.92,-0.07
200403,0.80,-0.15
200404,1.03,0.70
200405,0.00,-0.13
200406,0.00,-0.08
200407,0.66,-0.39
200408,0.67,-0.80
200409,0.66,-0.19
200410,1.66,1.05
200411,1.43,0.73
200412,2.18,1.09
200501,2.45,1.44
200502,3.80,2.81
200503,0.59,-0.36
200504,0.21,-0.12
200505,0.01,-0.12
200506,0.04,-0.04
200507,0.78,-0.27
200508,1.67,0.20
200509,0.17,-0.68
200510,0.40,-0.21
200511,0.03,-0.67
200512,0.00,-1.09
200601,0.00,-1.01
200602,0.00,-0.99
200603,1.38,0.43
200604,0.03,-0.30
200605,0.03,-0.10
200606,0.09,0.01
200607,1.01,-0.04
200608,1.68,0.21
200609,1.47,0.62
200610,0.41,-0.20
200611,0.00,-0.70
200612,0.27,-0.82
200701,0.68,-0.33
200702,0.41,-0.58
200703,0.79,-0.16
200704,0.16,-0.17
200705,0.03,-0.10
200706,0.00,-0.08
200707,1.39,0.34
200708,0.80,-0.67
200709,0.45,-0.40
200710,0.01,-0.60
200711,0.94,0.24
200712,2.21,1.12
200801,2.19,1.18
200802,0.70,-0.29
200803,0.01,-0.94
200804,0.00,-0.33
200805,0.54,0.41
200806,0.01,-0.07
200807,1.49,0.44
200808,2.16,0.69
200809,0.27,-0.58
200810,0.02,-0.59
200811,0.67,-0.03
200812,1.68,0.59
200901,0.18,-0.83
200902,0.99,0.00
200903,0.01,-0.94
200904,0.29,-0.04
200905,0.36,0.23
200906,0.02,-0.06
200907,0.59,-0.46
200908,0.49,-0.98
200909,0.34,-0.51
200910,0.00,-0.61
200911,0.02,-0.68
200912,0.80,-0.29
201001,3.64,2.63
201002,1.20,0.21
201003,0.96,0.01
201004,0.02,-0.31
201005,0.00,-0.13
201006,0.00,-0.08
201007,0.92,-0.13
201008,1.04,-0.43
201009,0.18,-0.67
201010,0.61,0.00
201011,0.08,-0.62
201012,1.20,0.11
201101,0.01,-1.00
201102,0.90,-0.09
201103,0.20,-0.75
201104,0.30,-0.03
201105,0.04,-0.09
201106,0.00,-0.08
201107,0.83,-0.22
201108,0.50,-0.97
201109,0.34,-0.51
201110,0.16,-0.45
201111,0.82,0.12
201112,1.35,0.26
201201,0.03,-0.98
201202,0.06,-0.93
201203,0.57,-0.38
201204,0.11,-0.22
201205,0.04,-0.09
201206,0.01,-0.07
201207,1.45,0.40
201208,1.54,0.07
201209,0.92,0.07
201210,0.04,-0.57
201211,0.08,-0.62
201212,1.18,0.09
201301,1.50,0.49
201302,0.47,-0.52
201303,0.70,-0.25
201304,0.04,-0.29
201305,0.00,-0.13
201306,0.00,-0.08
201307,1.11,0.06
201308,1.40,-0.07
201309,1.28,0.43
201310,0.08,-0.53
201311,2.33,1.63
201312,0.40,-0.69
201401,0.00,-1.01
201402,0.01,-0.98
201403,1.02,0.07
201404,0.02,-0.31
201405,0.00,-0.13
201406,0.00,-0.08
201407,1.03,-0.02
201408,3.07,1.60
201409,2.91,2.06
201410,0.40,-0.21
201411,0.00,-0.70
201412,1.27,0.18
201501,1.26,0.25
201502,0.24,-0.75
201503,0.97,0.02
201504,0.28,-0.05
201505,0.73,0.60
201506,0.28,0.20
201507,0.63,-0.42
201508,0.70,-0.77
201509,0.89,0.04
201510,1.24,0.63
201511,0.36,-0.34
201512,0.31,-0.78
201601,1.58,0.57
201602,0.17,-0.82
201603,0.01,-0.94
201604,0.40,0.07
201605,0.19,0.06
201606,0.14,0.06
201607,0.24,-0.81
201608,1.78,0.31
201609,0.48,-0.37
201610,0.18,-0.43
201611,0.77,0.07
201612,1.72,0.63
201701,1.44,0.43
201702,1.64,0.65
201703,0.15,-0.80
201704,0.01,-0.32
201705,0.12,-0.01
201706,0.00,-0.08
201707,1.77,0.72
201708,1.04,-0.43
201709,0.15,-0.70
201710,0.00,-0.61
201711,0.00,-0.70
201712,0.14,-0.95
201801,0.44,-0.57
201802,0.59,-0.40
201803,0.12,-0.83
201804,0.00,-0.33
201805,0.03,-0.10
201806,0.14,0.06
201807,2.13,1.08
201808,1.77,0.30
201809,0.29,-0.56
201810,3.04,2.43
201811,0.30,-0.40
201812,0.32,-0.77
201901,1.11,0.10
201902,2.55,1.56
201903,0.79,-0.16
201904,0.10,-0.23
201905,0.29,0.16
201906,0.00,-0.08
201907,0.45,-0.60
201908,0.41,-1.06
201909,2.32,1.47
201910,0.00,-0.61
201911,2.95,2.25
201912,1.53,0.44
202001,0.16,-0.85
