Barnstable County, Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.80,-0.14
200002,3.07,-0.37
200003,4.65,0.65
200004,6.11,2.16
200005,2.87,-0.39
200006,2.47,-0.67
200007,3.60,0.79
200008,4.10,0.25
200009,2.77,-0.71
200010,2.95,-0.67
200011,3.16,-0.87
200012,3.40,-0.62
200101,3.30,-0.64
200102,2.03,-1.41
200103,9.91,5.91
200104,2.48,-1.47
200105,3.35,0.09
200106,4.19,1.05
200107,3.12,0.31
200108,5.17,1.32
200109,1.56,-1.92
200110,1.59,-2.03
200111,0.90,-3.13
200112,3.39,-0.63
200201,4.53,0.59
200202,2.25,-1.19
200203,5.61,1.61
200204,4.23,0.28
200205,4.73,1.47
200206,3.36,0.22
200207,0.83,-1.98
200208,1.96,-1.89
200209,6.18,2.70
200210,2.89,-0.73
200211,7.44,3.41
200212,6.79,2.77
200301,2.67,-1.27
200302,5.78,2.34
200303,6.79,2.79
200304,4.95,1.00
200305,2.80,-0.46
200306,5.99,2.85
200307,2.09,-0.72
200308,3.70,-0.15
200309,2.99,-0.49
200310,5.09,1.47
200311,3.29,-0.74
200312,6.17,2.15
200401,1.96,-1.98
200402,2.55,-0.89
200403,2.65,-1.35
200404,6.00,2.05
200405,2.66,-0.60
200406,1.89,-1.25
200407,2.37,-0.44
200408,4.71,0.86
200409,5.70,2.22
200410,2.10,-1.52
200411,4.64,0.61
200412,4.92,0.90
200501,5.46,1.52
200502,2.32,-1.12
200503,5.46,1.46
200504,3.96,0.01
200505,6.95,3.69
200506,0.59,-2.55
200507,2.39,-0.42
200508,1.89,-1.96
200509,4.75,1.27
200510,10.03,6.41
200511,4.66,0.63
200512,3.25,-0.77
200601,5.82,1.88
200602,1.79,-1.65
200603,0.57,-3.43
200604,2.21,-1.74
200605,6.95,3.69
200606,10.94,7.80
200607,2.50,-0.31
200608,3.24,-0.61
200609,3.01,-0.47
200610,3.63,0.01
200611,6.10,2.07
200612,3.12,-0.90
200701,4.05,0.11
200702,1.58,-1.86
200703,5.26,1.26
200704,7.81,3.86
200705,2.87,-0.39
200706,1.54,-1.60
200707,2.77,-0.04
200708,1.10,-2.75
200709,2.24,-1.24
200710,2.59,-1.03
200711,6.14,2.11
200712,5.22,1.20
200801,2.98,-0.96
200802,5.36,1.92
200803,5.01,1.01
200804,4.02,0.07
200805,3.56,0.30
200806,2.65,-0.49
200807,3.81,1.00
200808,3.04,-0.81
200809,7.54,4.06
200810,2.65,-0.97
200811,4.57,0.54
200812,6.12,2.10
200901,4.20,0.26
200902,1.93,-1.51
200903,3.85,-0.15
200904,5.84,1.89
200905,2.90,-0.36
200906,4.29,1.15
200907,6.69,3.88
200908,5.45,1.60
200909,3.21,-0.27
200910,8.12,4.50
200911,2.57,-1.46
200912,5.57,1.55
201001,3.61,-0.33
201002,3.94,0.50
201003,9.76,5.76
201004,1.55,-2.40
201005,2.65,-0.61
201006,2.80,-0.34
201007,2.93,0.12
201008,4.26,0.41
201009,4.68,1.20
201010,6.41,2.79
201011,4.13,0.10
201012,3.84,-0.18
201101,3.93,-0.01
201102,4.10,0.66
201103,2.31,-1.69
201104,6.00,2.05
201105,2.57,-0.69
201106,4.02,0.88
201107,3.90,1.09
201108,4.03,0.18
201109,4.50,1.02
201110,7.51,3.89
201111,3.90,-0.13
201112,3.05,-0.97
201201,3.85,-0.09
201202,1.79,-1.65
201203,1.57,-2.43
201204,1.71,-2.24
201205,5.58,2.32
201206,2.55,-0.59
201207,2.61,-0.20
201208,3.94,0.09
201209,5.84,2.36
201210,2.84,-0.78
201211,2.73,-1.30
201212,6.51,2.49
201301,2.02,-1.92
201302,5.68,2.24
201303,5.32,1.32
201304,3.54,-0.41
201305,4.79,1.53
201306,9.16,6.02
201307,3.19,0.38
201308,1.90,-1.95
201309,3.03,-0.45
201310,0.90,-2.72
201311,4.51,0.48
201312,4.30,0.28
201401,3.47,-0.47
201402,5.48,2.04
201403,4.16,0.16
201404,3.41,-0.54
201405,2.04,-1.22
201406,2.74,-0.40
201407,5.24,2.43
201408,2.88,-0.97
201409,1.40,-2.08
201410,5.57,1.95
201411,8.02,3.99
201412,6.61,2.59
201501,4.82,0.88
201502,3.27,-0.17
201503,5.32,1.32
201504,1.57,-2.38
201505,0.95,-2.31
201506,3.62,0.48
201507,1.96,-0.85
201508,3.46,-0.39
201509,3.60,0.12
201510,6.22,2.60
201511,4.32,0.29
201512,5.77,1.75
201601,3.91,-0.03
201602,5.33,1.89
201603,3.72,-0.28
201604,4.17,0.22
201605,3.59,0.33
201606,0.88,-2.26
201607,2.67,-0.14
201608,1.03,-2.82
201609,2.61,-0.87
201610,6.54,2.92
201611,2.40,-1.63
201612,2.46,-1.56
201701,5.23,1.29
201702,2.50,-0.94
201703,3.08,-0.92
201704,6.13,2.18
201705,5.70,2.44
201706,3.04,-0.10
201707,2.60,-0.21
201708,6.48,2.63
201709,5.91,2.43
201710,7.31,3.69
201711,2.56,-1.47
201712,2.54,-1.48
201801,4.67,0.73
201802,6.95,3.51
201803,6.67,2.67
201804,4.35,0.40
201805,1.94,-1.32
201806,3.46,0.32
201807,1.15,-1.66
201808,3.12,-0.73
201809,4.08,0.60
201810,6.36,2.74
201811,8.77,4.74
201812,4.08,0.06
201901,5.79,1.85
201902,2.81,-0.63
201903,3.78,-0.22
201904,5.69,1.74
201905,3.89,0.63
201906,6.30,3.16
201907,3.82,1.01
201908,2.51,-1.34
201909,3.47,-0.01
201910,7.50,3.88
201911,3.70,-0.33
201912,9.19,5.17
202001,1.84,-2.10
