Amelia County, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.26,0.77
200002,1.75,-1.29
200003,3.30,-0.52
200004,5.07,1.68
200005,3.71,-0.05
200006,5.69,1.93
200007,5.56,1.17
200008,3.55,-0.93
200009,4.67,0.99
200010,0.03,-3.18
200011,1.77,-1.10
200012,2.45,-0.76
200101,2.54,-0.95
200102,2.46,-0.58
200103,5.83,2.01
200104,1.47,-1.92
200105,3.53,-0.23
200106,5.77,2.01
200107,4.41,0.02
200108,4.40,-0.08
200109,1.60,-2.08
200110,0.53,-2.68
200111,0.32,-2.55
200112,2.24,-0.97
200201,3.22,-0.27
200202,1.04,-2.00
200203,4.32,0.50
200204,2.51,-0.88
200205,3.55,-0.21
200206,1.88,-1.88
200207,2.25,-2.14
200208,4.30,-0.18
200209,2.66,-1.02
200210,6.69,3.48
200211,4.68,1.81
200212,4.17,0.96
200301,1.95,-1.54
200302,5.33,2.29
200303,5.69,1.87
200304,5.14,1.75
200305,9.21,5.45
200306,5.79,2.03
200307,7.06,2.67
200308,3.98,-0.50
200309,11.61,7.93
200310,2.43,-0.78
200311,3.61,0.74
200312,5.01,1.80
200401,2.03,-1.46
200402,1.88,-1.16
200403,1.82,-2.00
200404,3.43,0.04
200405,4.04,0.28
200406,6.62,2.86
200407,6.83,2.44
200408,10.20,5.72
200409,6.09,2.41
200410,1.98,-1.23
200411,4.65,1.78
200412,2.17,-1.04
200501,3.18,-0.31
200502,1.69,-1.35
200503,4.08,0.26
200504,2.08,-1.31
200505,3.22,-0.54
200506,1.35,-2.41
200507,5.95,1.56
200508,3.11,-1.37
200509,0.29,-3.39
200510,5.24,2.03
200511,3.05,0.18
200512,4.73,1.52
200601,2.39,-1.10
200602,1.94,-1.10
200603,0.31,-3.51
200604,2.48,-0.91
200605,2.48,-1.28
200606,5.34,1.58
200607,5.10,0.71
200608,3.81,-0.67
200609,7.66,3.98
200610,6.85,3.64
200611,7.22,4.35
200612,1.52,-1.69
200701,4.12,0.63
200702,1.91,-1.13
200703,2.94,-0.88
200704,3.65,0.26
200705,3.43,-0.33
200706,3.34,-0.42
200707,3.24,-1.15
200708,5.13,0.65
200709,0.78,-2.90
200710,5.06,1.85
200711,0.59,-2.28
200712,3.62,0.41
200801,1.11,-2.38
200802,2.50,-0.54
200803,3.27,-0.55
200804,6.60,3.21
200805,4.44,0.68
200806,1.50,-2.26
200807,3.74,-0.65
200808,5.40,0.92
200809,6.27,2.59
200810,1.40,-1.81
200811,3.04,0.17
200812,4.79,1.58
200901,1.70,-1.79
200902,0.44,-2.60
200903,4.46,0.64
200904,2.52,-0.87
200905,4.63,0.87
200906,5.02,1.26
200907,3.17,-1.22
200908,3.99,-0.49
200909,4.50,0.82
200910,3.06,-0.15
200911,9.51,6.64
200912,8.33,5.12
201001,4.46,0.97
201002,2.63,-0.41
201003,5.17,1.35
201004,1.64,-1.75
201005,4.06,0.30
201006,1.90,-1.86
201007,1.97,-2.42
201008,4.91,0.43
201009,4.54,0.86
201010,4.51,1.30
201011,1.67,-1.20
201012,2.35,-0.86
201101,1.50,-1.99
201102,1.16,-1.88
201103,4.09,0.27
201104,3.28,-0.11
201105,3.53,-0.23
201106,2.89,-0.87
201107,6.66,2.27
201108,4.96,0.48
201109,6.10,2.42
201110,3.95,0.74
201111,4.27,1.40
201112,3.08,-0.13
201201,1.76,-1.73
201202,2.83,-0.21
201203,3.42,-0.40
201204,2.44,-0.95
201205,2.81,-0.95
201206,1.43,-2.33
201207,3.84,-0.55
201208,4.72,0.24
201209,4.58,0.90
201210,3.39,0.18
201211,0.42,-2.45
201212,3.28,0.07
201301,6.72,3.23
201302,2.39,-0.65
201303,5.01,1.19
201304,3.87,0.48
201305,4.14,0.38
201306,7.49,3.73
201307,6.76,2.37
201308,2.78,-1.70
201309,1.73,-1.95
201310,2.85,-0.36
201311,2.79,-0.08
201312,5.10,1.89
201401,4.37,0.88
201402,3.11,0.07
201403,3.11,-0.71
201404,5.55,2.16
201405,5.51,1.75
201406,3.62,-0.14
201407,2.76,-1.63
201408,3.70,-0.78
201409,2.96,-0.72
201410,3.80,0.59
201411,2.73,-0.14
201412,3.46,0.25
201501,2.82,-0.67
201502,3.43,0.39
201503,3.74,-0.08
201504,3.90,0.51
201505,1.55,-2.21
201506,8.07,4.31
201507,3.79,-0.60
201508,2.86,-1.62
201509,5.36,1.68
201510,4.69,1.48
201511,4.05,1.18
201512,7.02,3.81
201601,3.00,-0.49
201602,4.71,1.67
201603,2.13,-1.69
201604,2.73,-0.66
201605,9.24,5.48
201606,3.86,0.10
201607,3.92,-0.47
201608,3.07,-1.41
201609,4.71,1.03
201610,4.36,1.15
201611,1.32,-1.55
201612,2.80,-0.41
201701,4.80,1.31
201702,0.81,-2.23
201703,2.61,-1.21
201704,4.70,1.31
201705,6.78,3.02
201706,3.80,0.04
201707,2.89,-1.50
201708,5.77,1.29
201709,1.48,-2.20
201710,3.67,0.46
201711,1.22,-1.65
201712,1.02,-2.19
201801,2.94,-0.55
201802,2.78,-0.26
201803,2.78,-1.04
201804,5.65,2.26
201805,7.64,3.88
201806,6.53,2.77
201807,3.75,-0.64
201808,5.64,1.16
201809,6.72,3.04
201810,7.78,4.57
201811,6.08,3.21
201812,4.11,0.90
201901,3.13,-0.36
201902,5.06,2.02
201903,3.37,-0.45
201904,3.34,-0.05
201905,3.06,-0.70
201906,4.70,0.94
201907,5.07,0.68
201908,1.89,-2.59
201909,0.73,-2.95
201910,4.39,1.18
201911,2.28,-0.59
201912,3.25,0.04
202001,2.93,-0.56
