Utah County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.59,0.57
200002,3.30,1.37
200003,1.76,-0.27
200004,1.02,-0.80
200005,1.61,-0.07
200006,0.60,-0.40
200007,0.20,-0.76
200008,1.75,0.53
200009,1.57,0.36
200010,2.85,1.20
200011,1.28,-0.39
200012,1.25,-0.62
200101,0.98,-1.04
200102,1.30,-0.63
200103,1.44,-0.59
200104,2.62,0.80
200105,0.59,-1.09
200106,0.35,-0.65
200107,0.95,-0.01
200108,1.07,-0.15
200109,0.34,-0.87
200110,1.15,-0.50
200111,3.15,1.48
200112,1.85,-0.02
200201,0.71,-1.31
200202,0.58,-1.35
200203,1.96,-0.07
200204,1.61,-0.21
200205,0.66,-1.02
200206,0.21,-0.79
200207,0.52,-0.44
200208,0.17,-1.05
200209,2.65,1.44
200210,1.60,-0.05
200211,1.44,-0.23
200212,1.19,-0.68
200301,0.68,-1.34
200302,1.74,-0.19
200303,1.86,-0.17
200304,1.64,-0.18
200305,1.86,0.18
200306,1.35,0.35
200307,0.26,-0.70
200308,1.26,0.04
200309,0.71,-0.50
200310,0.47,-1.18
200311,2.45,0.78
200312,3.47,1.60
200401,1.13,-0.89
200402,2.80,0.87
200403,0.73,-1.30
200404,2.00,0.18
200405,1.00,-0.68
200406,1.13,0.13
200407,0.79,-0.17
200408,0.86,-0.36
200409,0.74,-0.47
200410,5.06,3.41
200411,1.50,-0.17
200412,1.90,0.03
200501,3.23,1.21
200502,2.18,0.25
200503,2.58,0.55
200504,2.36,0.54
200505,3.23,1.55
200506,1.27,0.27
200507,0.36,-0.60
200508,0.70,-0.52
200509,0.88,-0.33
200510,1.90,0.25
200511,1.34,-0.33
200512,2.45,0.58
200601,2.89,0.87
200602,1.27,-0.66
200603,3.29,1.26
200604,2.36,0.54
200605,0.72,-0.96
200606,0.63,-0.37
200607,0.80,-0.16
200608,0.90,-0.32
200609,2.11,0.90
200610,2.50,0.85
200611,1.42,-0.25
200612,1.24,-0.63
200701,0.74,-1.28
200702,2.11,0.18
200703,1.29,-0.74
200704,0.84,-0.98
200705,1.06,-0.62
200706,0.85,-0.15
200707,0.74,-0.22
200708,0.87,-0.35
200709,1.96,0.75
200710,1.90,0.25
200711,0.47,-1.20
200712,3.40,1.53
200801,2.71,0.69
200802,2.50,0.57
200803,1.26,-0.77
200804,0.91,-0.91
200805,2.01,0.33
200806,0.89,-0.11
200807,0.49,-0.47
200808,0.77,-0.45
200809,1.23,0.02
200810,1.21,-0.44
200811,1.56,-0.11
200812,2.53,0.66
200901,3.14,1.12
200902,1.71,-0.22
200903,1.65,-0.38
200904,3.38,1.56
200905,1.56,-0.12
200906,2.70,1.70
200907,0.35,-0.61
200908,0.41,-0.81
200909,1.19,-0.02
200910,1.31,-0.34
200911,0.49,-1.18
200912,2.22,0.35
201001,1.26,-0.76
201002,0.98,-0.95
201003,1.59,-0.44
201004,2.58,0.76
201005,2.43,0.75
201006,1.20,0.20
201007,0.43,-0.53
201008,1.68,0.46
201009,0.25,-0.96
201010,3.24,1.59
201011,2.44,0.77
201012,5.42,3.55
201101,0.96,-1.06
201102,1.91,-0.02
201103,2.15,0.12
201104,3.53,1.71
201105,3.81,2.13
201106,1.08,0.08
201107,1.71,0.75
201108,1.24,0.02
201109,0.81,-0.40
201110,1.82,0.17
201111,1.55,-0.12
201112,0.38,-1.49
201201,2.12,0.10
201202,2.01,0.08
201203,1.25,-0.78
201204,1.36,-0.46
201205,0.56,-1.12
201206,0.05,-0.95
201207,1.56,0.60
201208,0.61,-0.61
201209,1.29,0.08
201210,0.97,-0.68
201211,1.63,-0.04
201212,3.04,1.17
201301,1.52,-0.50
201302,0.70,-1.23
201303,0.59,-1.44
201304,1.88,0.06
201305,1.15,-0.53
201306,0.04,-0.96
201307,1.39,0.43
201308,1.11,-0.11
201309,2.70,1.49
201310,1.57,-0.08
201311,0.93,-0.74
201312,1.57,-0.30
201401,1.21,-0.81
201402,2.23,0.30
201403,1.70,-0.33
201404,1.55,-0.27
201405,1.04,-0.64
201406,0.62,-0.38
201407,1.29,0.33
201408,2.90,1.68
201409,3.07,1.86
201410,0.26,-1.39
201411,1.26,-0.41
201412,2.68,0.81
201501,1.05,-0.97
201502,0.35,-1.58
201503,0.80,-1.23
201504,1.47,-0.35
201505,3.23,1.55
201506,0.57,-0.43
201507,0.95,-0.01
201508,1.52,0.30
201509,1.09,-0.12
201510,1.21,-0.44
201511,1.40,-0.27
201512,2.57,0.70
201601,2.25,0.23
201602,0.89,-1.04
201603,1.82,-0.21
201604,1.85,0.03
201605,1.71,0.03
201606,0.32,-0.68
201607,0.24,-0.72
201608,0.42,-0.80
201609,2.21,1.00
201610,1.27,-0.38
201611,1.71,0.04
201612,3.02,1.15
201701,4.77,2.75
201702,3.27,1.34
201703,2.31,0.28
201704,2.02,0.20
201705,0.72,-0.96
201706,0.22,-0.78
201707,1.08,0.12
201708,0.87,-0.35
201709,1.95,0.74
201710,0.24,-1.41
201711,0.89,-0.78
201712,0.79,-1.08
201801,1.38,-0.64
201802,1.43,-0.50
201803,2.24,0.21
201804,2.02,0.20
201805,1.57,-0.11
201806,0.02,-0.98
201807,0.56,-0.40
201808,1.34,0.12
201809,0.03,-1.18
201810,3.29,1.64
201811,1.89,0.22
201812,1.48,-0.39
201901,3.11,1.09
201902,2.86,0.93
201903,3.96,1.93
201904,2.70,0.88
201905,3.73,2.05
201906,0.66,-0.34
201907,0.64,-0.32
201908,0.57,-0.65
201909,1.50,0.29
201910,0.57,-1.08
201911,1.57,-0.10
201912,2.01,0.14
202001,1.77,-0.25
