Worcester County, Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.54,-0.08
200002,3.37,0.24
200003,4.25,0.34
200004,6.34,2.53
200005,3.84,0.29
200006,6.31,2.53
200007,4.75,0.91
200008,3.49,-0.36
200009,3.47,-0.33
200010,2.32,-1.14
200011,3.47,-0.50
200012,4.22,0.44
200101,1.93,-1.69
200102,3.04,-0.09
200103,7.81,3.90
200104,1.59,-2.22
200105,2.47,-1.08
200106,6.39,2.61
200107,3.39,-0.45
200108,3.21,-0.64
200109,3.40,-0.40
200110,0.80,-2.66
200111,1.30,-2.67
200112,2.92,-0.86
200201,2.30,-1.32
200202,2.43,-0.70
200203,4.20,0.29
200204,3.78,-0.03
200205,5.49,1.94
200206,4.82,1.04
200207,2.18,-1.66
200208,3.06,-0.79
200209,3.82,0.02
200210,3.95,0.49
200211,5.50,1.53
200212,5.07,1.29
200301,2.86,-0.76
200302,4.10,0.97
200303,4.09,0.18
200304,3.83,0.02
200305,4.49,0.94
200306,5.83,2.05
200307,2.26,-1.58
200308,5.33,1.48
200309,4.92,1.12
200310,5.63,2.17
200311,2.46,-1.51
200312,5.66,1.88
200401,1.45,-2.17
200402,1.61,-1.52
200403,2.20,-1.71
200404,7.94,4.13
200405,3.94,0.39
200406,2.08,-1.70
200407,4.13,0.29
200408,4.99,1.14
200409,8.00,4.20
200410,2.15,-1.31
200411,3.73,-0.24
200412,4.57,0.79
200501,5.14,1.52
200502,2.93,-0.20
200503,4.62,0.71
200504,5.57,1.76
200505,4.26,0.71
200506,2.58,-1.20
200507,4.03,0.19
200508,2.92,-0.93
200509,2.51,-1.29
200510,15.45,11.99
200511,4.84,0.87
200512,4.20,0.42
200601,5.27,1.65
200602,2.94,-0.19
200603,0.60,-3.31
200604,2.48,-1.33
200605,7.44,3.89
200606,9.22,5.44
200607,3.79,-0.05
200608,4.61,0.76
200609,2.33,-1.47
200610,6.37,2.91
200611,5.78,1.81
200612,2.13,-1.65
200701,3.14,-0.48
200702,2.17,-0.96
200703,4.88,0.97
200704,7.77,3.96
200705,3.70,0.15
200706,2.88,-0.90
200707,4.45,0.61
200708,1.44,-2.41
200709,2.67,-1.13
200710,3.65,0.19
200711,3.44,-0.53
200712,4.81,1.03
200801,2.76,-0.86
200802,9.65,6.52
200803,5.25,1.34
200804,4.17,0.36
200805,2.10,-1.45
200806,4.83,1.05
200807,7.34,3.50
200808,4.00,0.15
200809,8.49,4.69
200810,2.62,-0.84
200811,3.63,-0.34
200812,7.12,3.34
200901,3.91,0.29
200902,1.79,-1.34
200903,2.96,-0.95
200904,4.10,0.29
200905,3.83,0.28
200906,5.61,1.83
200907,8.71,4.87
200908,4.29,0.44
200909,1.71,-2.09
200910,5.66,2.20
200911,3.38,-0.59
200912,4.64,0.86
201001,3.37,-0.25
201002,4.49,1.36
201003,10.33,6.42
201004,1.55,-2.26
201005,2.90,-0.65
201006,3.65,-0.13
201007,2.94,-0.90
201008,3.68,-0.17
201009,2.08,-1.72
201010,6.34,2.88
201011,3.91,-0.06
201012,4.05,0.27
201101,3.59,-0.03
201102,4.25,1.12
201103,4.55,0.64
201104,5.24,1.43
201105,3.84,0.29
201106,5.87,2.09
201107,2.21,-1.63
201108,11.08,7.23
201109,7.25,3.45
201110,7.01,3.55
201111,4.15,0.18
201112,4.72,0.94
201201,3.15,-0.47
201202,0.96,-2.17
201203,1.72,-2.19
201204,3.22,-0.59
201205,4.40,0.85
201206,4.47,0.69
201207,2.57,-1.27
201208,5.32,1.47
201209,5.09,1.29
201210,5.23,1.77
201211,0.82,-3.15
201212,4.81,1.03
201301,1.92,-1.70
201302,4.22,1.09
201303,2.81,-1.10
201304,1.99,-1.82
201305,5.02,1.47
201306,9.76,5.98
201307,3.87,0.03
201308,3.53,-0.32
201309,3.40,-0.40
201310,1.80,-1.66
201311,3.54,-0.43
201312,4.10,0.32
201401,3.31,-0.31
201402,4.08,0.95
201403,4.81,0.90
201404,4.05,0.24
201405,4.57,1.02
201406,2.14,-1.64
201407,6.03,2.19
201408,3.37,-0.48
201409,1.83,-1.97
201410,6.41,2.95
201411,4.31,0.34
201412,5.14,1.36
201501,4.28,0.66
201502,3.13,0.00
201503,2.53,-1.38
201504,2.69,-1.12
201505,0.79,-2.76
201506,6.99,3.21
201507,3.14,-0.70
201508,2.52,-1.33
201509,4.12,0.32
201510,3.75,0.29
201511,2.08,-1.89
201512,4.75,0.97
201601,2.14,-1.48
201602,4.58,1.45
201603,3.35,-0.56
201604,2.97,-0.84
201605,2.65,-0.90
201606,1.81,-1.97
201607,2.12,-1.72
201608,4.07,0.22
201609,2.38,-1.42
201610,5.23,1.77
201611,2.60,-1.37
201612,3.82,0.04
201701,3.60,-0.02
201702,2.70,-0.43
201703,3.17,-0.74
201704,5.28,1.47
201705,6.10,2.55
201706,4.54,0.76
201707,4.02,0.18
201708,2.96,-0.89
201709,3.05,-0.75
201710,8.72,5.26
201711,1.63,-2.34
201712,2.72,-1.06
201801,4.22,0.60
201802,4.71,1.58
201803,4.03,0.12
201804,5.19,1.38
201805,2.03,-1.52
201806,4.22,0.44
201807,5.53,1.69
201808,7.08,3.23
201809,8.26,4.46
201810,4.69,1.23
201811,8.85,4.88
201812,3.93,0.15
201901,5.15,1.53
201902,3.22,0.09
201903,2.53,-1.38
201904,7.82,4.01
201905,3.69,0.14
201906,4.03,0.25
201907,4.93,1.09
201908,4.50,0.65
201909,1.67,-2.13
201910,6.30,2.84
201911,3.18,-0.79
201912,6.87,3.09
202001,1.96,-1.66
