Williamson County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.25,-0.17
200002,5.07,2.16
200003,3.36,-0.87
200004,2.57,-1.75
200005,5.03,0.80
200006,9.80,5.86
200007,3.59,0.10
200008,4.42,0.82
200009,2.93,-0.49
200010,1.07,-1.96
200011,4.34,0.73
200012,3.30,-0.12
200101,0.86,-2.56
200102,3.58,0.67
200103,1.92,-2.31
200104,2.51,-1.81
200105,5.12,0.89
200106,2.40,-1.54
200107,5.36,1.87
200108,4.93,1.33
200109,2.88,-0.54
200110,8.56,5.53
200111,4.46,0.85
200112,6.39,2.97
200201,3.02,-0.40
200202,2.25,-0.66
200203,7.09,2.86
200204,5.61,1.29
200205,9.30,5.07
200206,2.44,-1.50
200207,0.85,-2.64
200208,1.57,-2.03
200209,4.14,0.72
200210,3.81,0.78
200211,2.12,-1.49
200212,6.53,3.11
200301,1.12,-2.30
200302,5.16,2.25
200303,2.27,-1.96
200304,4.60,0.28
200305,6.05,1.82
200306,5.35,1.41
200307,1.95,-1.54
200308,3.81,0.21
200309,3.02,-0.40
200310,1.97,-1.06
200311,4.93,1.32
200312,1.98,-1.44
200401,3.07,-0.35
200402,1.27,-1.64
200403,4.84,0.61
200404,2.70,-1.62
200405,7.64,3.41
200406,2.48,-1.46
200407,5.01,1.52
200408,2.73,-0.87
200409,0.20,-3.22
200410,5.86,2.83
200411,6.30,2.69
200412,2.46,-0.96
200501,4.81,1.39
200502,2.64,-0.27
200503,3.17,-1.06
200504,2.93,-1.39
200505,2.16,-2.07
200506,2.16,-1.78
200507,5.26,1.77
200508,4.22,0.62
200509,3.81,0.39
200510,0.95,-2.08
200511,6.94,3.33
200512,0.71,-2.71
200601,4.26,0.84
200602,2.17,-0.74
200603,8.81,4.58
200604,3.23,-1.09
200605,4.51,0.28
200606,2.53,-1.41
200607,7.84,4.35
200608,3.24,-0.36
200609,5.44,2.02
200610,6.44,3.41
200611,4.85,1.24
200612,4.28,0.86
200701,4.80,1.38
200702,4.14,1.23
200703,2.15,-2.08
200704,3.60,-0.72
200705,2.56,-1.67
200706,4.29,0.35
200707,2.01,-1.48
200708,1.23,-2.37
200709,2.14,-1.28
200710,5.57,2.54
200711,1.65,-1.96
200712,7.42,4.00
200801,1.93,-1.49
200802,6.86,3.95
200803,11.82,7.59
200804,6.20,1.88
200805,6.50,2.27
200806,2.06,-1.88
200807,5.93,2.44
200808,1.96,-1.64
200809,2.18,-1.24
200810,3.50,0.47
200811,2.57,-1.04
200812,3.50,0.08
200901,2.62,-0.80
200902,2.33,-0.58
200903,2.69,-1.54
200904,7.16,2.84
200905,7.35,3.12
200906,3.69,-0.25
200907,7.42,3.93
200908,4.07,0.47
200909,3.95,0.53
200910,9.80,6.77
200911,0.98,-2.63
200912,5.24,1.82
201001,1.94,-1.48
201002,1.81,-1.10
201003,4.56,0.33
201004,3.63,-0.69
201005,4.65,0.42
201006,4.21,0.27
201007,2.14,-1.35
201008,3.97,0.37
201009,1.56,-1.86
201010,0.80,-2.23
201011,5.22,1.61
201012,1.48,-1.94
201101,1.20,-2.22
201102,4.11,1.20
201103,5.17,0.94
201104,15.60,11.28
201105,7.60,3.37
201106,7.34,3.40
201107,4.48,0.99
201108,1.97,-1.63
201109,7.30,3.88
201110,1.88,-1.15
201111,7.67,4.06
201112,5.24,1.82
201201,2.79,-0.63
201202,1.91,-1.00
201203,3.82,-0.41
201204,2.37,-1.95
201205,0.93,-3.30
201206,0.94,-3.00
201207,2.64,-0.85
201208,4.14,0.54
201209,5.32,1.90
201210,3.74,0.71
201211,1.78,-1.83
201212,3.23,-0.19
201301,6.03,2.61
201302,3.09,0.18
201303,4.92,0.69
201304,4.44,0.12
201305,4.06,-0.17
201306,4.33,0.39
201307,4.64,1.15
201308,3.05,-0.55
201309,1.02,-2.40
201310,4.53,1.50
201311,3.83,0.22
201312,6.93,3.51
201401,2.05,-1.37
201402,1.67,-1.24
201403,2.59,-1.64
201404,8.57,4.25
201405,4.92,0.69
201406,5.25,1.31
201407,2.63,-0.86
201408,3.72,0.12
201409,1.73,-1.69
201410,3.51,0.48
201411,2.38,-1.23
201412,3.09,-0.33
201501,2.88,-0.54
201502,1.94,-0.97
201503,6.38,2.15
201504,5.41,1.09
201505,4.51,0.28
201506,8.75,4.81
201507,6.90,3.41
201508,2.87,-0.73
201509,3.78,0.36
201510,1.27,-1.76
201511,7.07,3.46
201512,6.54,3.12
201601,1.37,-2.05
201602,3.17,0.26
201603,4.43,0.20
201604,4.77,0.45
201605,7.28,3.05
201606,1.75,-2.19
201607,10.05,6.56
201608,8.75,5.15
201609,5.52,2.10
201610,1.30,-1.73
201611,3.01,-0.60
201612,1.57,-1.85
201701,2.25,-1.17
201702,0.72,-2.19
201703,3.80,-0.43
201704,13.62,9.30
201705,4.73,0.50
201706,2.61,-1.33
201707,3.24,-0.25
201708,3.04,-0.56
201709,1.09,-2.33
201710,4.30,1.27
201711,2.98,-0.63
201712,2.30,-1.12
201801,2.14,-1.28
201802,8.19,5.28
201803,7.56,3.33
201804,4.75,0.43
201805,4.89,0.66
201806,5.68,1.74
201807,3.74,0.25
201808,4.32,0.72
201809,6.91,3.49
201810,1.65,-1.38
201811,4.14,0.53
201812,5.10,1.68
201901,5.13,1.71
201902,6.56,3.65
201903,3.76,-0.47
201904,7.03,2.71
201905,7.53,3.30
201906,6.56,2.62
201907,3.47,-0.02
201908,2.29,-1.31
201909,0.47,-2.95
201910,7.21,4.18
201911,4.00,0.39
201912,2.04,-1.38
202001,6.01,2.59
