Alachua County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.18,0.04
200002,0.77,-2.69
200003,2.78,-1.12
200004,1.02,-1.99
200005,0.57,-3.09
200006,6.24,-0.58
200007,6.76,-0.70
200008,6.20,-1.34
200009,9.14,3.57
200010,0.85,-2.27
200011,1.92,-0.06
200012,0.91,-1.98
200101,1.29,-1.85
200102,1.09,-2.37
200103,6.46,2.56
200104,1.06,-1.95
200105,1.34,-2.32
200106,9.24,2.42
200107,9.71,2.25
200108,3.96,-3.58
200109,9.29,3.72
200110,0.18,-2.94
200111,0.78,-1.20
200112,1.23,-1.66
200201,4.04,0.90
200202,1.26,-2.20
200203,2.64,-1.26
200204,1.97,-1.04
200205,1.95,-1.71
200206,7.87,1.05
200207,9.28,1.82
200208,8.19,0.65
200209,6.58,1.01
200210,3.40,0.28
200211,4.36,2.38
200212,6.86,3.97
200301,1.29,-1.85
200302,5.65,2.19
200303,7.66,3.76
200304,1.66,-1.35
200305,2.78,-0.88
200306,10.09,3.27
200307,5.54,-1.92
200308,8.11,0.57
200309,4.82,-0.75
200310,3.21,0.09
200311,2.01,0.03
200312,0.88,-2.01
200401,1.72,-1.42
200402,6.12,2.66
200403,1.82,-2.08
200404,0.94,-2.07
200405,1.64,-2.02
200406,6.55,-0.27
200407,6.66,-0.80
200408,10.61,3.07
200409,21.36,15.79
200410,2.79,-0.33
200411,2.09,0.11
200412,2.16,-0.73
200501,1.47,-1.67
200502,1.98,-1.48
200503,5.29,1.39
200504,5.09,2.08
200505,5.16,1.50
200506,8.58,1.76
200507,5.33,-2.13
200508,7.01,-0.53
200509,2.30,-3.27
200510,3.44,0.32
200511,1.59,-0.39
200512,6.96,4.07
200601,2.79,-0.35
200602,5.17,1.71
200603,0.30,-3.60
200604,2.71,-0.30
200605,1.15,-2.51
200606,5.54,-1.28
200607,5.32,-2.14
200608,4.15,-3.39
200609,3.50,-2.07
200610,2.30,-0.82
200611,1.16,-0.82
200612,3.21,0.32
200701,3.33,0.19
200702,3.20,-0.26
200703,1.72,-2.18
200704,0.88,-2.13
200705,0.86,-2.80
200706,6.51,-0.31
200707,7.65,0.19
200708,5.60,-1.94
200709,5.17,-0.40
200710,5.95,2.83
200711,0.76,-1.22
200712,2.47,-0.42
200801,3.25,0.11
200802,3.67,0.21
200803,4.28,0.38
200804,1.88,-1.13
200805,0.59,-3.07
200806,6.30,-0.52
200807,6.15,-1.31
200808,11.80,4.26
200809,1.89,-3.68
200810,2.75,-0.37
200811,0.98,-1.00
200812,1.63,-1.26
200901,3.54,0.40
200902,1.81,-1.65
200903,3.13,-0.77
200904,3.52,0.51
200905,8.58,4.92
200906,5.30,-1.52
200907,7.56,0.10
200908,8.00,0.46
200909,4.31,-1.26
200910,1.39,-1.73
200911,2.46,0.48
200912,3.50,0.61
201001,4.75,1.61
201002,4.10,0.64
201003,4.29,0.39
201004,1.65,-1.36
201005,6.55,2.89
201006,5.81,-1.01
201007,5.74,-1.72
201008,7.19,-0.35
201009,3.02,-2.55
201010,0.01,-3.11
201011,1.05,-0.93
201012,0.84,-2.05
201101,4.67,1.53
201102,3.87,0.41
201103,2.92,-0.98
201104,1.89,-1.12
201105,2.16,-1.50
201106,5.69,-1.13
201107,6.00,-1.46
201108,5.38,-2.16
201109,3.60,-1.97
201110,4.15,1.03
201111,1.86,-0.12
201112,0.85,-2.04
201201,1.04,-2.10
201202,1.72,-1.74
201203,2.25,-1.65
201204,1.97,-1.04
201205,7.41,3.75
201206,18.00,11.18
201207,4.14,-3.32
201208,11.27,3.73
201209,6.09,0.52
201210,1.37,-1.75
201211,0.12,-1.86
201212,4.13,1.24
201301,0.46,-2.68
201302,2.60,-0.86
201303,1.70,-2.20
201304,3.31,0.30
201305,5.55,1.89
201306,6.17,-0.65
201307,13.44,5.98
201308,6.26,-1.28
201309,4.56,-1.01
201310,0.63,-2.49
201311,3.67,1.69
201312,3.78,0.89
201401,5.53,2.39
201402,5.08,1.62
201403,6.38,2.48
201404,3.00,-0.01
201405,4.84,1.18
201406,4.99,-1.83
201407,6.60,-0.86
201408,5.57,-1.97
201409,9.45,3.88
201410,1.29,-1.83
201411,3.10,1.12
201412,3.14,0.25
201501,3.46,0.32
201502,2.04,-1.42
201503,1.68,-2.22
201504,3.48,0.47
201505,2.81,-0.85
201506,4.33,-2.49
201507,9.34,1.88
201508,12.29,4.75
201509,7.12,1.55
201510,1.19,-1.93
201511,2.67,0.69
201512,1.86,-1.03
201601,3.05,-0.09
201602,4.15,0.69
201603,2.33,-1.57
201604,2.26,-0.75
201605,3.51,-0.15
201606,8.68,1.86
201607,2.95,-4.51
201608,6.47,-1.07
201609,8.39,2.82
201610,1.46,-1.66
201611,0.07,-1.91
201612,3.07,0.18
201701,2.24,-0.90
201702,0.87,-2.59
201703,0.78,-3.12
201704,3.11,0.10
201705,4.53,0.87
201706,14.23,7.41
201707,14.33,6.87
201708,7.44,-0.10
201709,7.86,2.29
201710,2.40,-0.72
201711,2.98,1.00
201712,2.70,-0.19
201801,4.71,1.57
201802,1.63,-1.83
201803,2.94,-0.96
201804,6.48,3.47
201805,9.49,5.83
201806,6.48,-0.34
201807,8.50,1.04
201808,8.54,1.00
201809,4.27,-1.30
201810,1.13,-1.99
201811,2.69,0.71
201812,9.60,6.71
201901,5.04,1.90
201902,1.28,-2.18
201903,1.83,-2.07
201904,2.83,-0.18
201905,2.88,-0.78
201906,9.31,2.49
201907,6.34,-1.12
201908,10.11,2.57
201909,1.12,-4.45
201910,4.18,1.06
201911,2.16,0.18
201912,5.45,2.56
202001,0.75,-2.39
