Bear Lake County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.05,0.60
200002,3.01,0.93
200003,1.27,-0.87
200004,0.98,-1.16
200005,1.92,-0.08
200006,0.50,-1.03
200007,0.36,-0.54
200008,1.33,0.28
200009,0.91,-0.36
200010,2.34,0.65
200011,1.19,-0.79
200012,1.83,-0.36
200101,0.74,-1.71
200102,1.43,-0.65
200103,1.28,-0.86
200104,1.91,-0.23
200105,0.79,-1.21
200106,0.74,-0.79
200107,0.76,-0.14
200108,0.14,-0.91
200109,0.40,-0.87
200110,1.14,-0.55
200111,2.46,0.48
200112,3.12,0.93
200201,1.61,-0.84
200202,0.65,-1.43
200203,1.45,-0.69
200204,2.17,0.03
200205,1.34,-0.66
200206,0.49,-1.04
200207,0.99,0.09
200208,0.07,-0.98
200209,2.36,1.09
200210,2.01,0.32
200211,1.57,-0.41
200212,1.74,-0.45
200301,1.00,-1.45
200302,2.19,0.11
200303,2.20,0.06
200304,0.78,-1.36
200305,1.89,-0.11
200306,0.90,-0.63
200307,0.33,-0.57
200308,1.31,0.26
200309,0.90,-0.37
200310,0.62,-1.07
200311,2.38,0.40
200312,3.23,1.04
200401,1.79,-0.66
200402,1.85,-0.23
200403,0.83,-1.31
200404,1.67,-0.47
200405,2.81,0.81
200406,1.57,0.04
200407,0.83,-0.07
200408,1.53,0.48
200409,1.91,0.64
200410,4.29,2.60
200411,1.00,-0.98
200412,2.24,0.05
200501,4.41,1.96
200502,1.48,-0.60
200503,1.77,-0.37
200504,3.11,0.97
200505,3.25,1.25
200506,2.74,1.21
200507,0.33,-0.57
200508,0.84,-0.21
200509,0.65,-0.62
200510,1.44,-0.25
200511,2.35,0.37
200512,4.61,2.42
200601,4.20,1.75
200602,1.36,-0.72
200603,2.39,0.25
200604,2.11,-0.03
200605,0.97,-1.03
200606,0.75,-0.78
200607,0.70,-0.20
200608,1.06,0.01
200609,2.06,0.79
200610,1.83,0.14
200611,2.39,0.41
200612,1.54,-0.65
200701,0.79,-1.66
200702,2.51,0.43
200703,1.44,-0.70
200704,1.45,-0.69
200705,0.93,-1.07
200706,0.84,-0.69
200707,0.88,-0.02
200708,0.84,-0.21
200709,1.39,0.12
200710,1.89,0.20
200711,0.60,-1.38
200712,2.56,0.37
200801,3.17,0.72
200802,2.11,0.03
200803,2.16,0.02
200804,0.94,-1.20
200805,2.96,0.96
200806,1.20,-0.33
200807,0.07,-0.83
200808,1.19,0.14
200809,1.00,-0.27
200810,1.29,-0.40
200811,2.17,0.19
200812,2.77,0.58
200901,2.38,-0.07
200902,1.99,-0.09
200903,2.35,0.21
200904,2.69,0.55
200905,2.05,0.05
200906,4.83,3.30
200907,0.38,-0.52
200908,0.92,-0.13
200909,0.37,-0.90
200910,2.35,0.66
200911,0.44,-1.54
200912,1.31,-0.88
201001,1.83,-0.62
201002,1.16,-0.92
201003,1.18,-0.96
201004,2.93,0.79
201005,2.89,0.89
201006,2.06,0.53
201007,0.16,-0.74
201008,1.08,0.03
201009,0.31,-0.96
201010,2.96,1.27
201011,3.56,1.58
201012,4.66,2.47
201101,1.79,-0.66
201102,2.21,0.13
201103,3.29,1.15
201104,3.87,1.73
201105,3.07,1.07
201106,1.76,0.23
201107,0.89,-0.01
201108,1.97,0.92
201109,0.68,-0.59
201110,1.96,0.27
201111,2.46,0.48
201112,0.63,-1.56
201201,2.23,-0.22
201202,1.30,-0.78
201203,1.31,-0.83
201204,1.62,-0.52
201205,1.98,-0.02
201206,0.12,-1.41
201207,1.28,0.38
201208,0.31,-0.74
201209,0.69,-0.58
201210,1.91,0.22
201211,1.81,-0.17
201212,4.00,1.81
201301,1.00,-1.45
201302,1.34,-0.74
201303,1.09,-1.05
201304,2.55,0.41
201305,2.30,0.30
201306,0.19,-1.34
201307,1.14,0.24
201308,0.68,-0.37
201309,2.37,1.10
201310,1.27,-0.42
201311,1.14,-0.84
201312,1.67,-0.52
201401,1.96,-0.49
201402,4.60,2.52
201403,2.65,0.51
201404,1.58,-0.56
201405,1.38,-0.62
201406,1.24,-0.29
201407,1.19,0.29
201408,4.63,3.58
201409,3.67,2.40
201410,0.78,-0.91
201411,2.26,0.28
201412,2.17,-0.02
201501,1.10,-1.35
201502,1.45,-0.63
201503,1.12,-1.02
201504,1.50,-0.64
201505,5.74,3.74
201506,0.91,-0.62
201507,1.65,0.75
201508,1.29,0.24
201509,2.04,0.77
201510,1.12,-0.57
201511,1.77,-0.21
201512,2.27,0.08
201601,2.33,-0.12
201602,1.16,-0.92
201603,4.22,2.08
201604,1.86,-0.28
201605,4.18,2.18
201606,0.60,-0.93
201607,0.23,-0.67
201608,0.19,-0.86
201609,3.07,1.80
201610,4.67,2.98
201611,1.31,-0.67
201612,4.16,1.97
201701,6.03,3.58
201702,5.81,3.73
201703,2.75,0.61
201704,3.33,1.19
201705,1.22,-0.78
201706,0.91,-0.62
201707,0.44,-0.46
201708,0.56,-0.49
201709,2.85,1.58
201710,0.55,-1.14
201711,3.55,1.57
201712,1.54,-0.65
201801,1.51,-0.94
201802,1.65,-0.43
201803,2.41,0.27
201804,2.31,0.17
201805,2.09,0.09
201806,1.29,-0.24
201807,0.28,-0.62
201808,0.96,-0.09
201809,0.03,-1.24
201810,2.05,0.36
201811,2.09,0.11
201812,1.37,-0.82
201901,1.98,-0.47
201902,3.25,1.17
201903,2.16,0.02
201904,3.20,1.06
201905,4.33,2.33
201906,1.01,-0.52
201907,0.23,-0.67
201908,0.31,-0.74
201909,4.07,2.80
201910,1.57,-0.12
201911,1.39,-0.59
201912,2.03,-0.16
202001,2.82,0.37
