Ketchikan Gateway Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,18.61,3.23
200002,9.09,-2.92
200003,21.29,9.94
200004,13.08,2.47
200005,8.53,-0.23
200006,6.04,-0.60
200007,13.47,5.96
200008,18.42,8.14
200009,24.02,8.83
200010,17.07,-4.87
200011,20.71,3.40
200012,14.29,-3.37
200101,24.73,9.35
200102,8.43,-3.58
200103,13.24,1.89
200104,11.52,0.91
200105,18.45,9.69
200106,7.43,0.79
200107,8.83,1.32
200108,15.42,5.14
200109,24.46,9.27
200110,22.00,0.06
200111,15.03,-2.28
200112,20.26,2.60
200201,15.91,0.53
200202,15.93,3.92
200203,8.43,-2.92
200204,2.77,-7.84
200205,12.88,4.12
200206,8.06,1.42
200207,7.22,-0.29
200208,22.52,12.24
200209,20.93,5.74
200210,10.96,-10.98
200211,16.46,-0.85
200212,22.49,4.83
200301,21.74,6.36
200302,7.67,-4.34
200303,15.15,3.80
200304,6.78,-3.83
200305,10.98,2.22
200306,8.02,1.38
200307,5.34,-2.17
200308,12.46,2.18
200309,22.61,7.42
200310,24.60,2.66
200311,21.99,4.68
200312,21.40,3.74
200401,20.47,5.09
200402,9.26,-2.75
200403,15.47,4.12
200404,11.55,0.94
200405,4.59,-4.17
200406,2.76,-3.88
200407,6.38,-1.13
200408,6.32,-3.96
200409,19.14,3.95
200410,22.60,0.66
200411,22.43,5.12
200412,22.33,4.67
200501,21.01,5.63
200502,14.29,2.28
200503,17.68,6.33
200504,8.96,-1.65
200505,4.30,-4.46
200506,3.97,-2.67
200507,14.16,6.65
200508,13.22,2.94
200509,19.36,4.17
200510,29.09,7.15
200511,26.99,9.68
200512,18.99,1.33
200601,17.65,2.27
200602,9.64,-2.37
200603,6.35,-5.00
200604,17.04,6.43
200605,8.50,-0.26
200606,6.81,0.17
200607,8.32,0.81
200608,13.64,3.36
200609,21.17,5.98
200610,16.16,-5.78
200611,12.85,-4.46
200612,32.47,14.81
200701,19.84,4.46
200702,12.93,0.92
200703,22.40,11.05
200704,17.53,6.92
200705,7.88,-0.88
200706,3.96,-2.68
200707,12.16,4.65
200708,7.75,-2.53
200709,15.06,-0.13
200710,32.47,10.53
200711,10.99,-6.32
200712,14.00,-3.66
200801,11.54,-3.84
200802,17.50,5.49
200803,12.89,1.54
200804,12.68,2.07
200805,11.15,2.39
200806,8.98,2.34
200807,11.67,4.16
200808,14.19,3.91
200809,9.81,-5.38
200810,27.98,6.04
200811,17.17,-0.14
200812,13.30,-4.36
200901,21.52,6.14
200902,11.08,-0.93
200903,11.11,-0.24
200904,6.73,-3.88
200905,7.07,-1.69
200906,5.43,-1.21
200907,4.14,-3.37
200908,12.87,2.59
200909,24.31,9.12
200910,16.13,-5.81
200911,20.97,3.66
200912,6.00,-11.66
201001,16.62,1.24
201002,8.45,-3.56
201003,18.89,7.54
201004,6.17,-4.44
201005,3.29,-5.47
201006,9.53,2.89
201007,5.74,-1.77
201008,9.30,-0.98
201009,17.73,2.54
201010,30.54,8.60
201011,18.33,1.02
201012,7.54,-10.12
201101,15.85,0.47
201102,12.25,0.24
201103,8.63,-2.72
201104,6.70,-3.91
201105,6.97,-1.79
201106,4.09,-2.55
201107,10.15,2.64
201108,21.89,11.61
201109,31.96,16.77
201110,23.44,1.50
201111,18.18,0.87
201112,18.31,0.65
201201,22.44,7.06
201202,7.84,-4.17
201203,10.23,-1.12
201204,5.42,-5.19
201205,13.55,4.79
201206,8.48,1.84
201207,9.22,1.71
201208,6.64,-3.64
201209,18.96,3.77
201210,8.94,-13.00
201211,14.10,-3.21
201212,11.98,-5.68
201301,12.55,-2.83
201302,17.49,5.48
201303,5.66,-5.69
201304,9.68,-0.93
201305,10.70,1.94
201306,4.81,-1.83
201307,5.35,-2.16
201308,8.72,-1.56
201309,13.63,-1.56
201310,13.25,-8.69
201311,16.82,-0.49
201312,25.69,8.03
201401,14.61,-0.77
201402,4.87,-7.14
201403,12.19,0.84
201404,19.62,9.01
201405,7.25,-1.51
201406,9.39,2.75
201407,10.92,3.41
201408,13.34,3.06
201409,18.01,2.82
201410,22.01,0.07
201411,12.99,-4.32
201412,14.88,-2.78
201501,24.31,8.93
201502,9.59,-2.42
201503,14.83,3.48
201504,16.30,5.69
201505,0.60,-8.16
201506,7.26,0.62
201507,14.81,7.30
201508,16.09,5.81
201509,19.40,4.21
201510,26.34,4.40
201511,17.47,0.16
201512,10.72,-6.94
201601,14.26,-1.12
201602,19.60,7.59
201603,8.74,-2.61
201604,16.06,5.45
201605,11.40,2.64
201606,6.05,-0.59
201607,6.35,-1.16
201608,5.34,-4.94
201609,20.16,4.97
201610,6.69,-15.25
201611,19.47,2.16
201612,11.84,-5.82
201701,18.24,2.86
201702,11.31,-0.70
201703,14.72,3.37
201704,4.19,-6.42
201705,12.35,3.59
201706,9.55,2.91
201707,9.39,1.88
201708,23.52,13.24
201709,15.92,0.73
201710,14.07,-7.87
201711,7.79,-9.52
201712,16.76,-0.90
201801,17.75,2.37
201802,5.50,-6.51
201803,6.71,-4.64
201804,10.89,0.28
201805,10.66,1.90
201806,6.51,-0.13
201807,2.09,-5.42
201808,6.54,-3.74
201809,5.88,-9.31
201810,14.97,-6.97
201811,16.49,-0.82
201812,14.60,-3.06
201901,23.80,8.42
201902,2.82,-9.19
201903,7.56,-3.79
201904,13.00,2.39
201905,2.79,-5.97
201906,7.48,0.84
201907,5.34,-2.17
201908,11.53,1.25
201909,13.63,-1.56
201910,19.73,-2.21
201911,22.20,4.89
201912,17.76,0.10
202001,15.27,-0.11
