Bell County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.56,0.55
200002,2.53,0.13
200003,2.62,0.30
200004,3.78,0.34
200005,4.09,-0.29
200006,4.76,1.69
200007,0.26,-1.58
200008,0.29,-1.56
200009,3.07,0.03
200010,4.68,1.47
200011,8.57,5.78
200012,3.13,0.45
200101,3.93,1.92
200102,1.46,-0.94
200103,4.38,2.06
200104,1.29,-2.15
200105,4.71,0.33
200106,2.98,-0.09
200107,1.73,-0.11
200108,8.26,6.41
200109,3.01,-0.03
200110,2.62,-0.59
200111,5.94,3.15
200112,3.80,1.12
200201,0.92,-1.09
200202,1.50,-0.90
200203,1.66,-0.66
200204,1.53,-1.91
200205,3.43,-0.95
200206,3.67,0.60
200207,5.18,3.34
200208,0.89,-0.96
200209,2.36,-0.68
200210,6.22,3.01
200211,2.15,-0.64
200212,5.46,2.78
200301,1.05,-0.96
200302,4.25,1.85
200303,1.47,-0.85
200304,0.42,-3.02
200305,1.37,-3.01
200306,5.05,1.98
200307,1.42,-0.42
200308,1.70,-0.15
200309,2.96,-0.08
200310,3.80,0.59
200311,1.41,-1.38
200312,0.74,-1.94
200401,3.23,1.22
200402,4.22,1.82
200403,1.92,-0.40
200404,5.71,2.27
200405,3.55,-0.83
200406,10.74,7.67
200407,1.73,-0.11
200408,4.60,2.75
200409,0.74,-2.30
200410,5.79,2.58
200411,9.58,6.79
200412,0.95,-1.73
200501,2.85,0.84
200502,3.22,0.82
200503,2.33,0.01
200504,0.74,-2.70
200505,3.92,-0.46
200506,1.53,-1.54
200507,4.09,2.25
200508,7.43,5.58
200509,0.69,-2.35
200510,1.27,-1.94
200511,1.30,-1.49
200512,0.22,-2.46
200601,1.80,-0.21
200602,1.86,-0.54
200603,3.44,1.12
200604,3.17,-0.27
200605,3.48,-0.90
200606,3.25,0.18
200607,1.18,-0.66
200608,0.48,-1.37
200609,3.12,0.08
200610,4.59,1.38
200611,0.48,-2.31
200612,2.78,0.10
200701,6.57,4.56
200702,0.21,-2.19
200703,8.59,6.27
200704,1.67,-1.77
200705,11.05,6.67
200706,7.97,4.90
200707,6.29,4.45
200708,0.94,-0.91
200709,2.41,-0.63
200710,1.22,-1.99
200711,1.74,-1.05
200712,1.44,-1.24
200801,1.01,-1.00
200802,0.69,-1.71
200803,4.34,2.02
200804,2.84,-0.60
200805,4.84,0.46
200806,0.43,-2.64
200807,1.14,-0.70
200808,4.00,2.15
200809,0.46,-2.58
200810,1.59,-1.62
200811,0.74,-2.05
200812,0.41,-2.27
200901,0.86,-1.15
200902,1.12,-1.28
200903,3.82,1.50
200904,4.55,1.11
200905,2.52,-1.86
200906,0.37,-2.70
200907,1.75,-0.09
200908,1.06,-0.79
200909,9.51,6.47
200910,10.69,7.48
200911,1.94,-0.85
200912,1.87,-0.81
201001,3.63,1.62
201002,2.95,0.55
201003,3.68,1.36
201004,2.03,-1.41
201005,0.82,-3.56
201006,3.23,0.16
201007,3.69,1.85
201008,0.39,-1.46
201009,8.99,5.95
201010,0.44,-2.77
201011,1.00,-1.79
201012,0.96,-1.72
201101,3.30,1.29
201102,0.98,-1.42
201103,0.19,-2.13
201104,0.35,-3.09
201105,3.42,-0.96
201106,1.03,-2.04
201107,0.17,-1.67
201108,0.04,-1.81
201109,0.54,-2.50
201110,2.70,-0.51
201111,1.84,-0.95
201112,4.92,2.24
201201,3.14,1.13
201202,3.78,1.38
201203,6.60,4.28
201204,0.52,-2.92
201205,2.60,-1.78
201206,1.46,-1.61
201207,3.24,1.40
201208,2.37,0.52
201209,4.49,1.45
201210,0.62,-2.59
201211,0.20,-2.59
201212,0.55,-2.13
201301,4.49,2.48
201302,1.35,-1.05
201303,1.66,-0.66
201304,1.62,-1.82
201305,5.47,1.09
201306,0.90,-2.17
201307,4.35,2.51
201308,1.27,-0.58
201309,3.94,0.90
201310,6.85,3.64
201311,2.99,0.20
201312,1.12,-1.56
201401,0.39,-1.62
201402,0.46,-1.94
201403,1.32,-1.00
201404,1.24,-2.20
201405,6.65,2.27
201406,2.58,-0.49
201407,2.39,0.55
201408,0.64,-1.21
201409,2.84,-0.20
201410,2.99,-0.22
201411,3.52,0.73
201412,0.70,-1.98
201501,3.63,1.62
201502,1.00,-1.40
201503,3.62,1.30
201504,2.65,-0.79
201505,11.23,6.85
201506,4.79,1.72
201507,0.16,-1.68
201508,1.22,-0.63
201509,0.68,-2.36
201510,12.39,9.18
201511,5.77,2.98
201512,2.29,-0.39
201601,0.35,-1.66
201602,1.73,-0.67
201603,4.95,2.63
201604,7.58,4.14
201605,6.72,2.34
201606,2.71,-0.36
201607,0.69,-1.15
201608,9.96,8.11
201609,1.48,-1.56
201610,0.36,-2.85
201611,3.64,0.85
201612,1.91,-0.77
201701,3.11,1.10
201702,2.32,-0.08
201703,3.23,0.91
201704,5.53,2.09
201705,2.93,-1.45
201706,3.27,0.20
201707,1.31,-0.53
201708,7.08,5.23
201709,1.12,-1.92
201710,2.43,-0.78
201711,0.88,-1.91
201712,2.56,-0.12
201801,0.26,-1.75
201802,2.18,-0.22
201803,3.01,0.69
201804,1.45,-1.99
201805,2.91,-1.47
201806,1.66,-1.41
201807,0.56,-1.28
201808,2.12,0.27
201809,6.54,3.50
201810,9.57,6.36
201811,1.96,-0.83
201812,4.98,2.30
201901,3.60,1.59
201902,0.95,-1.45
201903,0.80,-1.52
201904,6.00,2.56
201905,5.97,1.59
201906,4.87,1.80
201907,0.73,-1.11
201908,0.56,-1.29
201909,0.65,-2.39
201910,2.57,-0.64
201911,0.60,-2.19
201912,0.75,-1.93
202001,2.41,0.40
