Cumberland County, Maine, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.95,0.28
200002,3.13,-0.15
200003,4.33,0.37
200004,5.79,1.83
200005,3.73,0.21
200006,2.75,-0.88
200007,5.96,2.42
200008,2.36,-0.92
200009,2.05,-1.56
200010,3.40,-0.36
200011,4.30,-0.11
200012,4.79,0.77
200101,1.55,-2.12
200102,3.00,-0.28
200103,7.27,3.31
200104,1.23,-2.73
200105,1.39,-2.13
200106,5.20,1.57
200107,2.94,-0.60
200108,0.73,-2.55
200109,3.55,-0.06
200110,1.59,-2.17
200111,3.00,-1.41
200112,2.31,-1.71
200201,2.69,-0.98
200202,2.91,-0.37
200203,4.21,0.25
200204,4.87,0.91
200205,4.47,0.95
200206,4.90,1.27
200207,2.15,-1.39
200208,1.60,-1.68
200209,4.54,0.93
200210,4.05,0.29
200211,5.31,0.90
200212,4.12,0.10
200301,1.89,-1.78
200302,3.11,-0.17
200303,3.35,-0.61
200304,2.55,-1.41
200305,3.77,0.25
200306,2.30,-1.33
200307,1.87,-1.67
200308,3.74,0.46
200309,5.26,1.65
200310,6.77,3.01
200311,3.81,-0.60
200312,6.17,2.15
200401,0.40,-3.27
200402,1.88,-1.40
200403,1.46,-2.50
200404,5.71,1.75
200405,5.39,1.87
200406,2.40,-1.23
200407,4.09,0.55
200408,5.72,2.44
200409,3.38,-0.23
200410,2.18,-1.58
200411,4.41,0.00
200412,4.45,0.43
200501,2.87,-0.80
200502,3.56,0.28
200503,4.81,0.85
200504,9.37,5.41
200505,7.67,4.15
200506,4.27,0.64
200507,2.70,-0.84
200508,3.27,-0.01
200509,2.71,-0.90
200510,15.45,11.69
200511,6.89,2.48
200512,4.79,0.77
200601,4.01,0.34
200602,2.52,-0.76
200603,1.15,-2.81
200604,2.62,-1.34
200605,9.73,6.21
200606,9.49,5.86
200607,5.72,2.18
200608,3.12,-0.16
200609,3.29,-0.32
200610,9.08,5.32
200611,5.73,1.32
200612,3.32,-0.70
200701,2.58,-1.09
200702,1.82,-1.46
200703,3.92,-0.04
200704,9.33,5.37
200705,2.49,-1.03
200706,3.49,-0.14
200707,3.53,-0.01
200708,2.39,-0.89
200709,2.79,-0.82
200710,5.43,1.67
200711,5.22,0.81
200712,4.58,0.56
200801,3.03,-0.64
200802,7.96,4.68
200803,5.20,1.24
200804,4.55,0.59
200805,1.02,-2.50
200806,4.95,1.32
200807,4.50,0.96
200808,7.02,3.74
200809,10.47,6.86
200810,3.10,-0.66
200811,6.49,2.08
200812,4.99,0.97
200901,2.96,-0.71
200902,2.92,-0.36
200903,2.92,-1.04
200904,4.39,0.43
200905,4.43,0.91
200906,8.12,4.49
200907,7.99,4.45
200908,4.60,1.32
200909,1.37,-2.24
200910,5.49,1.73
200911,6.56,2.15
200912,5.80,1.78
201001,3.58,-0.09
201002,5.62,2.34
201003,9.46,5.50
201004,2.23,-1.73
201005,1.62,-1.90
201006,4.86,1.23
201007,4.26,0.72
201008,2.67,-0.61
201009,3.49,-0.12
201010,6.86,3.10
201011,4.79,0.38
201012,5.67,1.65
201101,2.46,-1.21
201102,3.39,0.11
201103,5.41,1.45
201104,6.84,2.88
201105,4.49,0.97
201106,3.10,-0.53
201107,2.77,-0.77
201108,6.94,3.66
201109,4.55,0.94
201110,6.09,2.33
201111,3.24,-1.17
201112,3.57,-0.45
201201,3.54,-0.13
201202,1.27,-2.01
201203,2.01,-1.95
201204,4.33,0.37
201205,6.03,2.51
201206,9.84,6.21
201207,3.04,-0.50
201208,5.52,2.24
201209,3.73,0.12
201210,4.50,0.74
201211,1.11,-3.30
201212,6.66,2.64
201301,1.20,-2.47
201302,4.35,1.07
201303,2.02,-1.94
201304,2.00,-1.96
201305,5.03,1.51
201306,6.09,2.46
201307,4.29,0.75
201308,3.38,0.10
201309,6.57,2.96
201310,1.34,-2.42
201311,4.17,-0.24
201312,3.94,-0.08
201401,3.53,-0.14
201402,3.69,0.41
201403,4.16,0.20
201404,3.01,-0.95
201405,4.88,1.36
201406,3.58,-0.05
201407,7.03,3.49
201408,5.00,1.72
201409,1.16,-2.45
201410,5.75,1.99
201411,3.69,-0.72
201412,5.95,1.93
201501,3.73,0.06
201502,2.19,-1.09
201503,1.44,-2.52
201504,3.75,-0.21
201505,1.46,-2.06
201506,6.79,3.16
201507,2.81,-0.73
201508,3.23,-0.05
201509,5.30,1.69
201510,5.21,1.45
201511,2.42,-1.99
201512,5.06,1.04
201601,3.21,-0.46
201602,4.52,1.24
201603,4.26,0.30
201604,2.52,-1.44
201605,2.08,-1.44
201606,3.58,-0.05
201607,3.27,-0.27
201608,3.00,-0.28
201609,1.16,-2.45
201610,7.22,3.46
201611,4.16,-0.25
201612,4.69,0.67
201701,3.08,-0.59
201702,3.88,0.60
201703,2.94,-1.02
201704,5.41,1.45
201705,6.13,2.61
201706,3.35,-0.28
201707,2.11,-1.43
201708,2.77,-0.51
201709,3.13,-0.48
201710,6.54,2.78
201711,2.28,-2.13
201712,3.59,-0.43
201801,3.68,0.01
201802,3.58,0.30
201803,2.90,-1.06
201804,5.07,1.11
201805,1.06,-2.46
201806,3.42,-0.21
201807,3.36,-0.18
201808,4.03,0.75
201809,4.80,1.19
201810,4.26,0.50
201811,8.51,4.10
201812,3.21,-0.81
201901,5.26,1.59
201902,3.18,-0.10
201903,2.44,-1.52
201904,5.24,1.28
201905,4.55,1.03
201906,5.65,2.02
201907,2.89,-0.65
201908,4.37,1.09
201909,0.97,-2.64
201910,6.94,3.18
201911,3.10,-1.31
201912,6.32,2.30
202001,3.24,-0.43
